,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,extra_dependencies,github_release_downloads,updated_github_id,shadowed,gitlab_id,gitlab_url,trending
10,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-05-28 15:22:51,2023-05-28 15:20:29,622.0,26.0,13.0,3.0,160.0,10.0,22.0,47.0,2023-05-28 15:15:27,1.7.0,15.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",202.0,202.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,10168.0,10169.0,23,True,1.0,,,24.0,,,,,
11,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-01-07 04:42:28,2021-10-14 20:29:54,188.0,,60.0,10.0,49.0,51.0,44.0,237.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,332.0,332.0,6.0,https://pypi.org/project/mkdocs-with-pdf,21999.0,21999.0,22,True,1.0,,,,,,,,
12,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-05-27 08:38:21,2023-05-27 08:38:10,94.0,3.0,15.0,141.0,26.0,11.0,18.0,105.0,2022-09-18 12:22:52,1.2.0,9.0,Open source plugin for Mkdocs page redirects.,2031.0,2031.0,13.0,https://pypi.org/project/mkdocs-redirects,86470.0,86470.0,22,True,1.0,,,,,,,,
13,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-03-14 21:33:45,2023-03-14 21:32:22,57.0,5.0,12.0,10.0,16.0,1.0,11.0,90.0,2023-03-14 21:34:05,0.6.4,7.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,5231.0,5231.0,9.0,https://pypi.org/project/mkdocs-minify-plugin,115776.0,115776.0,22,True,1.0,,,,,,,,
14,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,37.0,9.0,21.0,7.0,15.0,89.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,4608.0,4608.0,12.0,https://pypi.org/project/markdown-include,60641.0,60641.0,22,True,1.0,markdown_include.include,,,,,,,
15,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-03-23 13:57:04,2023-03-10 00:05:15,151.0,1.0,11.0,3.0,97.0,3.0,51.0,61.0,2023-03-10 00:10:06,4.0.4,44.0,Mkdocs Markdown includer plugin.,1396.0,1396.0,11.0,https://pypi.org/project/mkdocs-include-markdown-plugin,95770.0,95774.0,22,True,1.0,,,123.0,,,,,
16,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-04-22 05:13:53,2023-04-22 05:13:34,93.0,12.0,10.0,3.0,37.0,4.0,22.0,31.0,2023-04-22 05:15:09,0.13.1,17.0,A MkDocs plugin that validates URL in rendered html files.,264.0,264.0,10.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,18386.0,18386.0,22,True,1.0,,,,,,,,
17,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-11-22 05:06:36,2021-10-05 01:31:10,72.0,,41.0,19.0,31.0,40.0,46.0,280.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,402.0,402.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,16734.0,16734.0,21,True,2.0,,,,,,,,
18,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-05-22 14:02:22,2023-03-23 12:13:46,172.0,13.0,24.0,5.0,135.0,9.0,81.0,144.0,,,,MkDocs i18n plugin using static translation markdown files.,571.0,571.0,8.0,https://pypi.org/project/mkdocs-static-i18n,11215.0,11215.0,21,True,1.0,,,,,,,,
19,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-05-29 18:05:48,2023-05-09 14:45:05,139.0,23.0,11.0,3.0,6.0,2.0,39.0,70.0,2023-04-30 16:39:18,2.5.3,27.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,469.0,469.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,3967.0,3968.0,21,True,1.0,,,52.0,unverbuggt/mkdocs-encryptcontent-plugin,,,,
20,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-05-29 16:37:34,2023-05-29 16:37:33,410.0,6.0,23.0,2.0,36.0,22.0,37.0,70.0,2023-03-29 13:11:32,0.6.1,16.0,Build documentation in multiple repos into one site.,77.0,77.0,10.0,https://pypi.org/project/mkdocs-multirepo-plugin,12623.0,12623.0,21,True,2.0,,,,,,,,
21,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-04-27 19:48:45,2023-04-27 19:48:02,68.0,5.0,7.0,2.0,7.0,3.0,16.0,53.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1327.0,1327.0,5.0,https://pypi.org/project/mkdocs-gen-files,103185.0,103185.0,21,True,2.0,,,,,,,,
22,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-05-17 21:27:05,2023-05-17 21:26:32,104.0,3.0,8.0,2.0,5.0,9.0,11.0,48.0,2023-01-06 13:51:31,0.6.0,2.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1020.0,1020.0,,https://pypi.org/project/mkdocs-literate-nav,81928.0,81928.0,21,True,1.0,,,,,,,,
23,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-05-22 18:14:44,2023-05-22 18:14:39,189.0,2.0,13.0,4.0,26.0,9.0,40.0,45.0,2023-05-22 18:11:13,0.7.1,19.0,MkDocs plugin to display git authors of a page.,391.0,391.0,6.0,https://pypi.org/project/mkdocs-git-authors-plugin,25450.0,25450.0,21,True,2.0,,,,,,,,
24,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,15.0,35.0,185.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",544.0,544.0,23.0,https://pypi.org/project/mkdocs-cinder,4952.0,4962.0,20,True,1.0,,,963.0,,,,,
25,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-03-15 11:59:49,2022-12-20 11:05:47,1701.0,,18.0,2.0,1062.0,12.0,25.0,112.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,388.0,388.0,13.0,https://pypi.org/project/mknotebooks,24086.0,24086.0,20,True,2.0,,,,,,,,
26,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-12-07 11:39:27,2022-12-07 11:39:27,220.0,,12.0,3.0,7.0,8.0,67.0,77.0,2022-06-01 11:11:09,2.3.4,39.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",214.0,214.0,4.0,https://pypi.org/project/mkdocs-print-site-plugin,10021.0,10021.0,20,True,2.0,,,,,,,,
27,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-06-02 06:57:26,2023-06-02 06:57:26,110.0,7.0,10.0,3.0,15.0,3.0,33.0,70.0,2023-01-30 13:24:33,2.0,17.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,255.0,255.0,6.0,https://pypi.org/project/mkdocs-table-reader-plugin,35379.0,35379.0,20,True,1.0,,,,,,,,
28,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-04-28 14:42:23,2023-04-28 14:42:20,135.0,23.0,13.0,3.0,17.0,5.0,30.0,63.0,2023-04-12 17:35:01,2.2.5,24.0,Add blogging feature to your MkDocs site.,96.0,96.0,6.0,https://pypi.org/project/mkdocs-blogging-plugin,4923.0,4923.0,20,True,2.0,,,8.0,,,,,
29,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-04-10 20:10:34,2023-04-10 20:10:04,66.0,1.0,6.0,2.0,2.0,4.0,10.0,58.0,2023-01-29 19:23:45,0.3.5,7.0,MkDocs plugin to allow clickable sections that lead to an index page.,1038.0,1038.0,,https://pypi.org/project/mkdocs-section-index,79622.0,79622.0,20,True,2.0,,,,,,,,
30,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-06-01 15:11:11,2023-06-01 15:11:05,352.0,13.0,13.0,3.0,163.0,8.0,26.0,44.0,2023-04-01 15:00:25,2.8.16,39.0,A MkDocs plugin for citation management using bibtex.,159.0,159.0,9.0,https://pypi.org/project/mkdocs-bibtex,3774.0,3774.0,20,False,1.0,,,,,,,,
31,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-06-01 13:57:22,2023-06-01 13:55:29,500.0,29.0,10.0,3.0,510.0,,16.0,34.0,2023-02-17 15:11:31,2.3.0,39.0,Build documentation files inside your code into a MkDocs site.,37.0,37.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,11287.0,11287.0,20,True,2.0,,,,,,,,
32,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,7.0,35.0,3.0,30.0,127.0,,,,MkDocs Bootswatch Themes.,979.0,979.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10885.0,10885.0,19,True,1.0,,,,,,,,
33,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-01-26 16:53:16,2021-12-15 20:25:46,73.0,,17.0,3.0,15.0,5.0,26.0,64.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,774.0,774.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,35463.0,35463.0,19,True,2.0,,,,,,,,
34,MkDocs GLightbox,,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-04-25 13:18:13,2023-04-25 13:18:07,71.0,7.0,8.0,1.0,3.0,4.0,15.0,53.0,2023-05-05 15:17:23,0.3.4,12.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,869.0,869.0,2.0,https://pypi.org/project/mkdocs-glightbox,43631.0,43632.0,19,True,2.0,,,21.0,,,,,
35,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,8.0,5.0,9.0,4.0,9.0,52.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1406.0,1406.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,38401.0,38401.0,19,True,2.0,,,,,,,,
36,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-05-09 10:40:36,2023-05-09 10:40:32,51.0,3.0,4.0,2.0,25.0,,6.0,50.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",983.0,983.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,16955.0,16955.0,19,True,2.0,,,26.0,,,,,
37,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-05-27 08:38:48,2023-05-27 08:38:28,113.0,5.0,4.0,3.0,7.0,1.0,27.0,33.0,2023-05-27 08:39:33,0.6.1,12.0,MkDocs Plugin to enumerate the headings across site pages.,117.0,117.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,5607.0,5607.0,19,True,2.0,,,,,,,,
38,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-12-20 14:32:57,2022-12-20 14:32:56,54.0,,16.0,9.0,40.0,16.0,9.0,67.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,259.0,259.0,11.0,https://pypi.org/project/mkdocs-click,24432.0,24432.0,18,True,1.0,mkdocs-click,,,,,,,
39,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-03-29 04:17:10,2023-02-27 16:41:41,25.0,,14.0,4.0,18.0,6.0,9.0,57.0,2023-02-27 16:42:54,_070,7.0,An MkDocs plugin that automagically generates relative links between markdown pages.,278.0,278.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,28953.0,28953.0,18,True,2.0,,,,zachhannum/mkdocs-autolinks-plugin,,,,
40,MkApi,,mkapi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,18.0,2.0,9.0,28.0,21.0,80.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,155.0,155.0,4.0,https://pypi.org/project/mkapi,4572.0,4572.0,17,True,2.0,,,,,,,,
41,exclude,,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,6.0,4.0,9.0,3.0,75.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1279.0,1279.0,,https://pypi.org/project/mkdocs-exclude,102804.0,102804.0,17,True,2.0,,,,,,,,
42,drawio-exporter,,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2023-05-25 17:54:16,2022-05-28 16:37:23,59.0,,4.0,4.0,16.0,5.0,19.0,55.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,44.0,44.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,6573.0,6573.0,17,True,2.0,,,,,,,,
43,mkdocs-versioning,,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,56.0,56.0,5.0,https://pypi.org/project/mkdocs-versioning,2197.0,2197.0,17,True,2.0,,,,,,,,
