,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads,gitlab_id,gitlab_url
16,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-03-02 13:05:55,2022-03-02 13:03:18,211.0,6.0,6.0,2.0,4.0,1.0,64.0,38.0,2022-03-02 13:05:12,2.3.2,37.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",76.0,76.0,,https://pypi.org/project/mkdocs-print-site-plugin,7285.0,7285.0,19,True,2.0,,,,
17,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2022-04-04 18:23:21,2022-03-15 05:29:06,36.0,4.0,3.0,2.0,13.0,,5.0,36.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",351.0,351.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,8174.0,8174.0,19,True,1.0,,16.0,,
18,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,GPL-3.0,2020-07-06 13:48:11,2022-04-13 11:01:47,2022-04-13 11:00:58,442.0,57.0,8.0,2.0,98.0,3.0,15.0,27.0,2022-03-31 08:35:04,1.0.0,7.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",89.0,89.0,9.0,https://pypi.org/project/mkdocs-rss-plugin,3974.0,3974.0,19,True,1.0,,2.0,,
19,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2022-04-09 08:11:40,2022-04-03 02:53:41,249.0,36.0,9.0,3.0,97.0,6.0,16.0,26.0,2022-04-03 02:55:52,2.0.3,11.0,A MkDocs plugin for citation management using bibtex.,62.0,62.0,9.0,https://pypi.org/project/mkdocs-bibtex,1774.0,1774.0,19,False,1.0,,,,
20,Bootswatch,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,57.0,5.0,35.0,2.0,30.0,118.0,,,,MkDocs Bootswatch Themes.,764.0,764.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10186.0,10186.0,18,True,1.0,,,,
21,static-i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2022-04-15 09:05:57,2022-04-04 14:41:06,116.0,21.0,15.0,3.0,44.0,3.0,53.0,69.0,,,,MkDocs i18n plugin using static translation markdown files.,124.0,124.0,3.0,https://pypi.org/project/mkdocs-static-i18n,9121.0,9121.0,18,True,1.0,,,,
22,MkApi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,18.0,3.0,9.0,26.0,20.0,67.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,63.0,63.0,4.0,https://pypi.org/project/mkapi,3367.0,3367.0,18,True,2.0,,,,
23,Cinder,chrissimpkins/cinder,,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2021-01-05 20:29:40,2021-01-05 20:29:39,229.0,,96.0,8.0,57.0,11.0,34.0,161.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",423.0,423.0,23.0,,,11.0,17,True,1.0,,948.0,,
24,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2021-12-11 12:24:53,2021-12-11 12:24:53,62.0,,15.0,2.0,12.0,,34.0,115.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,303.0,303.0,10.0,https://pypi.org/project/mkdocs-mermaid2-plugin,45652.0,45652.0,17,True,1.0,,,,
25,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2022-01-22 20:59:31,2022-01-22 20:59:07,69.0,5.0,4.0,2.0,9.0,,16.0,40.0,2022-01-21 21:04:18,1.0.0,13.0,MkDocs plugin that adds a {{ read_csv(table.csv) }} markdown tag to directly insert CSV files as a table into a page.,71.0,71.0,4.0,https://pypi.org/project/mkdocs-table-reader-plugin,16339.0,16339.0,17,True,1.0,,,,
26,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2022-04-12 00:57:43,2022-04-12 00:57:43,305.0,32.0,6.0,1.0,292.0,1.0,10.0,16.0,2022-04-02 05:36:47,1.1.0,31.0,Build documentation files inside your code into a MkDocs site.,16.0,16.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,4732.0,4732.0,17,False,2.0,,,,
27,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2022-04-17 04:09:32,2022-04-17 04:09:32,161.0,13.0,17.0,3.0,35.0,3.0,39.0,111.0,,,,Use Jupyter Notebook in mkdocs.,,,13.0,https://pypi.org/project/mkdocs-jupyter,18229.0,18229.0,16,True,2.0,,,,
28,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2022-04-04 00:49:38,2021-08-11 13:02:40,109.0,,22.0,9.0,19.0,11.0,26.0,76.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",35.0,35.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,539.0,539.0,16,True,2.0,,25.0,,
29,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,7.0,3.0,39.0,3.0,22.0,38.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,32.0,32.0,5.0,https://pypi.org/project/mkdocs-versioning,4177.0,4177.0,16,True,2.0,,,,
30,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2022-03-23 15:49:29,2022-03-23 15:46:44,42.0,3.0,8.0,1.0,2.0,,21.0,37.0,2022-03-23 15:49:29,2.1.0,12.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,31.0,31.0,2.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,1176.0,1176.0,16,True,2.0,,,,
31,mkdocs-click,DataDog/mkdocs-click,mkdocs-click,['plugin'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-04-14 12:17:32,2022-04-02 22:09:42,48.0,3.0,13.0,9.0,35.0,9.0,8.0,34.0,2022-04-02 22:11:52,0.6.0,7.0,An MkDocs extension to generate documentation for Click command line applications.,,,8.0,https://pypi.org/project/mkdocs-click,13955.0,13955.0,16,True,2.0,,,,
32,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2022-03-04 16:20:28,2022-03-04 16:20:03,110.0,3.0,6.0,3.0,62.0,1.0,26.0,17.0,2022-02-22 13:15:29,3.3.0,26.0,Mkdocs Markdown includer plugin.,,,9.0,https://pypi.org/project/mkdocs-include-markdown-plugin,29608.0,29609.0,16,False,1.0,,23.0,,
33,MkAutoDoc,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2021-02-26 13:51:30,2020-03-03 16:14:51,22.0,,12.0,5.0,15.0,6.0,10.0,165.0,,,,Auto documentation for MkDocs.,182.0,182.0,5.0,https://pypi.org/project/mkautodoc,9229.0,9229.0,15,False,2.0,,,,
34,build-plantuml,christo-ph/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,https://github.com/christo-ph/mkdocs_build_plantuml,https://github.com/christo-ph/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2022-03-31 17:46:02,2022-03-31 17:43:53,31.0,11.0,7.0,3.0,7.0,2.0,13.0,31.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,20.0,20.0,5.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,5741.0,5741.0,15,True,2.0,,,,
35,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2021-12-01 08:13:09,2021-12-01 08:13:09,55.0,,7.0,4.0,6.0,,13.0,21.0,2021-05-25 13:48:22,0.9.1,8.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,21.0,21.0,4.0,https://pypi.org/project/mkdocs-localsearch,3234.0,3234.0,15,True,1.0,,,,
36,mkdocs-multirepo-plugin,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2022-04-13 15:55:42,2022-04-13 15:55:42,301.0,210.0,7.0,1.0,5.0,3.0,10.0,18.0,2022-04-08 18:30:24,0.3.5,9.0,Build documentation in multiple repos into one site.,1.0,1.0,3.0,https://pypi.org/project/mkdocs-multirepo-plugin,775.0,775.0,15,False,2.0,,,,
37,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2021-12-19 07:05:50,2021-12-19 07:05:45,59.0,,5.0,3.0,18.0,1.0,12.0,17.0,2021-09-18 01:15:25,0.7.0,8.0,A MkDocs plugin that validates URL in rendered html files.,147.0,147.0,6.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,5443.0,5443.0,15,False,1.0,,,,
38,MkDocs Video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2022-04-14 18:24:15,2022-04-14 18:19:13,12.0,5.0,4.0,1.0,3.0,1.0,3.0,11.0,2022-04-14 18:24:15,1.3.0,4.0,MkDocs Video plugin.,50.0,50.0,4.0,https://pypi.org/project/mkdocs-video,4289.0,4289.0,15,False,2.0,,8.0,,
39,autolinks,midnightprioriem/mkdocs-autolinks-plugin,,['plugin'],links-refs,https://github.com/midnightprioriem/mkdocs-autolinks-plugin,https://github.com/midnightprioriem/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2022-03-14 14:06:45,2022-03-14 14:06:12,21.0,7.0,12.0,3.0,12.0,6.0,8.0,38.0,2022-03-14 14:06:55,_050,5.0,An MkDocs plugin that automagically generates relative links between markdown pages.,139.0,139.0,8.0,,,,14,True,2.0,,,,
40,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2022-04-01 23:28:03,2022-01-30 14:49:02,56.0,1.0,3.0,2.0,11.0,3.0,15.0,34.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,23.0,23.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,3336.0,3336.0,14,True,2.0,,,,
41,git-committers,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2021-08-12 15:47:32,2021-08-12 15:47:19,39.0,,5.0,3.0,7.0,4.0,,20.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,68.0,68.0,5.0,https://pypi.org/project/mkdocs-git-committers-plugin,9959.0,9959.0,14,True,3.0,,,,
42,mkdocs-blogging-plugin,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2022-04-09 03:30:12,2022-04-09 03:29:28,76.0,9.0,6.0,2.0,10.0,2.0,12.0,18.0,2022-04-09 03:30:12,1.4.1,14.0,"A mkdocs plugin that generates a blog page listing selected pages, sorted by time.",16.0,16.0,4.0,https://pypi.org/project/mkdocs-blogging-plugin,1014.0,1014.0,14,False,2.0,,5.0,,
43,exclude-search,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2022-01-05 22:53:05,2022-01-05 22:49:24,126.0,,2.0,2.0,24.0,1.0,13.0,16.0,2022-01-05 22:53:05,0.6.4,16.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,84.0,84.0,3.0,https://pypi.org/project/mkdocs-exclude-search,2358.0,2358.0,14,False,3.0,,6.0,,
44,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2022-02-05 20:15:03,2022-02-05 08:12:55,48.0,2.0,3.0,2.0,20.0,4.0,6.0,7.0,2020-11-08 17:14:20,0.2.0,4.0,A plugin to include code snippets into mkdocs pages.,45.0,45.0,3.0,https://pypi.org/project/mkdocs-codeinclude-plugin,4488.0,4488.0,14,False,2.0,,,,
45,Windmill,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,,2017-05-15 03:51:22,2022-03-11 19:51:29,2022-03-11 19:50:40,79.0,2.0,45.0,3.0,31.0,14.0,16.0,79.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,141.0,141.0,8.0,https://pypi.org/project/mkdocs-windmill,5012.0,5012.0,13,True,2.0,,,,
46,Bootstrap4,byrnereese/mkdocs-bootstrap4,mkdocs-bootstrap4,['theme'],theming,https://github.com/byrnereese/mkdocs-bootstrap4,https://github.com/byrnereese/mkdocs-bootstrap4,MIT,2018-12-17 16:32:18,2020-11-05 01:03:43,2020-11-05 01:03:25,19.0,,9.0,4.0,3.0,,3.0,41.0,,,,Bootstrap 4.0+ theme for MkDocs.,55.0,55.0,4.0,https://pypi.org/project/mkdocs-bootstrap4,6730.0,6730.0,13,True,2.0,,,,
47,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2022-03-30 21:24:47,2022-03-30 21:23:40,55.0,2.0,2.0,2.0,1.0,2.0,7.0,36.0,2022-03-30 21:27:08,0.3.4,6.0,MkDocs plugin to allow clickable sections that lead to an index page.,,,,https://pypi.org/project/mkdocs-section-index,16081.0,16081.0,13,True,2.0,,,,
48,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2022-01-09 20:46:13,2022-01-09 20:45:23,103.0,,2.0,2.0,5.0,,26.0,20.0,2022-01-09 20:48:35,0.5,10.0,MkDocs Plugin to enumerate the headings across site pages.,58.0,58.0,2.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,3088.0,3088.0,13,True,2.0,,,,
