,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
10,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2025-02-03 20:19:27,2025-01-06 21:27:27,979.0,35.0,26.0,4.0,283.0,13.0,39.0,97.0,2024-12-16 08:25:03,1.17.1,33.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",932.0,932.0,17.0,https://pypi.org/project/mkdocs-rss-plugin,63548.0,63552.0,26,True,1.0,,,204.0,,,,,,,,,
11,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2025-01-30 19:03:52,2025-01-30 19:03:52,150.0,1.0,72.0,24.0,65.0,37.0,30.0,335.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,522.0,522.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,536535.0,536535.0,24,True,1.0,,,,,,,,,,,,
12,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2025-02-11 16:06:19,2025-02-11 16:04:21,395.0,42.0,42.0,4.0,51.0,37.0,133.0,213.0,2025-02-11 16:04:42,1.15.0,45.0,A Python handler for mkdocstrings.,,,23.0,https://pypi.org/project/mkdocstrings-python,2813434.0,2813434.0,24,True,1.0,,,,,,,,,,,,
13,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2025-01-30 07:29:55,2025-01-30 07:29:09,121.0,4.0,23.0,3.0,37.0,9.0,35.0,63.0,2025-01-30 07:32:42,2.5.0,20.0,An MkDocs plugin to create a list of contributors on the page.,948.0,948.0,18.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,69681.0,69681.0,24,True,2.0,,,,,,,,,,,,
14,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2025-01-22 17:12:40,2025-01-22 17:12:38,255.0,1.0,53.0,6.0,97.0,34.0,104.0,423.0,,,,Use Jupyter Notebook in mkdocs.,3417.0,3417.0,32.0,https://pypi.org/project/mkdocs-jupyter,154795.0,154795.0,23,True,1.0,,,,,,,,,,,,
15,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01,2021-10-14 20:29:54,188.0,,75.0,12.0,52.0,65.0,49.0,346.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,678.0,678.0,6.0,https://pypi.org/project/mkdocs-with-pdf,78885.0,78885.0,23,True,1.0,,,,,,,,,,,,
16,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2025-01-24 09:03:31,2025-01-24 09:02:47,309.0,3.0,40.0,10.0,173.0,21.0,124.0,251.0,,,,MkDocs i18n plugin using static translation markdown files.,1429.0,1429.0,12.0,https://pypi.org/project/mkdocs-static-i18n,73260.0,73260.0,23,True,1.0,,,,,,,,,,,,
17,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-09-12 11:40:50,2024-09-12 11:40:43,266.0,,24.0,5.0,24.0,19.0,84.0,152.0,2024-09-12 11:39:18,2.6.0,45.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",411.0,411.0,11.0,https://pypi.org/project/mkdocs-print-site-plugin,43952.0,43952.0,23,True,1.0,,,,,,,,,,,,
18,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2024-10-16 14:14:43,2024-10-16 14:14:43,102.0,,16.0,3.0,9.0,21.0,26.0,149.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,3942.0,3942.0,7.0,https://pypi.org/project/mkdocs-glightbox,329986.0,329987.0,23,True,1.0,1.0,,40.0,,,,,,,,,
19,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2025-02-03 14:41:13,2025-02-03 14:41:11,246.0,13.0,11.0,2.0,3.0,13.0,45.0,132.0,2024-12-06 15:25:44,1.10.0,10.0,Utilities to execute code blocks in Markdown files.,434.0,434.0,3.0,https://pypi.org/project/markdown-exec,71866.0,71866.0,23,True,1.0,,,,,,,,,,,,
20,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2024-11-04 13:55:50,2024-11-04 13:55:10,232.0,,20.0,5.0,38.0,12.0,50.0,92.0,2024-11-04 13:56:05,0.9.2,24.0,MkDocs plugin to display git authors of a page.,1338.0,1338.0,14.0,https://pypi.org/project/mkdocs-git-authors-plugin,160334.0,160334.0,23,True,2.0,,,,,,,,,,,,
21,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,42.0,20.0,32.0,43.0,46.0,323.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1259.0,1259.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,33678.0,33678.0,22,True,2.0,,,,,,,,,,,,
22,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-11-15 07:42:13,2024-11-15 07:42:07,117.0,,28.0,2.0,23.0,10.0,65.0,231.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,2497.0,2497.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,304352.0,304352.0,22,True,1.0,,,,,,,,,,,,
23,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,MIT,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,16.0,35.0,212.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",671.0,671.0,23.0,https://pypi.org/project/mkdocs-cinder,7707.0,7715.0,22,True,1.0,,,1012.0,,,,,,,,,
24,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16,2024-01-29 16:11:49,76.0,,18.0,10.0,21.0,5.0,13.0,166.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,9128.0,9128.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,234673.0,234673.0,22,True,1.0,,,,,,,,,,,,
25,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2025-01-15 16:08:45,2025-01-15 16:08:44,430.0,3.0,51.0,5.0,54.0,57.0,52.0,147.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,172.0,172.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,75433.0,75433.0,22,True,1.0,,,,,,,,,,,,
26,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2025-02-12 12:46:47,2025-02-07 19:33:25,357.0,41.0,66.0,15.0,187.0,1.0,67.0,93.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,90.0,90.0,46.0,https://pypi.org/project/mkdocs-techdocs-core,355498.0,355498.0,22,True,1.0,,,,,,,,,,,,
27,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2025-01-15 21:15:08,2025-01-15 21:14:23,215.0,18.0,22.0,5.0,45.0,12.0,47.0,82.0,2025-01-15 21:13:50,1.2.7,16.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,30.0,30.0,17.0,https://pypi.org/project/mkdoxy,20609.0,20609.0,22,True,1.0,,,,,,,,,,,,
28,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2025-02-01 14:04:01,2025-02-01 14:03:54,411.0,16.0,22.0,2.0,245.0,4.0,45.0,82.0,2025-01-26 01:09:31,4.1.0,64.0,A MkDocs plugin for citation management using bibtex.,369.0,369.0,17.0,https://pypi.org/project/mkdocs-bibtex,37457.0,37457.0,22,True,1.0,,,,,,,,,,,,
29,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-10-27 13:24:39,2024-10-27 13:23:58,275.0,,16.0,4.0,9.0,6.0,63.0,140.0,2024-01-30 19:13:34,3.0.3,34.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1180.0,1180.0,6.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,8343.0,8344.0,21,True,1.0,,,97.0,,,,,,,,,
30,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2024-12-07 18:22:22,2024-12-07 11:39:11,86.0,1.0,10.0,3.0,9.0,9.0,19.0,118.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,2776.0,2776.0,5.0,https://pypi.org/project/mkdocs-gen-files,491905.0,491905.0,21,True,2.0,,,,,,,,,,,,
31,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10,2023-02-07 09:45:37,75.0,,36.0,9.0,23.0,7.0,19.0,106.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,6910.0,6910.0,12.0,https://pypi.org/project/markdown-include,139576.0,139576.0,21,True,2.0,,markdown_include.include,,,,,,,,,,
32,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2025-02-13 13:29:41,2025-02-13 13:29:13,830.0,20.0,17.0,2.0,81.0,4.0,131.0,105.0,2025-01-29 11:04:57,4.0.0,50.0,A plugin for MkDocs to generate API documentation.,202.0,202.0,5.0,https://pypi.org/project/mkapi,7893.0,7893.0,21,True,2.0,,,,,,,,,,,,
33,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51,2024-08-22 08:33:30,76.0,,17.0,3.0,17.0,6.0,29.0,86.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1354.0,1354.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,72522.0,72522.0,21,True,2.0,,,,,,,,,,,,
34,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2025-02-10 20:03:44,2025-02-06 17:08:28,331.0,12.0,3.0,1.0,396.0,1.0,10.0,18.0,2025-01-26 20:31:41,4.0.0,13.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1167.0,1167.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,9516.0,9516.0,21,True,2.0,,,,,,,,,,,,
35,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2024-12-25 00:13:58,2024-12-24 23:12:09,127.0,29.0,12.0,2.0,122.0,28.0,38.0,214.0,2024-12-17 05:18:16,4.7.0,66.0,monospace theme for MkDocs.,107.0,107.0,3.0,https://pypi.org/project/mkdocs-terminal,6048.0,6048.0,20,True,1.0,,,,,,,,,,,,
36,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48,2023-12-29 21:16:01,71.0,,58.0,7.0,37.0,3.0,30.0,149.0,,,,MkDocs Bootswatch Themes.,1169.0,1169.0,10.0,https://pypi.org/project/mkdocs-bootswatch,16239.0,16239.0,20,True,1.0,,,,,,,,,,,,
37,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,,20.0,2.0,1078.0,14.0,26.0,137.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,679.0,679.0,14.0,https://pypi.org/project/mknotebooks,25110.0,25110.0,20,True,2.0,,,,,,,,,,,,
38,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2024-12-07 18:22:05,2024-12-07 11:38:42,94.0,1.0,8.0,3.0,3.0,8.0,14.0,83.0,2024-04-20 14:42:04,0.3.9,11.0,MkDocs plugin to allow clickable sections that lead to an index page.,2033.0,2033.0,3.0,https://pypi.org/project/mkdocs-section-index,257420.0,257420.0,20,True,1.0,,,,,,,,,,,,
39,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2024-12-07 18:22:16,2024-12-07 11:39:04,129.0,1.0,8.0,4.0,5.0,16.0,16.0,82.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,2290.0,2290.0,,https://pypi.org/project/mkdocs-literate-nav,308899.0,308899.0,20,True,1.0,,,,,,,,,,,,
40,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2024-12-24 01:07:11,2024-12-24 01:07:09,115.0,3.0,9.0,4.0,46.0,5.0,28.0,81.0,2024-11-10 21:51:29,0.10.1,14.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,87.0,87.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,15295.0,15295.0,20,True,1.0,-1.0,,,,,,,,,,,
41,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2025-02-11 15:33:37,2025-02-11 15:33:02,89.0,18.0,10.0,3.0,34.0,2.0,24.0,59.0,2025-02-11 15:33:46,1.3.1,7.0,Automatically link across pages in MkDocs.,,,8.0,https://pypi.org/project/mkdocs-autorefs,1807581.0,1807581.0,20,True,1.0,,,,,,,,,,,,
42,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,8.0,5.0,9.0,5.0,9.0,58.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2592.0,2592.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,81593.0,81593.0,20,True,2.0,,,,,,,,,,,,
