,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
10,monorepo,backstage/mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2022-03-22 08:53:01,2022-03-22 08:52:59,114,18.0,41.0,16.0,40.0,15.0,20.0,175.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,72.0,72.0,24.0,16,True,2.0,,,,
11,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,['plugin'],code-execution-variables--templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2021-12-16 09:48:55,2021-12-15 20:25:46,73,,14.0,3.0,13.0,2.0,24.0,49.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,397.0,397.0,10.0,16,False,2.0,,,,
12,print-site,timvink/mkdocs-print-site-plugin,['plugin'],pdf--site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-03-02 13:05:55,2022-03-02 13:03:18,211,7.0,6.0,2.0,4.0,1.0,64.0,38.0,2022-03-02 13:05:12,2.3.2,37.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",76.0,76.0,,16,False,2.0,,,,
13,git-authors,timvink/mkdocs-git-authors-plugin,['plugin'],git-repos--info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2022-04-07 01:11:11,2022-02-02 11:19:26,162,5.0,10.0,3.0,22.0,8.0,32.0,20.0,2022-02-02 11:21:52,0.6.4,16.0,MkDocs plugin to display git authors of a page.,105.0,105.0,4.0,16,False,2.0,,,,
14,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,['plugin'],navigation--page-building,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2022-02-12 20:33:57,2022-02-12 20:26:26,69,3.0,23.0,6.0,11.0,8.0,41.0,231.0,2022-02-12 20:35:47,2.7.0,20.0,An MkDocs plugin that simplifies configuring page titles and their order.,,,4.0,15,True,1.0,,,,
15,MkApi,daizutabi/mkapi,['plugin'],api-documentation-building,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242,,18.0,3.0,9.0,26.0,20.0,67.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,63.0,63.0,4.0,15,False,2.0,,,,
16,minify,byrnereese/mkdocs-minify-plugin,['plugin'],html-processing--css-styling,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2021-10-18 06:40:36,2021-10-18 06:35:38,25,,6.0,8.0,10.0,1.0,6.0,52.0,2021-10-18 06:40:36,0.5.0,2.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,2304.0,2304.0,6.0,15,False,1.0,,,,
17,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,['plugin'],git-repos--info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2022-03-08 14:43:42,2022-03-08 14:42:57,26,2.0,6.0,4.0,8.0,2.0,9.0,42.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,513.0,513.0,7.0,15,False,2.0,,,,
18,rss,Guts/mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,GPL-3.0,2020-07-06 13:48:11,2022-04-13 11:01:47,2022-04-13 11:00:58,442,57.0,8.0,2.0,98.0,3.0,15.0,27.0,2022-03-31 08:35:04,1.0.0,7.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",89.0,89.0,9.0,15,False,1.0,2.0,0.0,,
19,bibtex,shyamd/mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,,2019-05-29 04:43:44,2022-04-09 08:11:40,2022-04-03 02:53:41,249,38.0,9.0,3.0,97.0,5.0,16.0,25.0,2022-04-03 02:55:52,2.0.3,11.0,A MkDocs plugin for citation management using bibtex.,62.0,62.0,9.0,15,False,1.0,,,,
20,static-i18n,ultrabug/mkdocs-static-i18n,['plugin'],internationalization--localization,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2022-04-15 09:05:57,2022-04-04 14:41:06,116,21.0,15.0,3.0,44.0,3.0,53.0,69.0,,,,MkDocs i18n plugin using static translation markdown files.,124.0,124.0,3.0,14,False,1.0,,,,
21,autolinks,midnightprioriem/mkdocs-autolinks-plugin,['plugin'],links--references,https://github.com/midnightprioriem/mkdocs-autolinks-plugin,https://github.com/midnightprioriem/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2022-03-14 14:06:45,2022-03-14 14:06:12,21,7.0,12.0,3.0,12.0,6.0,8.0,38.0,2022-03-14 14:06:55,_050,5.0,An MkDocs plugin that automagically generates relative links between markdown pages.,139.0,139.0,8.0,14,False,1.0,,,,
22,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,['plugin'],navigation--page-building,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2022-04-04 18:23:21,2022-03-15 05:29:06,36,5.0,3.0,2.0,13.0,,5.0,36.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",351.0,351.0,5.0,14,False,1.0,16.0,0.0,,
23,simple,athackst/mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2022-04-12 00:57:43,2022-04-12 00:57:43,305,35.0,6.0,1.0,292.0,1.0,10.0,14.0,2022-04-02 05:36:47,1.1.0,31.0,Build documentation files inside your code into a MkDocs site.,16.0,16.0,8.0,14,False,2.0,,,,
24,mermaid2,fralau/mkdocs-mermaid2-plugin,['plugin'],images-tables-charts--graphs,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2021-12-11 12:24:53,2021-12-11 12:24:53,62,,15.0,2.0,12.0,,34.0,115.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,302.0,302.0,10.0,13,True,1.0,,,,
25,mkpdfs,comwes/mkpdfs-mkdocs-plugin,['plugin'],pdf--site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2022-04-04 00:49:38,2021-08-11 13:02:40,109,,22.0,9.0,19.0,11.0,26.0,76.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",35.0,35.0,8.0,13,False,3.0,25.0,0.0,,
26,table-reader,timvink/mkdocs-table-reader-plugin,['plugin'],images-tables-charts--graphs,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2022-01-22 20:59:31,2022-01-22 20:59:07,69,5.0,4.0,2.0,9.0,,16.0,40.0,2022-01-21 21:04:18,1.0.0,13.0,MkDocs plugin that adds a {{ read_csv(table.csv) }} markdown tag to directly insert CSV files as a table into a page.,71.0,71.0,4.0,13,False,1.0,,,,
27,mkdocs-versioning,zayd62/mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133,,7.0,3.0,39.0,3.0,22.0,38.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,32.0,32.0,5.0,13,False,2.0,,,,
28,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,['plugin'],navigation--page-building,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2022-03-23 15:49:29,2022-03-23 15:46:44,42,3.0,8.0,1.0,2.0,,21.0,37.0,2022-03-23 15:49:29,2.1.0,12.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,31.0,31.0,2.0,13,False,2.0,,,,
29,mkdocs-multirepo-plugin,jdoiro3/mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2022-04-13 15:55:42,2022-04-13 15:55:42,301,211.0,5.0,1.0,5.0,3.0,10.0,18.0,2022-04-08 18:30:24,0.3.5,9.0,Build documentation in multiple repos into one site.,1.0,1.0,3.0,13,False,2.0,,,,
30,mkdocs-jupyter,danielfrg/mkdocs-jupyter,['plugin'],code-execution-variables--templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2022-04-17 04:09:32,2022-04-17 04:09:32,161,14.0,17.0,3.0,35.0,3.0,39.0,111.0,,,,Use Jupyter Notebook in mkdocs.,,,13.0,12,True,2.0,,,,
31,mathy,justindujardin/mathy,['plugin'],code-execution-variables--templating,https://github.com/justindujardin/mathy,https://github.com/justindujardin/mathy,MIT,2018-07-22 17:35:51,2022-03-25 23:48:58,2021-08-06 16:55:22,1104,,6.0,9.0,65.0,1.0,2.0,89.0,2021-04-08 17:53:15,0.9.1,41.0,Tools for using computer algebra systems to solve math problems step-by-step with reinforcement learning.,,,6.0,12,False,2.0,,,,
32,exclude,apenwarr/mkdocs-exclude,['plugin'],navigation--page-building,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2022-02-23 16:27:45,2019-02-20 23:33:03,3,,8.0,5.0,3.0,6.0,3.0,45.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,542.0,542.0,,12,False,2.0,,,,
33,build-plantuml,christo-ph/mkdocs_build_plantuml,['plugin'],images-tables-charts--graphs,https://github.com/christo-ph/mkdocs_build_plantuml,https://github.com/christo-ph/mkdocs_build_plantuml,MIT,2019-12-16 05:13:23,2022-03-31 17:46:02,2022-03-31 17:43:53,31,11.0,7.0,3.0,7.0,2.0,13.0,31.0,,,,MkDocs plugin to help generate your plantuml images locally or remotely as files (NOT inline).,20.0,20.0,5.0,12,False,2.0,,,,
34,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,['plugin'],links--references,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2021-12-19 07:05:50,2021-12-19 07:05:45,59,,5.0,3.0,18.0,1.0,12.0,17.0,2021-09-18 01:15:25,0.7.0,8.0,A MkDocs plugin that validates URL in rendered html files.,147.0,147.0,6.0,12,False,2.0,,,,
35,edit_url,dhis2/dhis2-docs,['plugin'],authoring,https://github.com/dhis2/dhis2-docs,https://github.com/dhis2/dhis2-docs,,2018-09-11 08:58:22,2022-04-11 13:35:29,2022-04-04 19:24:37,1492,98.0,70.0,30.0,985.0,3.0,2.0,17.0,,,1.0,Documentation for DHIS 2 in markdown format.,,,83.0,12,False,1.0,,,,
36,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,['plugin'],images-tables-charts--graphs,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2022-04-01 23:28:03,2022-01-30 14:49:02,56,1.0,3.0,2.0,11.0,3.0,15.0,34.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,23.0,23.0,4.0,11,False,2.0,,,,
37,localsearch,wilhelmer/mkdocs-localsearch,['plugin'],search--tables-of-content,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2021-12-01 08:13:09,2021-12-01 08:13:09,55,,7.0,4.0,6.0,,13.0,20.0,2021-05-25 13:48:22,0.9.1,8.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,21.0,21.0,4.0,11,False,2.0,,,,
38,mkdocs-blogging-plugin,liang2kl/mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2022-04-09 03:30:12,2022-04-09 03:29:28,76,9.0,6.0,2.0,10.0,2.0,12.0,18.0,2022-04-09 03:30:12,1.4.1,14.0,"A mkdocs plugin that generates a blog page listing selected pages, sorted by time.",16.0,16.0,4.0,11,False,2.0,5.0,0.0,,
39,include-markdown,mondeja/mkdocs-include-markdown-plugin,['plugin'],reusing-content-snippets--includes,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2022-03-04 16:20:28,2022-03-04 16:20:03,110,3.0,6.0,3.0,62.0,1.0,26.0,17.0,2022-02-22 13:15:29,3.3.0,26.0,Mkdocs Markdown includer plugin.,,,9.0,11,False,1.0,23.0,1.0,,
40,ezlinks,orbikm/mkdocs-ezlinks-plugin,['plugin'],links--references,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2022-03-28 19:55:11,2022-01-24 19:59:04,40,2.0,5.0,3.0,23.0,2.0,12.0,12.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,13.0,13.0,,11,False,2.0,59.0,4.0,,
41,mkdocs-mdpo,mondeja/mkdocs-mdpo-plugin,['plugin'],internationalization--localization,https://github.com/mondeja/mkdocs-mdpo-plugin,https://github.com/mondeja/mkdocs-mdpo-plugin,BSD-3-Clause,2021-04-26 14:53:13,2022-03-21 07:28:58,2022-03-21 07:28:23,105,35.0,2.0,2.0,24.0,8.0,23.0,3.0,2022-03-03 23:46:27,0.0.26,26.0,Mkdocs translation plugin using PO files.,,,3.0,11,False,3.0,49.0,4.0,,
42,MkAutoDoc,tomchristie/mkautodoc,['plugin'],api-documentation-building,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,,2019-10-09 10:40:33,2021-02-26 13:51:30,2020-03-03 16:14:51,22,,12.0,5.0,15.0,6.0,10.0,165.0,,,,Auto documentation for MkDocs.,182.0,182.0,5.0,10,False,2.0,,,,
43,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,['plugin'],html-processing--css-styling,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2022-01-09 20:46:13,2022-01-09 20:45:23,103,,2.0,2.0,5.0,,26.0,20.0,2022-01-09 20:48:35,0.5,10.0,MkDocs Plugin to enumerate the headings across site pages.,58.0,58.0,2.0,10,False,2.0,,,,
44,git-committers,byrnereese/mkdocs-git-committers-plugin,['plugin'],git-repos--info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2021-08-12 15:47:32,2021-08-12 15:47:19,39,,5.0,3.0,7.0,4.0,,20.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,68.0,68.0,5.0,10,False,3.0,,,6.0,
45,pheasant,daizutabi/pheasant,['plugin'],code-execution-variables--templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841,,9.0,3.0,4.0,5.0,5.0,17.0,,,,Documentation tool for Markdown conversion by Jupyter client.,10.0,10.0,4.0,10,False,2.0,,,,
46,exclude-search,chrieke/mkdocs-exclude-search,['plugin'],search--tables-of-content,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2022-01-05 22:53:05,2022-01-05 22:49:24,126,,2.0,2.0,24.0,1.0,13.0,16.0,2022-01-05 22:53:05,0.6.4,16.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,84.0,84.0,3.0,10,False,2.0,6.0,0.0,,
47,charts,timvink/mkdocs-charts-plugin,['plugin'],images-tables-charts--graphs,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2022-02-20 10:02:14,2022-02-20 09:59:48,47,4.0,1.0,3.0,,3.0,8.0,14.0,2022-02-20 10:01:38,0.0.8,8.0,Mkdocs plugin to add charts to your pages.,5.0,5.0,,10,False,3.0,,,,
48,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,['plugin'],images-tables-charts--graphs,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2022-03-12 14:39:33,2022-02-21 14:54:52,27,5.0,5.0,2.0,5.0,3.0,2.0,13.0,2022-02-21 14:56:48,0.3.0,4.0,MkDocs plugin for Kroki-Diagrams.,3.0,3.0,4.0,10,False,3.0,,,,
49,mktheapidocs,greenape/mktheapidocs,['plugin'],api-documentation-building,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-02-02 20:04:21,2022-02-02 20:04:21,86,9.0,3.0,1.0,64.0,11.0,5.0,10.0,2020-02-26 14:37:21,0.2.0,1.0,Numpydocs - mkdocs friendly markdown.,12.0,12.0,5.0,10,False,2.0,,,,
50,codeinclude,rnorth/mkdocs-codeinclude-plugin,['plugin'],reusing-content-snippets--includes,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2022-02-05 20:15:03,2022-02-05 08:12:55,48,2.0,3.0,2.0,20.0,3.0,6.0,7.0,2020-11-08 17:14:20,0.2.0,4.0,,45.0,45.0,3.0,10,False,2.0,,,,
51,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,['plugin'],reusing-content-snippets--includes,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2022-04-11 20:43:52,2022-04-11 20:41:02,135,19.0,1.0,1.0,148.0,,5.0,5.0,2021-09-12 09:32:50,1.0.2,7.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,16.0,16.0,2.0,10,False,2.0,,,,
52,section-index,oprypin/mkdocs-section-index,['plugin'],navigation--page-building,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2022-03-30 21:24:47,2022-03-30 21:23:40,55,2.0,2.0,2.0,1.0,2.0,7.0,36.0,2022-03-30 21:27:08,0.3.4,6.0,MkDocs plugin to allow clickable sections that lead to an index page.,,,,9,False,2.0,,,,
53,literate-nav,oprypin/mkdocs-literate-nav,['plugin'],navigation--page-building,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2022-03-25 12:46:24,2021-12-18 10:11:17,82,,5.0,2.0,1.0,5.0,5.0,19.0,2021-05-24 20:00:00,0.4.0,1.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,,,,8,False,3.0,,,,
54,mkdocs-markmap,neatc0der/mkdocs-markmap,['plugin'],code-execution-variables--templating,https://github.com/neatc0der/mkdocs-markmap,https://github.com/neatc0der/mkdocs-markmap,MIT,2021-01-22 15:52:32,2022-01-28 21:59:05,2022-01-28 21:58:52,142,8.0,1.0,4.0,24.0,3.0,11.0,14.0,2022-01-28 21:53:26,2.2.1,14.0,MkDocs plugin and extension to create mindmaps from markdown using markmap.,,,2.0,8,False,3.0,85.0,5.0,,
55,Blogs for MkDocs,fmaida/mkdocs-blog-plugin,['plugin'],blogging,https://github.com/fmaida/mkdocs-blog-plugin,https://github.com/fmaida/mkdocs-blog-plugin,MIT,2020-01-19 13:38:21,2020-04-13 08:11:37,2020-04-13 08:11:31,21,,4.0,3.0,,1.0,1.0,9.0,,,,This plugin for MkDocs allows to keeps a really simple blog section inside your documentation site.,38.0,38.0,,8,False,3.0,,,,
56,pdf-with-js,smaxtec/mkdocs-pdf-with-js-plugin,['plugin'],pdf--site-conversion,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,MIT,2020-06-04 09:48:18,2021-07-23 08:52:22,2021-07-23 08:52:22,13,,1.0,5.0,3.0,,,5.0,2021-07-16 06:35:39,0.1.3,3.0,A MkDocs plugin that exports your documentation as PDF with rendered JavaScript content.,4.0,4.0,4.0,8,False,3.0,,,,
57,automacdoc,AlexandreKempf/automacdoc,['plugin'],api-documentation-building,https://github.com/AlexandreKempf/automacdoc,https://github.com/AlexandreKempf/automacdoc,MIT,2019-06-14 11:47:18,2020-12-29 08:32:21,2020-12-29 08:32:20,13,,10.0,4.0,3.0,4.0,1.0,29.0,,,,Automatic generation of documentation for mkdocs.,3.0,3.0,6.0,7,False,3.0,,,,
58,markdownmermaid,pugong/mkdocs-mermaid-plugin,['plugin'],images-tables-charts--graphs,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9,,15.0,3.0,6.0,2.0,3.0,24.0,,,,,38.0,38.0,2.0,7,False,3.0,,,,
