,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
10,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-09-12 11:40:50,2024-09-12 11:40:43,266.0,13.0,24.0,5.0,23.0,15.0,83.0,143.0,2024-09-12 11:39:18,2.6.0,45.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",343.0,343.0,11.0,https://pypi.org/project/mkdocs-print-site-plugin,29266.0,29266.0,24,True,1.0,,,,,,,,,,,,
11,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2024-09-05 12:49:05,2024-09-05 12:49:02,923.0,18.0,27.0,5.0,258.0,14.0,38.0,84.0,2024-07-03 08:48:20,1.15.0,30.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",675.0,675.0,17.0,https://pypi.org/project/mkdocs-rss-plugin,52778.0,52782.0,24,True,1.0,,-1.0,151.0,,,,,,,,,
12,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2024-09-03 17:31:14,2024-09-03 17:20:36,340.0,18.0,32.0,4.0,40.0,29.0,98.0,178.0,2024-09-03 17:20:55,1.11.1,33.0,A Python handler for mkdocstrings.,,,18.0,https://pypi.org/project/mkdocstrings-python,2205267.0,2205267.0,23,True,1.0,,,,,,,,,,,,
13,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-08-10 23:26:51,2024-08-10 23:26:11,196.0,2.0,19.0,3.0,137.0,3.0,79.0,105.0,2024-08-10 23:36:21,6.2.2,59.0,Mkdocs Markdown includer plugin.,2315.0,2315.0,16.0,https://pypi.org/project/mkdocs-include-markdown-plugin,251795.0,251805.0,23,True,1.0,,,460.0,,,,,,,,,
14,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2024-09-08 17:38:23,2024-09-08 17:31:59,208.0,2.0,18.0,5.0,32.0,11.0,47.0,82.0,2024-05-08 14:20:25,0.9.0,22.0,MkDocs plugin to display git authors of a page.,1009.0,1009.0,13.0,https://pypi.org/project/mkdocs-git-authors-plugin,105990.0,105990.0,23,True,2.0,,,,,,,,,,,,
15,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-08-12 09:35:28,2024-07-28 20:33:58,154.0,15.0,27.0,4.0,40.0,5.0,33.0,46.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,44.0,44.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,54920.0,54920.0,23,True,1.0,,,,,,,,,,,,
16,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01,2021-10-14 20:29:54,188.0,,73.0,11.0,51.0,61.0,44.0,327.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,599.0,599.0,6.0,https://pypi.org/project/mkdocs-with-pdf,52791.0,52791.0,22,True,1.0,,,,,,,,,,,,
17,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,42.0,20.0,32.0,42.0,46.0,318.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1125.0,1125.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,31713.0,31713.0,22,True,1.0,,,,,,,,,,,,
18,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2024-05-30 11:43:27,2024-01-04 14:28:40,148.0,,72.0,23.0,65.0,35.0,30.0,318.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,471.0,471.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,328573.0,328573.0,22,True,1.0,,,,,,,,,,,,
19,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-09-05 14:54:57,2024-09-05 14:54:50,112.0,2.0,26.0,2.0,23.0,7.0,62.0,212.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,2177.0,2177.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,246105.0,246105.0,22,True,1.0,,,,,,,,,,,,
20,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2024-08-19 20:45:12,2024-08-13 01:10:34,427.0,1.0,47.0,4.0,51.0,53.0,51.0,126.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,139.0,139.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,61102.0,61102.0,22,True,1.0,,-1.0,,,,,,,,,,
21,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2024-09-26 09:27:55,2024-09-26 09:27:24,798.0,219.0,17.0,2.0,77.0,3.0,128.0,95.0,2024-09-23 03:55:39,3.0.20,46.0,A plugin for MkDocs to generate API documentation.,189.0,189.0,5.0,https://pypi.org/project/mkapi,5885.0,5885.0,22,True,2.0,,,,,,,,,,,,
22,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2024-09-26 10:31:53,2024-09-25 13:25:17,295.0,29.0,63.0,15.0,157.0,6.0,58.0,87.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,68.0,68.0,41.0,https://pypi.org/project/mkdocs-techdocs-core,317081.0,317081.0,22,True,1.0,,,,,,,,,,,,
23,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2024-09-01 14:08:03,2024-09-01 14:07:10,393.0,4.0,21.0,3.0,225.0,12.0,32.0,75.0,2024-09-01 14:07:16,2.16.2,54.0,A MkDocs plugin for citation management using bibtex.,315.0,315.0,14.0,https://pypi.org/project/mkdocs-bibtex,47110.0,47110.0,22,True,1.0,,,,,,,,,,,,
24,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2024-05-30 16:15:13,2024-05-30 16:14:35,305.0,,37.0,10.0,170.0,21.0,122.0,229.0,,,,MkDocs i18n plugin using static translation markdown files.,1211.0,1211.0,11.0,https://pypi.org/project/mkdocs-static-i18n,49926.0,49926.0,21,True,1.0,,,,,,,,,,,,
25,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16,2024-01-29 16:11:49,76.0,,17.0,10.0,21.0,4.0,13.0,148.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,8288.0,8288.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,213896.0,213896.0,21,True,1.0,,,,,,,,,,,,
26,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2024-05-23 12:53:23,2024-05-23 12:53:22,98.0,,15.0,2.0,8.0,16.0,26.0,130.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,3216.0,3216.0,6.0,https://pypi.org/project/mkdocs-glightbox,278046.0,278047.0,21,True,1.0,,,33.0,,,,,,,,,
27,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2024-07-14 13:43:03,2024-04-27 10:08:41,84.0,,10.0,3.0,9.0,9.0,18.0,107.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,2430.0,2430.0,5.0,https://pypi.org/project/mkdocs-gen-files,404453.0,404453.0,21,True,2.0,,,,,,,,,,,,
28,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10,2023-02-07 09:45:37,75.0,,37.0,9.0,23.0,8.0,18.0,102.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,6394.0,6394.0,12.0,https://pypi.org/project/markdown-include,130914.0,130914.0,21,True,2.0,markdown_include.include,,,,,,,,,,,
29,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51,2024-08-22 08:33:30,76.0,3.0,18.0,3.0,17.0,6.0,29.0,83.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1239.0,1239.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,53064.0,53064.0,21,True,2.0,,,,,,,,,,,,
30,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2024-04-20 14:40:22,2024-04-20 14:40:17,92.0,,8.0,3.0,3.0,7.0,13.0,77.0,2024-04-20 14:42:04,0.3.9,11.0,MkDocs plugin to allow clickable sections that lead to an index page.,1784.0,1784.0,3.0,https://pypi.org/project/mkdocs-section-index,248458.0,248458.0,21,True,1.0,,,,,,,,,,,,
31,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00,2024-09-23 14:53:56,120.0,3.0,16.0,4.0,53.0,3.0,33.0,41.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,384.0,384.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,41630.0,41630.0,21,True,1.0,,1.0,,,,,,,,,,
32,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2024-09-26 15:53:49,2024-09-13 18:30:08,674.0,31.0,10.0,3.0,748.0,,18.0,40.0,2024-07-14 19:18:29,3.2.0,42.0,Build documentation files inside your code into a MkDocs site.,52.0,52.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,20304.0,20304.0,21,True,2.0,,,,,,,,,,,,
33,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,99.0,8.0,59.0,16.0,35.0,205.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",653.0,653.0,23.0,https://pypi.org/project/mkdocs-cinder,7752.0,7761.0,20,True,1.0,,,1000.0,,,,,,,,,
34,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,,19.0,2.0,1078.0,14.0,26.0,136.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,589.0,589.0,14.0,https://pypi.org/project/mknotebooks,20562.0,20562.0,20,True,2.0,,,,,,,,,,,,
35,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-06-14 17:41:40,2024-06-14 17:41:30,271.0,,16.0,4.0,8.0,3.0,61.0,125.0,2024-01-30 19:13:34,3.0.3,34.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1130.0,1130.0,5.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,7287.0,7288.0,20,True,1.0,,,92.0,,,,,,,,,
36,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2024-09-13 14:07:05,2024-09-08 17:28:40,167.0,23.0,20.0,4.0,26.0,1.0,51.0,123.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,8.0,https://pypi.org/project/mkdocs-table-reader-plugin,67046.0,67046.0,20,True,2.0,,,,,,,,,,,,
37,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2024-07-08 21:58:03,2024-07-08 20:26:58,232.0,3.0,8.0,2.0,1.0,10.0,40.0,101.0,2024-06-24 14:50:28,1.9.3,9.0,Utilities to execute code blocks in Markdown files.,334.0,334.0,2.0,https://pypi.org/project/markdown-exec,38374.0,38374.0,20,True,2.0,,,,,,,,,,,,
38,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2024-04-27 10:01:31,2024-04-27 10:00:16,127.0,,8.0,4.0,5.0,14.0,16.0,75.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1987.0,1987.0,,https://pypi.org/project/mkdocs-literate-nav,271187.0,271187.0,20,True,1.0,,,,,,,,,,,,
39,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2024-07-30 17:35:34,2024-06-18 08:17:19,194.0,,18.0,4.0,41.0,10.0,44.0,69.0,2024-05-11 14:55:57,1.2.4,14.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,23.0,23.0,12.0,https://pypi.org/project/mkdoxy,19679.0,19679.0,20,True,2.0,,,,,,,,,,,,
40,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,7.0,5.0,9.0,5.0,9.0,56.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2373.0,2373.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,78774.0,78774.0,20,True,2.0,,,,,,,,,,,,
41,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2024-07-23 15:24:50,2024-07-11 20:11:57,96.0,4.0,19.0,4.0,31.0,12.0,26.0,54.0,2024-02-24 09:21:04,2.3.0,17.0,An MkDocs plugin to create a list of contributors on the page.,706.0,706.0,13.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,51309.0,51309.0,20,True,2.0,,,,,,,,,,,,
42,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39,2024-04-16 19:14:48,121.0,,9.0,4.0,10.0,4.0,28.0,40.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,228.0,228.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,22068.0,22068.0,20,True,1.0,,,,,,,,,,,,
