,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url,updated_github_id
10,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2022-04-07 01:11:11,2022-02-02 11:19:26,162.0,,9.0,3.0,22.0,8.0,34.0,21.0,2022-02-02 11:21:52,0.6.4,16.0,MkDocs plugin to display git authors of a page.,132.0,132.0,4.0,https://pypi.org/project/mkdocs-git-authors-plugin,8588.0,8588.0,21,True,2.0,,,,,
11,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2022-05-19 09:51:25,2022-05-19 09:50:47,118.0,4.0,45.0,16.0,41.0,18.0,20.0,194.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,80.0,80.0,25.0,https://pypi.org/project/mkdocs-monorepo-plugin,70938.0,70938.0,20,True,1.0,,,,,
12,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2021-10-18 06:40:36,2021-10-18 06:35:38,25.0,,6.0,8.0,10.0,1.0,6.0,54.0,2021-10-18 06:40:36,0.5.0,2.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,2608.0,2608.0,6.0,https://pypi.org/project/mkdocs-minify-plugin,95937.0,95937.0,20,True,1.0,,,,,
13,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2022-06-09 00:42:23,2022-06-09 00:40:35,298.0,56.0,9.0,3.0,108.0,4.0,19.0,30.0,2022-06-09 00:42:24,2.8.1,23.0,A MkDocs plugin for citation management using bibtex.,74.0,74.0,10.0,https://pypi.org/project/mkdocs-bibtex,1727.0,1727.0,20,False,1.0,,,,,
14,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2022-02-12 20:33:57,2022-02-12 20:26:26,69.0,,23.0,7.0,11.0,9.0,43.0,246.0,2022-02-12 20:35:47,2.7.0,20.0,An MkDocs plugin that simplifies configuring page titles and their order.,,,4.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,65976.0,65976.0,19,True,1.0,,,,,
15,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2021-12-16 09:48:55,2021-12-15 20:25:46,73.0,,14.0,3.0,13.0,2.0,24.0,52.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,434.0,434.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,13579.0,13579.0,19,True,2.0,,,,,
16,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2022-06-22 18:48:46,2022-06-22 17:32:23,53.0,11.0,9.0,1.0,4.0,,23.0,44.0,2022-06-22 18:48:47,2.2.0,13.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,46.0,46.0,3.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,2121.0,2121.0,19,True,1.0,,1.0,,,
17,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2022-03-08 14:43:42,2022-03-08 14:42:57,26.0,,6.0,4.0,8.0,3.0,9.0,43.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,634.0,634.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,29313.0,29313.0,19,True,2.0,,,,,
18,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2022-06-24 00:35:49,2022-06-01 11:46:48,456.0,16.0,9.0,2.0,104.0,5.0,16.0,27.0,2022-04-27 12:37:55,1.1.0,8.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",98.0,98.0,9.0,https://pypi.org/project/mkdocs-rss-plugin,2942.0,2942.0,19,True,1.0,2.0,-1.0,,,
19,Cinder,chrissimpkins/cinder,,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2022-06-26 11:08:07,2021-01-05 20:29:39,229.0,,99.0,8.0,58.0,12.0,35.0,159.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",448.0,448.0,23.0,,,11.0,18,True,1.0,950.0,1.0,,,
20,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2022-04-20 06:46:02,2021-12-11 12:24:53,62.0,,15.0,2.0,12.0,2.0,35.0,122.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,420.0,420.0,10.0,https://pypi.org/project/mkdocs-mermaid2-plugin,51353.0,51353.0,18,True,1.0,,,,,
21,Bootswatch,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,56.0,5.0,35.0,2.0,30.0,118.0,,,,MkDocs Bootswatch Themes.,806.0,806.0,10.0,https://pypi.org/project/mkdocs-bootswatch,11068.0,11068.0,18,True,1.0,,,,,
22,static-i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2022-06-27 13:31:13,2022-06-22 07:29:04,127.0,12.0,16.0,4.0,59.0,1.0,59.0,74.0,,,,MkDocs i18n plugin using static translation markdown files.,159.0,159.0,4.0,https://pypi.org/project/mkdocs-static-i18n,8195.0,8195.0,18,True,1.0,,1.0,,,
23,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-06-01 11:12:08,2022-06-01 11:07:38,215.0,4.0,7.0,2.0,5.0,1.0,66.0,41.0,2022-06-01 11:11:09,2.3.4,39.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",86.0,86.0,2.0,https://pypi.org/project/mkdocs-print-site-plugin,5371.0,5371.0,18,True,2.0,,,,,
24,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2022-05-03 07:39:17,2022-05-03 07:39:13,38.0,2.0,3.0,2.0,14.0,,5.0,38.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",440.0,440.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,9325.0,9325.0,18,True,2.0,18.0,,,,
25,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2022-06-01 17:41:33,2022-06-01 17:40:10,120.0,10.0,7.0,3.0,71.0,2.0,33.0,24.0,2022-06-01 08:42:18,3.5.2,31.0,Mkdocs Markdown includer plugin.,,,9.0,https://pypi.org/project/mkdocs-include-markdown-plugin,28232.0,28233.0,18,True,1.0,31.0,,,,
26,MkApi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,17.0,2.0,9.0,27.0,20.0,68.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,76.0,76.0,4.0,https://pypi.org/project/mkapi,4705.0,4705.0,17,True,2.0,,,,,
27,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2022-05-13 18:01:14,2022-05-13 18:01:14,70.0,1.0,5.0,2.0,9.0,,16.0,42.0,2022-01-21 21:04:18,1.0.0,13.0,MkDocs plugin that adds a {{ read_csv(table.csv) }} markdown tag to directly insert CSV files as a table into a page.,90.0,90.0,4.0,https://pypi.org/project/mkdocs-table-reader-plugin,13934.0,13934.0,17,True,1.0,,,,,
28,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2022-06-28 01:11:53,2022-06-28 01:11:52,335.0,36.0,6.0,2.0,332.0,,11.0,20.0,2022-04-29 03:57:03,1.1.1,32.0,Build documentation files inside your code into a MkDocs site.,16.0,16.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,5429.0,5429.0,17,True,2.0,,,,,
29,MkAutoDoc,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2021-02-26 13:51:30,2020-03-03 16:14:51,22.0,,12.0,6.0,15.0,6.0,10.0,166.0,,,,Auto documentation for MkDocs.,196.0,196.0,5.0,https://pypi.org/project/mkautodoc,8988.0,8988.0,16,False,2.0,,,,,
30,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2022-04-04 00:49:38,2021-08-11 13:02:40,109.0,,24.0,9.0,19.0,11.0,26.0,79.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",37.0,37.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,694.0,694.0,16,True,2.0,25.0,,,,
31,mktestdocs,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2022-05-27 05:59:16,2022-05-27 05:59:16,48.0,20.0,4.0,1.0,8.0,1.0,,56.0,2022-05-26 16:45:54,0.2.0,2.0,Run pytest against markdown files/docstrings.,15.0,15.0,3.0,https://pypi.org/project/mktestdocs,814.0,814.0,16,True,1.0,,,,,
32,mkdocs-click,DataDog/mkdocs-click,mkdocs-click,['plugin'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-06-19 16:09:56,2022-06-19 16:06:53,53.0,8.0,14.0,9.0,37.0,10.0,9.0,38.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,,,10.0,https://pypi.org/project/mkdocs-click,23477.0,23477.0,16,True,2.0,,,,,
33,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,7.0,3.0,39.0,3.0,22.0,38.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,38.0,38.0,5.0,https://pypi.org/project/mkdocs-versioning,3769.0,3769.0,16,True,2.0,,,,,
34,mkdocs-multirepo-plugin,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2022-06-22 13:07:06,2022-06-17 12:39:12,323.0,36.0,12.0,2.0,9.0,7.0,13.0,32.0,2022-06-22 13:07:06,0.4.0,11.0,Build documentation in multiple repos into one site.,3.0,3.0,4.0,https://pypi.org/project/mkdocs-multirepo-plugin,1062.0,1062.0,16,True,2.0,,-1.0,,,
35,mkdocs-blogging-plugin,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2022-06-20 07:19:54,2022-06-20 07:19:20,96.0,21.0,7.0,1.0,14.0,,18.0,19.0,2022-06-20 04:49:39,2.1.0,17.0,"A mkdocs plugin that generates a blog page listing selected pages, sorted by time.",22.0,22.0,4.0,https://pypi.org/project/mkdocs-blogging-plugin,1507.0,1507.0,16,False,2.0,5.0,,,,
36,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2022-05-04 20:39:53,2022-05-04 20:37:55,165.0,6.0,17.0,3.0,36.0,6.0,42.0,133.0,,,,Use Jupyter Notebook in mkdocs.,,,13.0,https://pypi.org/project/mkdocs-jupyter,22669.0,22669.0,15,True,2.0,,,,,
37,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2022-05-28 16:37:25,2022-05-28 16:37:23,59.0,3.0,3.0,2.0,13.0,3.0,16.0,39.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,26.0,26.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,3381.0,3381.0,15,True,2.0,,,,,
38,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2022-06-20 09:00:29,2022-06-20 09:00:29,56.0,1.0,7.0,4.0,6.0,,14.0,21.0,2021-05-25 13:48:22,0.9.1,8.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,28.0,28.0,4.0,https://pypi.org/project/mkdocs-localsearch,3479.0,3479.0,15,True,1.0,,,,,
39,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2021-12-19 07:05:50,2021-12-19 07:05:45,59.0,,5.0,3.0,18.0,1.0,12.0,18.0,2021-09-18 01:15:25,0.7.0,8.0,A MkDocs plugin that validates URL in rendered html files.,161.0,161.0,6.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,4841.0,4841.0,15,False,1.0,,,,,
40,exclude-search,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2022-06-09 11:59:47,2022-01-05 22:49:24,126.0,,2.0,2.0,25.0,,14.0,16.0,2022-01-05 22:53:05,0.6.4,16.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,107.0,107.0,3.0,https://pypi.org/project/mkdocs-exclude-search,3597.0,3597.0,15,False,1.0,6.0,,,,
41,git-committers-2,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2022-06-28 19:24:46,2022-06-28 19:23:10,30.0,16.0,4.0,2.0,6.0,2.0,3.0,5.0,2022-06-28 19:27:42,0.4.3,2.0,An MkDocs plugin to create a list of contributors on the page.,8.0,8.0,4.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,3296.0,3296.0,15,False,3.0,,5.0,,,
42,autolinks,midnightprioriem/mkdocs-autolinks-plugin,,['plugin'],links-refs,https://github.com/midnightprioriem/mkdocs-autolinks-plugin,https://github.com/midnightprioriem/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2022-06-09 07:36:47,2022-03-14 14:06:12,21.0,,13.0,3.0,13.0,6.0,8.0,39.0,2022-03-14 14:06:55,_050,5.0,An MkDocs plugin that automagically generates relative links between markdown pages.,157.0,157.0,8.0,,,,14,True,2.0,,,,,
43,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2022-06-18 23:24:33,2022-06-18 23:22:41,56.0,1.0,3.0,2.0,1.0,2.0,7.0,37.0,2022-03-30 21:27:08,0.3.4,6.0,MkDocs plugin to allow clickable sections that lead to an index page.,,,,https://pypi.org/project/mkdocs-section-index,22687.0,22687.0,14,True,2.0,,-1.0,,,
44,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2022-01-09 20:46:13,2022-01-09 20:45:23,103.0,,2.0,2.0,5.0,,26.0,23.0,2022-01-09 20:48:35,0.5,10.0,MkDocs Plugin to enumerate the headings across site pages.,71.0,71.0,2.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,3609.0,3609.0,14,True,2.0,,,,,
45,git-committers,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2021-08-12 15:47:32,2021-08-12 15:47:19,39.0,,6.0,4.0,7.0,5.0,,20.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,81.0,81.0,5.0,https://pypi.org/project/mkdocs-git-committers-plugin,8543.0,8543.0,14,True,3.0,,,,,
46,MkDocs Video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2022-05-20 16:34:06,2022-05-20 16:34:06,13.0,2.0,6.0,1.0,3.0,2.0,4.0,18.0,2022-04-14 18:24:15,1.3.0,4.0,MkDocs Video plugin.,78.0,78.0,4.0,https://pypi.org/project/mkdocs-video,6473.0,6473.0,14,False,2.0,11.0,,,,
47,mktheapidocs,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,5.0,3.0,2.0,64.0,10.0,6.0,10.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,12.0,12.0,5.0,https://pypi.org/project/mktheapidocs,778.0,778.0,14,False,3.0,,,,,
48,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2022-02-05 20:15:03,2022-02-05 08:12:55,48.0,,3.0,2.0,20.0,4.0,6.0,7.0,2020-11-08 17:14:20,0.2.0,4.0,A plugin to include code snippets into mkdocs pages.,55.0,55.0,3.0,https://pypi.org/project/mkdocs-codeinclude-plugin,2740.0,2740.0,14,False,2.0,,,,,
