,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
10,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-12-06 19:12:00,2023-10-15 18:55:46,229.0,,34.0,5.0,74.0,16.0,92.0,307.0,,,,Use Jupyter Notebook in mkdocs.,1851.0,1851.0,19.0,https://pypi.org/project/mkdocs-jupyter,134887.0,134887.0,23,True,1.0,,,1.0,,,,,,
11,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2024-01-08 10:24:51,2024-01-04 14:28:40,148.0,3.0,70.0,23.0,62.0,29.0,30.0,288.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,358.0,358.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,189557.0,189557.0,23,True,1.0,,,,,,,,,
12,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-09-26 08:14:18,2023-09-26 06:36:28,98.0,,21.0,1.0,18.0,4.0,58.0,185.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,1687.0,1687.0,13.0,https://pypi.org/project/mkdocs-mermaid2-plugin,137328.0,137328.0,23,True,1.0,,,,,,,,,
13,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-12-15 08:06:57,2023-12-14 17:27:25,68.0,5.0,14.0,10.0,20.0,4.0,12.0,115.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,6918.0,6918.0,11.0,https://pypi.org/project/mkdocs-minify-plugin,141884.0,141884.0,23,True,1.0,,,,,,,,,
14,encryptcontent,,encryptcontent,,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-01-14 20:40:50,2024-01-14 20:40:25,256.0,19.0,13.0,4.0,7.0,2.0,52.0,101.0,2024-01-03 16:39:21,3.0.2,33.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,992.0,992.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,7873.0,7874.0,23,True,1.0,,81.0,,unverbuggt/mkdocs-encryptcontent-plugin,,,,,
15,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08,2021-10-14 20:29:54,188.0,,68.0,10.0,50.0,55.0,44.0,282.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,458.0,458.0,6.0,https://pypi.org/project/mkdocs-with-pdf,24236.0,24236.0,22,True,1.0,,,,,,,,,
16,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-11-22 09:53:29,2023-11-22 09:52:44,278.0,4.0,30.0,9.0,159.0,12.0,114.0,188.0,,,,MkDocs i18n plugin using static translation markdown files.,909.0,909.0,8.0,https://pypi.org/project/mkdocs-static-i18n,23444.0,23444.0,22,True,1.0,,,,,,,,,
17,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-12-03 13:47:46,2023-11-04 12:53:14,102.0,3.0,18.0,139.0,28.0,11.0,18.0,137.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,2908.0,2908.0,13.0,https://pypi.org/project/mkdocs-redirects,113209.0,113209.0,22,True,1.0,,,,,,,,,
18,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2024-01-10 20:50:26,2023-12-06 00:10:35,418.0,3.0,36.0,4.0,44.0,41.0,47.0,99.0,2023-09-07 17:28:03,0.6.3,18.0,Build documentation in multiple repos into one site.,93.0,93.0,13.0,https://pypi.org/project/mkdocs-multirepo-plugin,36812.0,36812.0,22,True,2.0,,,,,,,,,
19,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],other,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2024-01-04 15:14:54,2024-01-03 19:36:57,225.0,22.0,53.0,16.0,115.0,2.0,47.0,69.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,44.0,44.0,37.0,https://pypi.org/project/mkdocs-techdocs-core,258056.0,258056.0,22,True,1.0,,,,,,,,,
20,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-12-03 13:47:49,2023-11-24 15:00:44,120.0,7.0,8.0,3.0,5.0,9.0,14.0,62.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1426.0,1426.0,,https://pypi.org/project/mkdocs-literate-nav,116763.0,116763.0,22,True,1.0,,,,,,,,,
21,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2024-01-07 09:48:21,2024-01-07 09:47:53,80.0,23.0,13.0,3.0,21.0,4.0,23.0,28.0,2024-01-07 09:56:38,2.2.3,16.0,An MkDocs plugin to create a list of contributors on the page.,367.0,367.0,9.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,13467.0,13467.0,22,True,2.0,,,,,,,,,
22,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,43.0,19.0,32.0,41.0,46.0,300.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,627.0,627.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,14689.0,14689.0,21,True,1.0,,,,,,,,,
23,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,,20.0,2.0,1078.0,13.0,26.0,118.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,487.0,487.0,14.0,https://pypi.org/project/mknotebooks,12264.0,12264.0,21,True,2.0,,,,,,,,,
24,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-01-04 15:27:46,2023-10-25 17:48:31,229.0,2.0,16.0,4.0,12.0,11.0,72.0,105.0,2023-08-28 07:28:44,2.3.6,41.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",270.0,270.0,5.0,https://pypi.org/project/mkdocs-print-site-plugin,16778.0,16778.0,21,True,1.0,,,,,,,,,
25,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-12-03 13:47:54,2023-11-24 15:02:21,87.0,5.0,7.0,2.0,3.0,4.0,13.0,66.0,2023-09-22 12:03:42,0.3.8,10.0,MkDocs plugin to allow clickable sections that lead to an index page.,1336.0,1336.0,3.0,https://pypi.org/project/mkdocs-section-index,115695.0,115695.0,21,True,2.0,,,,,,,,,
26,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2024-01-18 15:43:37,2024-01-17 00:07:42,604.0,32.0,11.0,3.0,626.0,,17.0,38.0,2023-08-25 06:55:19,3.1.0,41.0,Build documentation files inside your code into a MkDocs site.,46.0,46.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,14108.0,14108.0,21,True,2.0,,,,,,,,,
27,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,102.0,8.0,59.0,16.0,35.0,195.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",593.0,593.0,23.0,https://pypi.org/project/mkdocs-cinder,5929.0,5938.0,20,True,1.0,,973.0,,,,,,,
28,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2023-12-29 21:16:01,2023-12-29 21:16:01,71.0,3.0,56.0,7.0,36.0,3.0,30.0,134.0,,,,MkDocs Bootswatch Themes.,1057.0,1057.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10084.0,10084.0,20,True,1.0,,,,,,,,,
29,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-10-15 19:09:45,2023-10-15 19:09:45,120.0,,14.0,4.0,17.0,2.0,36.0,93.0,2023-10-11 12:15:58,2.0.3,20.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,529.0,529.0,6.0,https://pypi.org/project/mkdocs-table-reader-plugin,50480.0,50480.0,20,True,1.0,,,1.0,,,,,,
30,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,36.0,10.0,21.0,6.0,17.0,92.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,5386.0,5386.0,12.0,https://pypi.org/project/markdown-include,59360.0,59360.0,20,True,2.0,markdown_include.include,,,,,,,,
31,mkdocs-click,,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2023-11-04 12:58:36,2023-11-04 12:53:10,70.0,3.0,17.0,10.0,48.0,12.0,15.0,88.0,2023-09-18 18:43:15,0.8.1,10.0,An MkDocs extension to generate documentation for Click command line applications.,368.0,368.0,13.0,https://pypi.org/project/mkdocs-click,35799.0,35799.0,20,True,1.0,mkdocs-click,,,mkdocs/mkdocs-click,,,,,
32,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-12-30 14:47:20,2023-12-30 14:47:09,78.0,7.0,9.0,1.0,3.0,6.0,19.0,88.0,2023-12-30 14:47:57,0.3.6,14.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,2106.0,2106.0,2.0,https://pypi.org/project/mkdocs-glightbox,137766.0,137767.0,20,True,1.0,,24.0,,,,,,,
33,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-12-03 13:47:55,2023-11-24 15:02:17,80.0,5.0,7.0,2.0,7.0,4.0,18.0,77.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1774.0,1774.0,5.0,https://pypi.org/project/mkdocs-gen-files,114298.0,114298.0,20,True,2.0,,,,,,,,,
34,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-10-02 13:27:32,2021-12-15 20:25:46,73.0,,17.0,3.0,16.0,6.0,26.0,71.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,979.0,979.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,32712.0,32712.0,20,True,2.0,,,,,,,,,
35,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-10-30 17:42:50,2023-07-04 20:02:13,198.0,,14.0,5.0,28.0,9.0,41.0,58.0,2023-06-08 18:11:02,0.7.2,20.0,MkDocs plugin to display git authors of a page.,618.0,618.0,7.0,https://pypi.org/project/mkdocs-git-authors-plugin,39884.0,39884.0,20,True,2.0,,,,,,,,,
36,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2024-01-17 05:08:44,2024-01-17 03:02:46,202.0,47.0,5.0,3.0,12.0,,13.0,47.0,2024-01-17 03:05:53,1.0.7,7.0,Dark theme for Mkdocs.,41.0,41.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,1282.0,1282.0,20,True,1.0,,,1.0,,,,,,
37,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2024-01-16 10:20:02,2024-01-16 10:17:22,263.0,18.0,3.0,1.0,303.0,1.0,10.0,15.0,2023-12-06 16:30:51,3.0.0,12.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,983.0,983.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,5018.0,5018.0,20,False,2.0,,,,,,,,,
38,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2024-01-05 18:45:28,2024-01-05 18:40:34,179.0,10.0,4.0,2.0,1.0,11.0,19.0,61.0,2024-01-05 18:40:53,1.8.0,2.0,Utilities to execute code blocks in Markdown files.,173.0,173.0,2.0,https://pypi.org/project/markdown-exec,11100.0,11100.0,19,True,2.0,,,,,,,,,
39,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,9.0,5.0,9.0,5.0,9.0,55.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1738.0,1738.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,42821.0,42821.0,19,True,2.0,,,,,,,,,
40,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24,2023-11-14 05:07:17,58.0,3.0,4.0,2.0,32.0,,6.0,55.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1327.0,1327.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,22644.0,22644.0,19,True,2.0,,30.0,,,,,,,
41,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2024-01-01 14:51:41,2024-01-01 14:51:34,373.0,9.0,14.0,3.0,185.0,8.0,27.0,55.0,2023-07-01 14:51:25,2.11.0,42.0,A MkDocs plugin for citation management using bibtex.,229.0,229.0,10.0,https://pypi.org/project/mkdocs-bibtex,2833.0,2833.0,19,False,2.0,,,,,,,,,
42,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-08-18 14:56:02,2023-08-18 14:56:02,100.0,,11.0,4.0,41.0,3.0,24.0,35.0,2023-07-19 14:08:38,1.0.0,18.0,A MkDocs plugin that validates URL in rendered html files.,319.0,319.0,12.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,25883.0,25883.0,19,True,1.0,,,,,,,,,
43,exclude-search,,exclude-search,,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-12-04 02:34:50,2023-12-04 02:34:50,136.0,3.0,2.0,3.0,30.0,,16.0,27.0,2023-11-20 18:24:40,0.6.6,18.0,A mkdocs plugin that excludes selected chapters from the docs search index.,315.0,315.0,5.0,https://pypi.org/project/mkdocs-exclude-search,12876.0,12876.0,19,True,1.0,,8.0,,,,,,,
