,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,bitbucket_id
13,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-04-17 22:07:31.000000,2024-03-06 09:42:36,105.0,7.0,25.0,1.0,22.0,8.0,59.0,196.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,1950.0,1950.0,13.0,https://pypi.org/project/mkdocs-mermaid2-plugin,193943.0,193943.0,23,True,1.0,,,,,,,,,,,
14,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2024-03-19 07:44:44.000000,2024-02-03 21:51:18,105.0,,20.0,141.0,29.0,12.0,19.0,157.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,3474.0,3474.0,13.0,https://pypi.org/project/mkdocs-redirects,204534.0,204534.0,23,True,1.0,,,,,,,,,,,
15,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-05-23 17:32:19.000000,2024-05-23 17:32:17,245.0,10.0,19.0,4.0,14.0,15.0,74.0,123.0,2024-05-08 13:57:24,2.4.1,43.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",300.0,300.0,8.0,https://pypi.org/project/mkdocs-print-site-plugin,22305.0,22305.0,23,True,1.0,,,1.0,,,,,,,,
16,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2024-05-23 12:53:23.000000,2024-05-23 12:53:22,98.0,15.0,15.0,1.0,7.0,10.0,26.0,111.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,2625.0,2625.0,6.0,https://pypi.org/project/mkdocs-glightbox,209325.0,209326.0,23,True,1.0,,24.0,,,,,,,,,
17,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2024-05-08 14:20:43.000000,2024-05-08 14:17:09,206.0,8.0,16.0,5.0,31.0,10.0,46.0,68.0,2024-05-08 14:20:25,0.9.0,22.0,MkDocs plugin to display git authors of a page.,788.0,788.0,12.0,https://pypi.org/project/mkdocs-git-authors-plugin,74619.0,74619.0,23,True,2.0,,,,,,,,,,,
18,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2024-05-07 06:40:05.000000,2024-05-07 06:40:04,807.0,39.0,20.0,4.0,225.0,17.0,27.0,63.0,2024-04-30 10:16:36,1.12.2,23.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",519.0,519.0,13.0,https://pypi.org/project/mkdocs-rss-plugin,35889.0,35890.0,23,True,1.0,,60.0,,,,,,,,,
19,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59.000000,2021-10-05 01:31:10,72.0,,44.0,19.0,32.0,42.0,46.0,309.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,968.0,968.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,28316.0,28316.0,22,True,1.0,,,,,,,,,,,
20,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08.000000,2021-10-14 20:29:54,188.0,,73.0,10.0,50.0,57.0,44.0,305.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,516.0,516.0,6.0,https://pypi.org/project/mkdocs-with-pdf,45836.0,45836.0,22,True,1.0,,,,,,,,,,,
21,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2024-05-20 11:33:00.000000,2024-05-20 11:33:00,144.0,12.0,17.0,4.0,20.0,3.0,41.0,104.0,2024-05-20 11:18:18,2.2.2,24.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,663.0,663.0,8.0,https://pypi.org/project/mkdocs-table-reader-plugin,44642.0,44642.0,22,True,1.0,,,,,,,,,,,
22,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10.000000,2023-02-07 09:45:37,75.0,,36.0,10.0,23.0,7.0,17.0,95.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,5873.0,5873.0,12.0,https://pypi.org/project/markdown-include,116019.0,116019.0,22,True,2.0,markdown_include.include,,,,,,,,,,
23,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2024-05-21 05:26:41.000000,2024-04-04 14:30:48,388.0,12.0,18.0,3.0,209.0,11.0,32.0,65.0,2024-04-04 14:32:39,2.15.0,51.0,A MkDocs plugin for citation management using bibtex.,266.0,266.0,13.0,https://pypi.org/project/mkdocs-bibtex,17778.0,17778.0,22,True,1.0,,,,,,,,,,,
24,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-05-19 18:55:03.000000,2024-05-17 15:58:34,116.0,56.0,24.0,4.0,36.0,5.0,25.0,39.0,2024-05-17 15:59:25,0.8.0,13.0,MkDocs plugin for Kroki-Diagrams.,37.0,37.0,15.0,https://pypi.org/project/mkdocs-kroki-plugin,29107.0,29107.0,22,True,1.0,,,,,,,,,,,
25,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-05-10 03:57:28.000000,2024-05-10 03:57:28,116.0,14.0,15.0,4.0,51.0,3.0,32.0,38.0,2024-04-15 16:00:12,1.2.1,21.0,A MkDocs plugin that validates URL in rendered html files.,344.0,344.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,33214.0,33214.0,22,True,1.0,,,,,,,,,,,
26,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16.000000,2024-01-29 16:11:49,76.0,,17.0,10.0,21.0,4.0,13.0,136.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,7609.0,7609.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,201581.0,201581.0,21,True,1.0,,,,,,,,,,,
27,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-05-11 08:21:03.000000,2024-05-11 08:20:37,270.0,2.0,16.0,4.0,8.0,1.0,60.0,115.0,2024-01-30 19:13:34,3.0.3,34.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1088.0,1088.0,5.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,7371.0,7372.0,21,True,1.0,,85.0,,,,,,,,,
28,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2024-01-19 13:45:53.000000,2024-01-19 13:39:51,419.0,,40.0,4.0,44.0,45.0,49.0,115.0,2024-01-19 13:45:53,0.7.0,19.0,Build documentation in multiple repos into one site.,109.0,109.0,14.0,https://pypi.org/project/mkdocs-multirepo-plugin,43407.0,43407.0,21,True,2.0,,,,,,,,,,,
29,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-04-18 13:26:40.000000,2021-12-15 20:25:46,73.0,,17.0,3.0,17.0,8.0,26.0,79.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1134.0,1134.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,37294.0,37294.0,21,True,2.0,,,,,,,,,,,
30,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2024-05-20 01:27:24.000000,2024-05-10 02:09:14,242.0,7.0,59.0,16.0,131.0,7.0,52.0,79.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,52.0,52.0,38.0,https://pypi.org/project/mkdocs-techdocs-core,246050.0,246050.0,21,True,2.0,,,,,,,,,,,
31,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2024-05-22 11:42:46.000000,2024-05-22 11:36:09,190.0,11.0,6.0,2.0,1.0,15.0,22.0,78.0,2024-05-22 11:36:25,1.8.3,5.0,Utilities to execute code blocks in Markdown files.,249.0,249.0,2.0,https://pypi.org/project/markdown-exec,30152.0,30152.0,21,True,2.0,,,,,,,,,,,
32,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2024-05-06 22:28:20.000000,2024-05-06 22:28:20,93.0,32.0,5.0,4.0,31.0,4.0,23.0,72.0,2024-04-23 21:40:36,0.9.1,12.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,74.0,74.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,10550.0,10550.0,21,True,2.0,,,,,,,,,,,
33,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2024-04-20 14:40:22.000000,2024-04-20 14:40:17,92.0,1.0,7.0,3.0,3.0,4.0,13.0,72.0,2024-04-20 14:42:04,0.3.9,11.0,MkDocs plugin to allow clickable sections that lead to an index page.,1550.0,1550.0,3.0,https://pypi.org/project/mkdocs-section-index,203953.0,203953.0,21,True,1.0,,,,,,,,,,,
34,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2024-05-11 15:01:22.000000,2024-05-11 15:00:31,193.0,35.0,16.0,4.0,38.0,9.0,43.0,53.0,2024-05-11 14:55:57,1.2.4,14.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,11.0,11.0,12.0,https://pypi.org/project/mkdoxy,11804.0,11804.0,21,True,2.0,,,,,,,,,,,
35,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2024-04-05 12:39:53.000000,2024-04-05 12:39:53,92.0,9.0,15.0,4.0,24.0,7.0,26.0,43.0,2024-02-24 09:21:04,2.3.0,17.0,An MkDocs plugin to create a list of contributors on the page.,550.0,550.0,12.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,28464.0,28464.0,21,True,2.0,,,,,,,,,,,
36,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39.000000,2024-04-16 19:14:48,121.0,8.0,8.0,4.0,10.0,2.0,28.0,38.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,198.0,198.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,14445.0,14445.0,21,True,1.0,,,,,,,,,,,
37,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26.000000,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,16.0,35.0,199.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",631.0,631.0,23.0,https://pypi.org/project/mkdocs-cinder,8080.0,8089.0,20,True,1.0,,977.0,,,,,,,,,
38,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48.000000,2023-12-29 21:16:01,71.0,,57.0,7.0,37.0,3.0,30.0,139.0,,,,MkDocs Bootswatch Themes.,1099.0,1099.0,10.0,https://pypi.org/project/mkdocs-bootswatch,15428.0,15428.0,20,True,1.0,,,,,,,,,,,
39,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,,20.0,2.0,1078.0,14.0,26.0,127.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,539.0,539.0,14.0,https://pypi.org/project/mknotebooks,14064.0,14064.0,20,True,2.0,,,,,,,,,,,
40,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2024-05-15 16:14:03.000000,2024-04-27 10:08:41,84.0,1.0,7.0,3.0,7.0,6.0,18.0,90.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,2109.0,2109.0,5.0,https://pypi.org/project/mkdocs-gen-files,275478.0,275478.0,20,True,2.0,,,,,,,,,,,
41,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2024-04-27 10:01:31.000000,2024-04-27 10:00:16,127.0,1.0,8.0,4.0,5.0,11.0,16.0,71.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1708.0,1708.0,,https://pypi.org/project/mkdocs-literate-nav,207533.0,207533.0,20,True,2.0,,,,,,,,,,,
42,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30.000000,2022-03-08 14:42:57,26.0,,8.0,5.0,9.0,5.0,9.0,56.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2159.0,2159.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,86510.0,86510.0,20,True,2.0,,,,,,,,,,,
