,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,extra_dependencies,github_release_downloads,updated_github_id,shadowed,new_addition,gitlab_id,gitlab_url
10,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08,2021-10-14 20:29:54,188.0,,60.0,10.0,50.0,53.0,44.0,245.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,343.0,343.0,6.0,https://pypi.org/project/mkdocs-with-pdf,22355.0,22355.0,23,True,1.0,,,,,,,,,
11,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-06-15 14:54:42,2023-06-08 18:14:03,197.0,10.0,13.0,4.0,27.0,9.0,40.0,49.0,2023-06-08 18:11:02,0.7.2,20.0,MkDocs plugin to display git authors of a page.,418.0,418.0,7.0,https://pypi.org/project/mkdocs-git-authors-plugin,30203.0,30203.0,23,True,2.0,,,,,,,,,
12,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-04-30 12:54:48,2023-04-30 12:54:30,74.0,7.0,21.0,1.0,17.0,8.0,41.0,156.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,1397.0,1397.0,12.0,https://pypi.org/project/mkdocs-mermaid2-plugin,90018.0,90018.0,22,True,1.0,,,,,,,,,
13,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-05-27 08:38:21,2023-05-27 08:38:10,94.0,3.0,16.0,140.0,26.0,11.0,18.0,110.0,2022-09-18 12:22:52,1.2.0,9.0,Open source plugin for Mkdocs page redirects.,2115.0,2115.0,13.0,https://pypi.org/project/mkdocs-redirects,99318.0,99318.0,22,True,1.0,,,,,,,,,
14,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-03-14 21:33:45,2023-03-14 21:32:22,57.0,,12.0,10.0,16.0,1.0,11.0,92.0,2023-03-14 21:34:05,0.6.4,7.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,5451.0,5451.0,9.0,https://pypi.org/project/mkdocs-minify-plugin,118125.0,118125.0,22,True,1.0,,,,,,,,,
15,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,36.0,9.0,21.0,7.0,15.0,90.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,4699.0,4699.0,12.0,https://pypi.org/project/markdown-include,62605.0,62605.0,22,True,2.0,,markdown_include.include,,,,,,,
16,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2023-06-24 16:23:53,2023-06-15 18:07:24,224.0,4.0,12.0,3.0,8.0,9.0,68.0,78.0,2023-06-12 08:50:38,2.3.5,40.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",223.0,223.0,4.0,https://pypi.org/project/mkdocs-print-site-plugin,11274.0,11274.0,22,True,2.0,,,,,,,,,
17,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-06-09 14:22:49,2023-06-09 14:22:45,113.0,10.0,10.0,3.0,15.0,3.0,33.0,74.0,2023-06-09 13:59:16,2.0.1,18.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,272.0,272.0,6.0,https://pypi.org/project/mkdocs-table-reader-plugin,41276.0,41276.0,22,True,1.0,,,,,,,,,
18,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-05-28 15:22:51,2023-05-28 15:20:29,622.0,17.0,13.0,3.0,160.0,10.0,22.0,47.0,2023-05-28 15:15:27,1.7.0,15.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",213.0,213.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,7936.0,7937.0,22,True,1.0,-1.0,,,34.0,,,,,
19,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-11-22 05:06:36,2021-10-05 01:31:10,72.0,,41.0,19.0,31.0,40.0,46.0,283.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,431.0,431.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,19927.0,19927.0,21,True,2.0,,,,,,,,,
20,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-06-13 12:23:57,2023-06-13 12:23:57,411.0,3.0,24.0,2.0,36.0,24.0,38.0,77.0,2023-03-29 13:11:32,0.6.1,16.0,Build documentation in multiple repos into one site.,79.0,79.0,10.0,https://pypi.org/project/mkdocs-multirepo-plugin,15840.0,15840.0,21,True,2.0,,,,,,,,,
21,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-06-13 18:33:42,2023-05-09 14:45:05,139.0,23.0,11.0,3.0,6.0,2.0,39.0,73.0,2023-04-30 16:39:18,2.5.3,27.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,524.0,524.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,3854.0,3855.0,21,True,1.0,,,,66.0,unverbuggt/mkdocs-encryptcontent-plugin,,,,
22,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-04-27 19:48:45,2023-04-27 19:48:02,68.0,5.0,7.0,2.0,7.0,3.0,16.0,54.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1382.0,1382.0,5.0,https://pypi.org/project/mkdocs-gen-files,121247.0,121247.0,21,True,2.0,,,,,,,,,
23,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-05-17 21:27:05,2023-05-17 21:26:32,104.0,3.0,8.0,2.0,5.0,9.0,11.0,49.0,2023-01-06 13:51:31,0.6.0,2.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1062.0,1062.0,,https://pypi.org/project/mkdocs-literate-nav,105608.0,105608.0,21,True,1.0,,,,,,,,,
24,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-04-22 05:13:53,2023-04-22 05:13:34,93.0,7.0,10.0,3.0,37.0,4.0,22.0,31.0,2023-04-22 05:15:09,0.13.1,17.0,A MkDocs plugin that validates URL in rendered html files.,271.0,271.0,10.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,20937.0,20937.0,21,True,1.0,,,,,,,,,
25,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,15.0,35.0,186.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",549.0,549.0,23.0,https://pypi.org/project/mkdocs-cinder,5870.0,5880.0,20,True,1.0,,,,966.0,,,,,
26,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-06-26 13:59:29,2023-03-23 12:13:46,172.0,,24.0,5.0,140.0,11.0,81.0,145.0,,,,MkDocs i18n plugin using static translation markdown files.,604.0,604.0,8.0,https://pypi.org/project/mkdocs-static-i18n,13660.0,13660.0,20,True,1.0,,,,,,,,,
27,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-03-15 11:59:49,2022-12-20 11:05:47,1701.0,,18.0,2.0,1062.0,12.0,25.0,112.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,395.0,395.0,13.0,https://pypi.org/project/mknotebooks,21367.0,21367.0,20,True,2.0,,,,,,,,,
28,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-06-08 08:19:35,2023-06-08 08:19:17,143.0,31.0,14.0,3.0,18.0,6.0,31.0,70.0,2023-06-08 08:20:54,2.2.9,28.0,Add blogging feature to your MkDocs site.,107.0,107.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,5591.0,5591.0,20,True,2.0,,,,11.0,,,,,
29,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-04-10 20:10:34,2023-04-10 20:10:04,66.0,1.0,6.0,2.0,2.0,5.0,10.0,59.0,2023-01-29 19:23:45,0.3.5,7.0,MkDocs plugin to allow clickable sections that lead to an index page.,1070.0,1070.0,,https://pypi.org/project/mkdocs-section-index,89310.0,89310.0,20,True,2.0,,,,,,,,,
30,techdocs-core,,techdocs-core,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],other,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2023-06-22 22:26:47,2023-05-24 12:59:40,175.0,10.0,41.0,16.0,85.0,24.0,20.0,52.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,35.0,35.0,30.0,https://pypi.org/project/mkdocs-techdocs-core,146598.0,146598.0,20,True,1.0,,,,,,,,,
31,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-06-06 04:38:30,2023-06-06 04:36:08,353.0,13.0,13.0,3.0,163.0,7.0,27.0,47.0,2023-06-06 04:38:30,2.9.0,40.0,A MkDocs plugin for citation management using bibtex.,162.0,162.0,10.0,https://pypi.org/project/mkdocs-bibtex,3332.0,3332.0,20,False,1.0,,,,,,,,,
32,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-06-29 15:44:23,2023-06-28 23:45:36,513.0,35.0,10.0,3.0,521.0,,16.0,34.0,2023-02-17 15:11:31,2.3.0,39.0,Build documentation files inside your code into a MkDocs site.,39.0,39.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,13064.0,13064.0,20,True,2.0,,,,,,,,,
33,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,7.0,35.0,3.0,30.0,128.0,,,,MkDocs Bootswatch Themes.,990.0,990.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10830.0,10830.0,19,True,1.0,,,,,,,,,
34,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-01-26 16:53:16,2021-12-15 20:25:46,73.0,,17.0,3.0,15.0,5.0,26.0,65.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,817.0,817.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,37176.0,37176.0,19,True,2.0,,,,,,,,,
35,MkDocs GLightbox,,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-04-25 13:18:13,2023-04-25 13:18:07,71.0,5.0,8.0,1.0,3.0,5.0,15.0,58.0,2023-05-05 15:17:23,0.3.4,12.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,975.0,975.0,2.0,https://pypi.org/project/mkdocs-glightbox,52764.0,52766.0,19,True,1.0,,,,24.0,,,,,
36,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,9.0,5.0,9.0,4.0,9.0,52.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1440.0,1440.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,54069.0,54069.0,19,True,2.0,,,,,,,,,
37,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-06-20 04:07:02,2023-06-20 04:06:58,52.0,4.0,4.0,2.0,26.0,,6.0,51.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1028.0,1028.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,23443.0,23443.0,19,True,2.0,,,,28.0,,,,,
38,autorefs,,autorefs,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2023-06-29 08:01:20,2023-06-29 08:01:19,31.0,3.0,4.0,4.0,19.0,3.0,4.0,21.0,,,,Automatically link across pages in MkDocs.,3505.0,3505.0,5.0,https://pypi.org/project/mkdocs-autorefs,399175.0,399175.0,19,True,2.0,1.0,,,,,,,,
39,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-12-20 14:32:57,2022-12-20 14:32:56,54.0,,16.0,9.0,40.0,16.0,9.0,71.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,274.0,274.0,11.0,https://pypi.org/project/mkdocs-click,36370.0,36370.0,18,True,1.0,,mkdocs-click,,,,,,,
40,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-03-29 04:17:10,2023-02-27 16:41:41,25.0,,14.0,3.0,18.0,6.0,9.0,58.0,2023-02-27 16:42:54,_070,7.0,An MkDocs plugin that automagically generates relative links between markdown pages.,290.0,290.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,30802.0,30802.0,18,True,2.0,,,,,zachhannum/mkdocs-autolinks-plugin,,,,
41,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-05-27 08:38:48,2023-05-27 08:38:28,113.0,2.0,4.0,3.0,7.0,1.0,27.0,34.0,2023-05-27 08:39:33,0.6.1,12.0,MkDocs Plugin to enumerate the headings across site pages.,124.0,124.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,7376.0,7376.0,18,True,2.0,,,,,,,,,
42,mkdocs-embed-external-markdown,,external-markdown,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2023-06-27 17:52:17,2023-06-27 17:52:12,94.0,12.0,5.0,1.0,4.0,,6.0,6.0,2023-06-21 00:01:59,3.0.1,3.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,92.0,92.0,4.0,https://pypi.org/project/mkdocs-embed-external-markdown,9760.0,9760.0,18,False,2.0,,,,,,,,,
43,MkApi,,mkapi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,18.0,2.0,9.0,28.0,21.0,80.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,155.0,155.0,4.0,https://pypi.org/project/mkapi,4493.0,4493.0,17,True,2.0,,,,,,,,,
