,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
23,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59.000000,2021-10-05 01:31:10,72.0,,40.0,19.0,32.0,44.0,46.0,334.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1454.0,1454.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,31880.0,31880.0,22,True,2.0,,,,,,,,,,,,,
24,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2025-04-14 16:49:37.000000,2025-04-14 16:49:36,311.0,,43.0,9.0,176.0,25.0,125.0,281.0,,,,MkDocs i18n plugin using static translation markdown files.,1681.0,1681.0,13.0,https://pypi.org/project/mkdocs-static-i18n,112605.0,112605.0,22,True,1.0,,,1.0,,,,,,,,,,
25,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-11-15 07:42:13.000000,2024-11-15 07:42:07,117.0,,27.0,2.0,23.0,12.0,66.0,246.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,2977.0,2977.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,401459.0,401459.0,22,True,1.0,,,,,,,,,,,,,
26,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,MIT,2015-08-28 03:45:23,2023-03-07 11:46:26.000000,2021-01-05 20:29:39,229.0,,100.0,7.0,59.0,16.0,35.0,213.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",684.0,684.0,23.0,https://pypi.org/project/mkdocs-cinder,5966.0,5974.0,22,True,1.0,,1015.0,,,,,,,,,,,
27,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2025-07-07 19:52:32.000000,2025-07-07 19:52:27,284.0,1.0,16.0,4.0,11.0,6.0,64.0,157.0,2025-03-01 10:09:09,3.0.4,35.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1226.0,1226.0,6.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,6839.0,6840.0,22,True,1.0,,101.0,,,,,,,,,,,
28,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2025-06-18 15:50:54.000000,2025-06-18 15:50:53,81.0,1.0,19.0,10.0,59.0,16.0,16.0,134.0,2025-04-07 16:59:11,0.9.0,11.0,An MkDocs extension to generate documentation for Click command line applications.,898.0,898.0,16.0,https://pypi.org/project/mkdocs-click,548003.0,548003.0,22,True,1.0,mkdocs-click,,,,,,,,,,,,
29,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2025-07-12 21:55:10.000000,2025-07-12 21:54:24,941.0,51.0,18.0,2.0,101.0,4.0,147.0,118.0,2025-07-12 21:54:52,4.4.4,72.0,MkDocs plugin for automatic API documentation generation from Python docstrings.,225.0,225.0,5.0,https://pypi.org/project/mkapi,4175.0,4175.0,22,True,1.0,,,,,,,,,,,,,
30,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2025-03-18 21:52:45.000000,2025-03-18 21:52:37,133.0,,8.0,3.0,5.0,16.0,17.0,89.0,2025-03-18 21:55:50,0.6.2,4.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,2613.0,2613.0,,https://pypi.org/project/mkdocs-literate-nav,857119.0,857119.0,22,True,1.0,,,,,,,,,,,,,
31,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10.000000,2023-02-07 09:45:37,75.0,,35.0,8.0,24.0,8.0,19.0,111.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,7388.0,7388.0,12.0,https://pypi.org/project/markdown-include,342925.0,342925.0,21,True,2.0,markdown_include.include,,,,,,,,,,,,
32,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2025-04-05 20:56:19.000000,2025-04-05 20:56:05,98.0,,8.0,2.0,3.0,8.0,15.0,93.0,2025-04-05 20:57:37,0.3.10,12.0,MkDocs plugin to allow clickable sections that lead to an index page.,2250.0,2250.0,3.0,https://pypi.org/project/mkdocs-section-index,688188.0,688188.0,21,True,2.0,,,,,,,,,,,,,
33,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,12.0,9.0,4.0,51.0,5.0,30.0,84.0,2025-04-22 22:38:06,0.10.2,15.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,96.0,96.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,11457.0,11457.0,21,True,1.0,,,,,,,,,,,,,
34,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2025-06-05 13:12:50.000000,2025-06-05 13:12:50,123.0,1.0,24.0,2.0,38.0,13.0,36.0,66.0,2025-01-30 07:32:42,2.5.0,20.0,An MkDocs plugin to create a list of contributors on the page.,1251.0,1251.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,131505.0,131505.0,21,True,2.0,,,,,,,,,,,,,
35,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2025-07-17 11:33:25.000000,2025-07-17 11:31:40,356.0,11.0,3.0,1.0,426.0,1.0,11.0,18.0,2025-04-19 15:27:17,4.1.0,14.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1217.0,1217.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,10289.0,10289.0,21,True,2.0,,,,,,,,,,,,,
36,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2025-04-22 19:26:46.000000,2025-04-22 19:26:00,45.0,1.0,11.0,1.0,30.0,18.0,25.0,153.0,2025-04-22 19:26:46,1.1.2,21.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,419.0,419.0,10.0,https://pypi.org/project/neoteroi-mkdocs,89751.0,90013.0,20,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",10252.0,,,,,,,,,,,
37,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48.000000,2023-12-29 21:16:01,71.0,,58.0,6.0,37.0,3.0,30.0,150.0,,,,MkDocs Bootswatch Themes.,1215.0,1215.0,10.0,https://pypi.org/project/mkdocs-bootswatch,17786.0,17786.0,20,True,1.0,,,,,,,,,,,,,
38,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,,20.0,1.0,1078.0,15.0,26.0,137.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,729.0,729.0,14.0,https://pypi.org/project/mknotebooks,20407.0,20407.0,20,True,2.0,,,,,,,,,,,,,
39,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2025-02-15 16:34:14.000000,2025-02-15 16:22:51,89.0,,10.0,2.0,9.0,9.0,20.0,124.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,3135.0,3135.0,5.0,https://pypi.org/project/mkdocs-gen-files,609035.0,609035.0,20,True,2.0,,,,,,,,,,,,,
40,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2025-04-10 10:11:08.000000,2025-04-10 10:08:07,75.0,,25.0,5.0,8.0,2.0,22.0,124.0,,,,Math extension for Python-Markdown.,3806.0,3806.0,8.0,https://pypi.org/project/python-markdown-math,259487.0,259487.0,20,True,1.0,mdx_math,,,,,,,,,,,,
41,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2025-02-19 09:12:11.000000,2025-01-15 21:14:23,215.0,,23.0,3.0,52.0,19.0,48.0,105.0,2025-01-15 21:13:50,1.2.7,16.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,45.0,45.0,17.0,https://pypi.org/project/mkdoxy,25954.0,25954.0,20,True,2.0,,,,,,,,,,,,,
42,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2025-05-04 13:49:04.000000,2025-05-04 13:47:52,113.0,7.0,10.0,1.0,9.0,6.0,19.0,95.0,2025-05-04 09:50:09,0.7.1,27.0,A MkDocs plugin supports adding Swagger UI to the page.,305.0,305.0,6.0,https://pypi.org/project/mkdocs-swagger-ui-tag,66656.0,66657.0,20,True,1.0,,47.0,,,,,,,,,,,
