,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
10,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-03-28 23:14:04,2023-03-28 23:14:03,192.0,25.0,35.0,4.0,61.0,13.0,68.0,212.0,,,,Use Jupyter Notebook in mkdocs.,1071.0,1071.0,18.0,https://pypi.org/project/mkdocs-jupyter,40641.0,40641.0,23,True,1.0,,,,,,
11,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-03-14 21:33:45,2023-03-14 21:32:22,57.0,9.0,12.0,10.0,16.0,1.0,11.0,84.0,2023-03-14 21:34:05,0.6.4,7.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,4641.0,4641.0,9.0,https://pypi.org/project/mkdocs-minify-plugin,150831.0,150831.0,23,True,1.0,,,,,,
12,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-03-30 11:30:55,2023-03-30 11:30:53,605.0,46.0,12.0,3.0,150.0,8.0,22.0,46.0,2023-02-21 22:10:35,1.6.0,14.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",171.0,171.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,11364.0,11364.0,23,True,1.0,,13.0,,,,
13,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-03-29 22:05:50,2023-01-29 19:33:39,101.0,3.0,6.0,3.0,3.0,11.0,7.0,40.0,2023-01-06 13:51:31,0.6.0,2.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,885.0,885.0,,https://pypi.org/project/mkdocs-literate-nav,63721.0,63721.0,22,True,1.0,,,,,,
14,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-11-22 05:06:36,2021-10-05 01:31:10,72.0,,41.0,19.0,31.0,40.0,46.0,276.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,353.0,353.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,19575.0,19575.0,21,True,2.0,,,,,,
15,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,101.0,8.0,59.0,15.0,35.0,181.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",525.0,525.0,23.0,https://pypi.org/project/mkdocs-cinder,6128.0,6138.0,21,True,1.0,,955.0,,,,
16,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-03-27 16:16:15,2023-03-23 12:13:46,172.0,16.0,23.0,4.0,123.0,9.0,80.0,130.0,,,,MkDocs i18n plugin using static translation markdown files.,491.0,491.0,8.0,https://pypi.org/project/mkdocs-static-i18n,15050.0,15050.0,21,True,1.0,,,,,,
17,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-03-15 11:59:49,2022-12-20 11:05:47,1701.0,,18.0,2.0,1062.0,12.0,25.0,111.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,363.0,363.0,13.0,https://pypi.org/project/mknotebooks,20781.0,20781.0,21,True,2.0,,,,,,
18,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-01-01 20:35:55,2022-12-31 11:20:19,91.0,1.0,15.0,141.0,26.0,11.0,17.0,99.0,2022-09-18 12:22:52,1.2.0,9.0,Open source plugin for Mkdocs page redirects.,1811.0,1811.0,13.0,https://pypi.org/project/mkdocs-redirects,88884.0,88884.0,21,True,1.0,,,,,,
19,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-01-30 13:27:40,2023-01-30 13:16:31,103.0,18.0,9.0,3.0,14.0,3.0,29.0,67.0,2023-01-30 13:24:33,2.0,17.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,229.0,229.0,5.0,https://pypi.org/project/mkdocs-table-reader-plugin,19745.0,19745.0,21,True,1.0,,,,,,
20,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-03-29 13:11:32,2023-03-29 13:03:25,408.0,30.0,21.0,2.0,35.0,16.0,34.0,61.0,2023-03-29 13:11:32,0.6.1,16.0,Build documentation in multiple repos into one site.,66.0,66.0,9.0,https://pypi.org/project/mkdocs-multirepo-plugin,5267.0,5267.0,21,True,2.0,,,,,,
21,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-03-17 21:42:45,2023-02-20 08:58:58,187.0,1.0,12.0,4.0,25.0,8.0,40.0,39.0,2022-11-02 20:16:17,0.7.0,18.0,MkDocs plugin to display git authors of a page.,340.0,340.0,6.0,https://pypi.org/project/mkdocs-git-authors-plugin,27508.0,27508.0,21,True,2.0,,,,,,
22,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-03-30 14:19:05,2023-03-30 14:19:05,66.0,4.0,20.0,1.0,17.0,8.0,39.0,142.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,1223.0,1223.0,12.0,https://pypi.org/project/mkdocs-mermaid2-plugin,89078.0,89078.0,20,True,1.0,,,1.0,,,
23,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-12-07 11:39:27,2022-12-07 11:39:27,220.0,,11.0,3.0,7.0,8.0,67.0,71.0,2022-06-01 11:11:09,2.3.4,39.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",198.0,198.0,4.0,https://pypi.org/project/mkdocs-print-site-plugin,11354.0,11354.0,20,True,2.0,,,,,,
24,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-01-26 16:53:16,2021-12-15 20:25:46,73.0,,17.0,3.0,15.0,5.0,26.0,61.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,727.0,727.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,37320.0,37320.0,20,True,2.0,,,,,,
25,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-03-25 17:30:23,2023-01-29 19:33:48,65.0,4.0,6.0,2.0,2.0,4.0,8.0,56.0,2023-01-29 19:23:45,0.3.5,7.0,MkDocs plugin to allow clickable sections that lead to an index page.,914.0,914.0,,https://pypi.org/project/mkdocs-section-index,57908.0,57908.0,20,True,2.0,,,,,,
26,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,7.0,5.0,9.0,4.0,9.0,51.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1293.0,1293.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,38898.0,38898.0,20,True,2.0,,,1.0,,,
27,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-03-14 15:22:02,2023-03-14 15:18:31,340.0,18.0,13.0,3.0,147.0,8.0,26.0,43.0,2023-03-14 15:22:02,2.8.15,38.0,A MkDocs plugin for citation management using bibtex.,139.0,139.0,9.0,https://pypi.org/project/mkdocs-bibtex,2082.0,2082.0,20,False,1.0,,,,,,
28,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-03-24 21:07:05,2023-03-24 21:05:11,478.0,40.0,10.0,3.0,484.0,,16.0,33.0,2023-02-17 15:11:31,2.3.0,39.0,Build documentation files inside your code into a MkDocs site.,33.0,33.0,9.0,https://pypi.org/project/mkdocs-simple-plugin,9892.0,9892.0,20,True,2.0,,,,,,
29,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-03-26 11:21:37,2023-03-19 06:17:02,84.0,8.0,8.0,3.0,32.0,5.0,17.0,27.0,2023-03-19 06:05:15,0.11.0,15.0,A MkDocs plugin that validates URL in rendered html files.,248.0,248.0,9.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,13526.0,13526.0,20,True,1.0,,,,,,
30,Bootswatch,cerulean,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,7.0,35.0,3.0,30.0,127.0,,,,MkDocs Bootswatch Themes.,938.0,938.0,10.0,https://pypi.org/project/mkdocs-bootswatch,11511.0,11511.0,19,True,1.0,,,,,,
31,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-03-06 20:33:42,2023-01-26 16:54:38,108.0,9.0,10.0,1.0,6.0,1.0,38.0,64.0,2023-01-26 16:59:18,2.4.5,22.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,333.0,333.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,3593.0,3593.0,19,True,2.0,,,,unverbuggt/mkdocs-encryptcontent-plugin,,
32,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-02-25 21:49:40,2023-01-29 19:33:33,63.0,1.0,7.0,2.0,7.0,5.0,14.0,52.0,2022-08-22 17:44:45,0.4.0,6.0,MkDocs plugin to programmatically generate documentation pages during the build.,1167.0,1167.0,3.0,https://pypi.org/project/mkdocs-gen-files,76222.0,76222.0,19,True,2.0,,,,,,
33,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-03-21 09:35:48,2023-02-20 09:19:49,108.0,4.0,4.0,3.0,7.0,1.0,27.0,31.0,2023-02-20 09:21:05,0.6.0,11.0,MkDocs Plugin to enumerate the headings across site pages.,110.0,110.0,3.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,3534.0,3534.0,19,True,2.0,,,,,,
34,mkpdfs,,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-01-14 14:58:39,2021-08-11 13:02:40,109.0,,27.0,10.0,21.0,12.0,26.0,93.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",47.0,47.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,1238.0,1238.0,18,True,2.0,,30.0,,,,
35,exclude,,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,6.0,4.0,9.0,3.0,68.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1144.0,1144.0,,https://pypi.org/project/mkdocs-exclude,116836.0,116836.0,18,True,2.0,,,,,,
36,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-12-20 14:32:57,2022-12-20 14:32:56,54.0,,16.0,9.0,40.0,15.0,9.0,63.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,240.0,240.0,11.0,https://pypi.org/project/mkdocs-click,21942.0,21942.0,18,True,1.0,mkdocs-click,,,,,
37,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-03-01 16:25:16,2023-03-01 16:24:47,112.0,3.0,12.0,2.0,16.0,3.0,27.0,56.0,2022-11-23 09:34:18,2.2.2,21.0,Add blogging feature to your MkDocs site.,76.0,76.0,5.0,https://pypi.org/project/mkdocs-blogging-plugin,2886.0,2886.0,18,True,2.0,,7.0,,,,
38,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-03-29 04:17:10,2023-02-27 16:41:41,25.0,2.0,14.0,3.0,18.0,5.0,9.0,51.0,2023-02-27 16:42:54,_070,7.0,An MkDocs plugin that automagically generates relative links between markdown pages.,257.0,257.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,9222.0,9222.0,18,True,2.0,,,,zachhannum/mkdocs-autolinks-plugin,,
39,MkDocs Video,,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2023-03-28 22:38:35,2023-03-17 17:33:24,19.0,6.0,9.0,1.0,5.0,3.0,11.0,39.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,321.0,321.0,5.0,https://pypi.org/project/mkdocs-video,20289.0,20289.0,18,True,2.0,,16.0,,,,
40,kroki,,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2023-03-30 16:39:21,2023-03-13 08:29:23,47.0,17.0,17.0,2.0,21.0,6.0,10.0,25.0,2023-03-13 08:27:15,0.6.1,10.0,MkDocs plugin for Kroki-Diagrams.,18.0,18.0,10.0,https://pypi.org/project/mkdocs-kroki-plugin,9025.0,9025.0,18,True,2.0,,,,,,
41,meta-descriptions,,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2023-03-28 17:47:13,2023-03-28 17:44:26,203.0,25.0,3.0,1.0,226.0,1.0,7.0,9.0,2022-12-15 10:04:31,2.2.0,10.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,291.0,291.0,2.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,2944.0,2944.0,18,False,2.0,,,1.0,,,
42,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,6.0,37.0,9.0,21.0,7.0,15.0,87.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,,,12.0,https://pypi.org/project/markdown-include,59961.0,59961.0,17,True,2.0,markdown_include.include,,-5.0,,,
43,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-02-07 05:20:26,2023-02-07 05:20:26,48.0,2.0,4.0,2.0,23.0,,6.0,49.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",849.0,849.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,14305.0,14305.0,17,True,2.0,,23.0,,,,
44,MkDocs GLightbox,,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-03-19 10:26:26,2023-03-19 10:25:47,66.0,2.0,7.0,1.0,3.0,2.0,10.0,45.0,2023-03-19 10:31:20,0.3.2,10.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,594.0,594.0,2.0,https://pypi.org/project/mkdocs-glightbox,45749.0,45751.0,17,True,2.0,,18.0,,,,
45,mkdocs-versioning,,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,53.0,53.0,5.0,https://pypi.org/project/mkdocs-versioning,2871.0,2871.0,17,True,2.0,,,,,,
