,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
10,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2025-09-30 20:45:34.000000,2025-09-16 21:16:06,435.0,33.0,75.0,14.0,225.0,2.0,74.0,102.0,2025-09-16 20:01:13,1.6.0,2.0,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,183.0,183.0,48.0,https://pypi.org/project/mkdocs-techdocs-core,1043175.0,1043175.0,26,True,1.0,,,,,,,,,,,,,
11,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2025-10-02 16:46:14.000000,2025-10-02 16:46:12,1047.0,21.0,29.0,2.0,310.0,15.0,44.0,117.0,2025-05-30 19:17:05,1.17.3,35.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",1272.0,1272.0,20.0,https://pypi.org/project/mkdocs-rss-plugin,109001.0,109007.0,25,True,1.0,,,342.0,,,,,,,,,,
12,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2025-09-11 15:28:52.000000,2025-08-27 21:55:40,260.0,2.0,61.0,5.0,102.0,44.0,106.0,473.0,,,,Use Jupyter Notebook in mkdocs.,4211.0,4211.0,35.0,https://pypi.org/project/mkdocs-jupyter,296218.0,296218.0,24,True,1.0,-1.0,,,,,,,,,,,,
13,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2025-06-15 12:39:15.000000,2025-06-15 12:39:15,155.0,,74.0,23.0,66.0,40.0,34.0,370.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,572.0,572.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1838713.0,1838713.0,24,True,1.0,,,,,,,,,,,,,
14,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2025-08-27 23:51:55.000000,2025-08-27 23:51:38,120.0,3.0,28.0,1.0,24.0,13.0,68.0,259.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,3171.0,3171.0,16.0,https://pypi.org/project/mkdocs-mermaid2-plugin,594179.0,594179.0,24,True,1.0,,,,,,,,,,,,,
15,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16.000000,2024-01-29 16:11:49,76.0,,27.0,10.0,22.0,5.0,13.0,175.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,10702.0,10702.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,633233.0,633233.0,24,True,1.0,,,,,,,,,,,,,
16,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2025-09-09 12:45:44.000000,2025-09-09 12:45:41,272.0,4.0,15.0,2.0,10.0,14.0,52.0,159.0,2025-06-28 10:30:44,1.11.0,15.0,Utilities to execute code blocks in Markdown files.,589.0,589.0,5.0,https://pypi.org/project/markdown-exec,457556.0,457556.0,24,True,1.0,1.0,,,,,,,,,,,,
17,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2025-09-28 21:38:42.000000,2025-09-28 21:38:02,228.0,8.0,25.0,2.0,169.0,1.0,93.0,141.0,2025-09-28 21:50:46,7.2.0,70.0,Mkdocs Markdown includer plugin.,3196.0,3196.0,17.0,https://pypi.org/project/mkdocs-include-markdown-plugin,397476.0,397487.0,24,True,1.0,,,665.0,,,,,,,,,,
18,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2025-06-10 05:40:20.000000,2025-06-10 05:37:00,260.0,,23.0,4.0,46.0,9.0,57.0,108.0,2025-06-10 05:42:10,0.10.0,29.0,MkDocs plugin to display git authors of a page.,1683.0,1683.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,218087.0,218087.0,24,True,1.0,,,,,,,,,,,,,
19,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-nav,https://github.com/lukasgeiter/mkdocs-awesome-nav,MIT,2018-02-06 21:09:24,2025-09-10 21:39:03.000000,2025-09-10 21:30:26,125.0,1.0,40.0,8.0,24.0,20.0,93.0,590.0,2025-09-10 21:39:03,3.2.0,32.0,A plugin for customizing the navigation structure of your MkDocs site.,296.0,296.0,10.0,https://pypi.org/project/mkdocs-awesome-nav,170754.0,170754.0,23,True,1.0,,,,,,,,,,,,,
20,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01.000000,2021-10-14 20:29:54,188.0,,75.0,13.0,52.0,67.0,49.0,381.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,804.0,804.0,6.0,https://pypi.org/project/mkdocs-with-pdf,113541.0,113541.0,23,True,1.0,,,,,,,,,,,,,
21,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2025-01-15 16:08:45.000000,2025-01-15 16:08:44,430.0,,54.0,4.0,56.0,63.0,53.0,177.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,212.0,212.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,69295.0,69295.0,23,True,2.0,,,,,,,,,,,,,
22,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59.000000,2021-10-05 01:31:10,72.0,,41.0,19.0,32.0,44.0,46.0,338.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1471.0,1471.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,41035.0,41035.0,22,True,1.0,,,,,,,,,,,,,
23,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2025-04-14 16:49:37.000000,2025-04-14 16:49:36,311.0,,43.0,9.0,176.0,27.0,125.0,295.0,,,,MkDocs i18n plugin using static translation markdown files.,1764.0,1764.0,13.0,https://pypi.org/project/mkdocs-static-i18n,151989.0,151989.0,22,True,1.0,,,,,,,,,,,,,
24,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,MIT,2015-08-28 03:45:23,2023-03-07 11:46:26.000000,2021-01-05 20:29:39,229.0,,98.0,7.0,59.0,16.0,35.0,215.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",687.0,687.0,23.0,https://pypi.org/project/mkdocs-cinder,6951.0,6959.0,22,True,1.0,,,1025.0,,,,,,,,,,
25,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2025-08-02 09:21:43.000000,2025-08-02 09:20:49,49.0,4.0,10.0,1.0,32.0,19.0,25.0,160.0,2025-08-02 09:21:44,1.1.3,22.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,439.0,439.0,12.0,https://pypi.org/project/neoteroi-mkdocs,143701.0,144011.0,22,True,1.0,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",13033.0,,,,,,,,,,
26,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2025-07-21 14:17:39.000000,2025-07-07 19:52:27,284.0,1.0,17.0,4.0,11.0,7.0,64.0,160.0,2025-07-21 14:13:42,3.0.5,36.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1230.0,1230.0,6.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,11915.0,11916.0,22,True,1.0,-1.0,,101.0,,,,,,,,,,
27,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2025-08-31 19:18:27.000000,2025-08-29 18:20:13,232.0,5.0,27.0,3.0,55.0,18.0,50.0,111.0,2025-08-29 18:05:57,1.2.8,17.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,50.0,50.0,18.0,https://pypi.org/project/mkdoxy,25695.0,25695.0,22,True,1.0,,,,,,,,,,,,,
28,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2025-10-01 14:07:12.000000,2025-10-01 14:07:03,449.0,8.0,29.0,1.0,282.0,5.0,53.0,86.0,2025-07-01 14:57:13,4.4.0,81.0,A MkDocs plugin for citation management using bibtex.,431.0,431.0,21.0,https://pypi.org/project/mkdocs-bibtex,33449.0,33449.0,22,True,1.0,-1.0,,,,,,,,,,,,
29,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2025-09-08 15:27:39.000000,2024-07-28 20:33:58,154.0,,28.0,3.0,44.0,8.0,34.0,57.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,68.0,68.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,190513.0,190513.0,22,True,1.0,,,,,,,,,,,,,
30,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2025-06-18 15:50:54.000000,2025-06-18 15:50:53,81.0,,20.0,10.0,59.0,18.0,16.0,141.0,2025-04-07 16:59:11,0.9.0,11.0,An MkDocs extension to generate documentation for Click command line applications.,939.0,939.0,16.0,https://pypi.org/project/mkdocs-click,761741.0,761741.0,21,True,2.0,-1.0,mkdocs-click,,,,,,,,,,,
31,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2025-04-10 10:11:08.000000,2025-04-10 10:08:07,75.0,,25.0,5.0,8.0,2.0,22.0,127.0,,,,Math extension for Python-Markdown.,3860.0,3860.0,8.0,https://pypi.org/project/python-markdown-math,203856.0,203856.0,21,True,1.0,,mdx_math,,,,,,,,,,,
32,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2025-08-13 22:41:36.000000,2025-08-13 22:41:12,949.0,12.0,18.0,2.0,102.0,4.0,147.0,119.0,2025-07-26 23:28:45,4.4.5,73.0,MkDocs plugin for automatic API documentation generation from Python docstrings.,230.0,230.0,5.0,https://pypi.org/project/mkapi,6153.0,6153.0,21,True,2.0,,,,,,,,,,,,,
33,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10.000000,2023-02-07 09:45:37,75.0,,35.0,8.0,24.0,8.0,19.0,114.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,7495.0,7495.0,12.0,https://pypi.org/project/markdown-include,209481.0,209481.0,21,True,2.0,,markdown_include.include,,,,,,,,,,,
34,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2025-03-18 21:52:45.000000,2025-03-18 21:52:37,133.0,,9.0,3.0,5.0,16.0,17.0,95.0,2025-03-18 21:55:50,0.6.2,4.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,2748.0,2748.0,,https://pypi.org/project/mkdocs-literate-nav,1290596.0,1290596.0,21,True,1.0,,,,,,,,,,,,,
35,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2025-06-05 13:12:50.000000,2025-06-05 13:12:50,123.0,,24.0,2.0,38.0,15.0,36.0,66.0,2025-01-30 07:32:42,2.5.0,20.0,An MkDocs plugin to create a list of contributors on the page.,1305.0,1305.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,94358.0,94358.0,21,True,2.0,,,,,,,,,,,,,
36,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,https://github.com/MikhailKravets/mkdocs_puml,https://github.com/MikhailKravets/mkdocs_puml,MIT,2022-09-11 16:37:25,2025-08-04 19:35:55.000000,2025-08-04 19:35:54,420.0,3.0,15.0,3.0,70.0,9.0,24.0,56.0,2024-10-25 11:13:12,2.3.0,20.0,Inline PlantUML diagrams in your MkDocs documentation.,76.0,76.0,9.0,https://pypi.org/project/mkdocs-puml,62236.0,62236.0,21,True,2.0,1.0,,,,,,,,,,,,
37,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,https://github.com/PLAYG0N/mkdocs-panzoom,https://github.com/PLAYG0N/mkdocs-panzoom,MIT,2024-08-21 18:53:29,2025-09-05 17:01:08.000000,2025-09-05 16:59:35,131.0,40.0,2.0,5.0,10.0,5.0,24.0,50.0,2025-09-05 17:01:56,0.4.2,24.0,MkDocs Plugin to enable pan & zoom on images and mermaid/d2 diagrams.,28.0,28.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,703422.0,703424.0,21,True,2.0,,,35.0,,,,,,,,,,
38,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2025-08-03 14:13:44.000000,2025-08-03 14:13:17,298.0,8.0,27.0,4.0,31.0,11.0,101.0,173.0,2025-08-03 14:14:31,2.8,50.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",,,15.0,https://pypi.org/project/mkdocs-print-site-plugin,115375.0,115375.0,20,True,2.0,,,,,,,,,,,,,
39,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48.000000,2023-12-29 21:16:01,71.0,,57.0,6.0,37.0,3.0,30.0,152.0,,,,MkDocs Bootswatch Themes.,1220.0,1220.0,10.0,https://pypi.org/project/mkdocs-bootswatch,15013.0,15013.0,20,True,1.0,,,,,,,,,,,,,
40,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,,19.0,1.0,1078.0,15.0,26.0,137.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,744.0,744.0,14.0,https://pypi.org/project/mknotebooks,27103.0,27103.0,20,True,2.0,,,,,,,,,,,,,
41,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2025-02-15 16:34:14.000000,2025-02-15 16:22:51,89.0,,12.0,2.0,11.0,9.0,20.0,128.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,3314.0,3314.0,5.0,https://pypi.org/project/mkdocs-gen-files,674535.0,674535.0,20,True,2.0,,,,,,,,,,,,,
42,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2025-08-23 16:25:45.000000,2025-08-23 16:23:37,117.0,4.0,11.0,1.0,10.0,6.0,20.0,100.0,2025-08-23 16:36:52,0.7.2,28.0,A MkDocs plugin supports adding Swagger UI to the page.,333.0,333.0,7.0,https://pypi.org/project/mkdocs-swagger-ui-tag,104564.0,104565.0,20,True,1.0,,,47.0,,,,,,,,,,
