,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,bitbucket_id
10,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2024-07-31 16:46:08.000000,2024-07-31 16:46:08,247.0,9.0,47.0,6.0,89.0,24.0,99.0,375.0,,,,Use Jupyter Notebook in mkdocs.,2653.0,2653.0,29.0,https://pypi.org/project/mkdocs-jupyter,134599.0,134599.0,24,True,1.0,,,,,,,,,,,
11,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2024-06-24 17:56:34.000000,2024-06-24 17:56:34,107.0,1.0,20.0,137.0,29.0,11.0,22.0,173.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,3789.0,3789.0,15.0,https://pypi.org/project/mkdocs-redirects,264837.0,264837.0,23,True,1.0,,,,,,,,,,,
12,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2024-07-25 16:18:54.000000,2024-07-25 16:17:25,329.0,22.0,31.0,4.0,40.0,29.0,92.0,167.0,2024-07-25 16:17:39,1.10.7,29.0,A Python handler for mkdocstrings.,,,18.0,https://pypi.org/project/mkdocstrings-python,1885927.0,1885927.0,23,True,1.0,,,,,,,,,,,
13,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-08-03 05:54:19.000000,2024-05-31 19:20:06,253.0,9.0,21.0,4.0,18.0,14.0,80.0,134.0,2024-05-31 19:18:32,2.5.0,44.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",325.0,325.0,8.0,https://pypi.org/project/mkdocs-print-site-plugin,21910.0,21910.0,23,True,1.0,,,,,,,,,,,
14,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2024-05-08 14:20:43.000000,2024-05-08 14:17:09,206.0,,16.0,5.0,31.0,10.0,47.0,75.0,2024-05-08 14:20:25,0.9.0,22.0,MkDocs plugin to display git authors of a page.,908.0,908.0,12.0,https://pypi.org/project/mkdocs-git-authors-plugin,98841.0,98841.0,23,True,2.0,,1.0,,,,,,,,,
15,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-07-31 17:08:18.000000,2024-07-28 20:33:58,154.0,65.0,26.0,4.0,39.0,4.0,32.0,45.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,41.0,41.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,45231.0,45231.0,23,True,1.0,,,,,,,,,,,
16,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01.000000,2021-10-14 20:29:54,188.0,,73.0,11.0,51.0,61.0,44.0,319.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,572.0,572.0,6.0,https://pypi.org/project/mkdocs-with-pdf,46645.0,46645.0,22,True,1.0,,,,,,,,,,,
17,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59.000000,2021-10-05 01:31:10,72.0,,43.0,20.0,32.0,42.0,46.0,313.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1051.0,1051.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,25865.0,25865.0,22,True,1.0,,,,,,,,,,,
18,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2024-05-30 11:43:27.000000,2024-01-04 14:28:40,148.0,,73.0,23.0,65.0,34.0,30.0,312.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,438.0,438.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,324083.0,324083.0,22,True,1.0,,,,,,,,,,,
19,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2024-05-30 16:15:13.000000,2024-05-30 16:14:35,305.0,7.0,36.0,10.0,170.0,19.0,121.0,224.0,,,,MkDocs i18n plugin using static translation markdown files.,1137.0,1137.0,11.0,https://pypi.org/project/mkdocs-static-i18n,79204.0,79204.0,22,True,1.0,,,,,,,,,,,
20,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-07-29 13:51:11.000000,2024-06-03 11:51:25,110.0,2.0,26.0,2.0,23.0,6.0,62.0,206.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,2086.0,2086.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,216529.0,216529.0,22,True,1.0,,,,,,,,,,,
21,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2024-06-24 15:13:49.000000,2024-06-24 15:07:44,426.0,7.0,45.0,4.0,49.0,49.0,51.0,123.0,2024-06-24 15:13:49,0.8.2,22.0,Build documentation in multiple repos into one site.,126.0,126.0,16.0,https://pypi.org/project/mkdocs-multirepo-plugin,59577.0,59577.0,22,True,1.0,,,,,,,,,,,
22,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2024-06-10 15:26:40.000000,2024-05-20 11:33:00,144.0,3.0,18.0,4.0,21.0,5.0,41.0,112.0,2024-05-20 11:18:18,2.2.2,24.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,748.0,748.0,8.0,https://pypi.org/project/mkdocs-table-reader-plugin,68833.0,68833.0,22,True,1.0,,,,,,,,,,,
23,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2024-07-08 21:58:03.000000,2024-07-08 20:26:58,232.0,46.0,7.0,2.0,1.0,10.0,40.0,95.0,2024-06-24 14:50:28,1.9.3,9.0,Utilities to execute code blocks in Markdown files.,292.0,292.0,2.0,https://pypi.org/project/markdown-exec,40047.0,40047.0,22,True,2.0,,,,,,,,,,,
24,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2024-08-03 15:08:09.000000,2024-08-03 15:07:55,280.0,35.0,61.0,16.0,145.0,5.0,56.0,85.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,63.0,63.0,41.0,https://pypi.org/project/mkdocs-techdocs-core,277543.0,277543.0,22,True,1.0,,,,,,,,,,,
25,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16.000000,2024-01-29 16:11:49,76.0,,17.0,10.0,21.0,4.0,13.0,143.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,8015.0,8015.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,209253.0,209253.0,21,True,1.0,,,,,,,,,,,
26,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2024-07-14 13:43:03.000000,2024-04-27 10:08:41,84.0,,8.0,3.0,8.0,7.0,18.0,100.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,2284.0,2284.0,5.0,https://pypi.org/project/mkdocs-gen-files,327901.0,327901.0,21,True,2.0,,,,,,,,,,,
27,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10.000000,2023-02-07 09:45:37,75.0,,36.0,10.0,23.0,8.0,18.0,100.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,6198.0,6198.0,12.0,https://pypi.org/project/markdown-include,139094.0,139094.0,21,True,2.0,markdown_include.include,,,,,,,,,,
28,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2024-04-20 14:40:22.000000,2024-04-20 14:40:17,92.0,,8.0,3.0,3.0,6.0,13.0,76.0,2024-04-20 14:42:04,0.3.9,11.0,MkDocs plugin to allow clickable sections that lead to an index page.,1672.0,1672.0,3.0,https://pypi.org/project/mkdocs-section-index,221791.0,221791.0,21,True,1.0,,,,,,,,,,,
29,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2024-08-01 14:42:11.000000,2024-08-01 14:41:18,391.0,3.0,19.0,3.0,220.0,11.0,32.0,69.0,2024-06-01 14:12:26,2.16.0,52.0,A MkDocs plugin for citation management using bibtex.,296.0,296.0,13.0,https://pypi.org/project/mkdocs-bibtex,46058.0,46058.0,21,True,1.0,,,,,,,,,,,
30,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2024-08-08 15:08:06.000000,2024-07-29 14:23:42,664.0,32.0,10.0,3.0,729.0,,18.0,40.0,2024-07-14 19:18:29,3.2.0,42.0,Build documentation files inside your code into a MkDocs site.,50.0,50.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,23999.0,23999.0,21,True,2.0,,,,,,,,,,,
31,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26.000000,2021-01-05 20:29:39,229.0,,99.0,8.0,59.0,16.0,35.0,203.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",645.0,645.0,23.0,https://pypi.org/project/mkdocs-cinder,7456.0,7465.0,20,True,1.0,,,991.0,,,,,,,,
32,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,,19.0,2.0,1078.0,14.0,26.0,133.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,569.0,569.0,14.0,https://pypi.org/project/mknotebooks,21133.0,21133.0,20,True,2.0,,,,,,,,,,,
33,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-06-14 17:41:40.000000,2024-06-14 17:41:30,271.0,2.0,15.0,4.0,8.0,1.0,61.0,121.0,2024-01-30 19:13:34,3.0.3,34.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1115.0,1115.0,5.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,5422.0,5423.0,20,True,1.0,,,87.0,,,,,,,,
34,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2024-05-23 12:53:23.000000,2024-05-23 12:53:22,98.0,2.0,14.0,2.0,7.0,15.0,26.0,120.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,2964.0,2964.0,6.0,https://pypi.org/project/mkdocs-glightbox,244263.0,244264.0,20,True,2.0,,-1.0,29.0,,,,,,,,
35,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-03 10:22:14.000000,2024-08-03 10:22:13,75.0,2.0,17.0,3.0,17.0,6.0,28.0,80.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1204.0,1204.0,11.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,37535.0,37535.0,20,True,2.0,,,,,,,,,,,
36,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2024-07-15 06:06:31.000000,2024-07-10 20:14:19,96.0,3.0,7.0,4.0,35.0,4.0,24.0,77.0,2024-04-23 21:40:36,0.9.1,12.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,78.0,78.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,10935.0,10935.0,20,True,2.0,,,,,,,,,,,
37,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2024-04-27 10:01:31.000000,2024-04-27 10:00:16,127.0,,8.0,4.0,5.0,13.0,16.0,72.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1858.0,1858.0,,https://pypi.org/project/mkdocs-literate-nav,242771.0,242771.0,20,True,1.0,,,,,,,,,,,
38,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2024-07-30 17:35:34.000000,2024-06-18 08:17:19,194.0,5.0,17.0,4.0,40.0,9.0,44.0,64.0,2024-05-11 14:55:57,1.2.4,14.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,19.0,19.0,12.0,https://pypi.org/project/mkdoxy,32737.0,32737.0,20,True,2.0,,,,,,,,,,,
39,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30.000000,2022-03-08 14:42:57,26.0,,7.0,5.0,9.0,5.0,9.0,56.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2276.0,2276.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,108650.0,108650.0,20,True,2.0,,,,,,,,,,,
40,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2024-07-23 15:24:50.000000,2024-07-11 20:11:57,96.0,4.0,16.0,4.0,29.0,11.0,26.0,50.0,2024-02-24 09:21:04,2.3.0,17.0,An MkDocs plugin to create a list of contributors on the page.,629.0,629.0,13.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,33695.0,33695.0,20,True,2.0,,,,,,,,,,,
41,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-06-13 14:24:15.000000,2024-06-12 08:38:17,117.0,1.0,15.0,4.0,53.0,2.0,33.0,40.0,2024-04-15 16:00:12,1.2.1,21.0,A MkDocs plugin that validates URL in rendered html files.,364.0,364.0,14.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,41325.0,41325.0,20,True,1.0,,,,,,,,,,,
42,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-05-02 11:08:39.000000,2024-04-16 19:14:48,121.0,,8.0,4.0,10.0,4.0,28.0,39.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,215.0,215.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,16847.0,16847.0,20,True,1.0,,,,,,,,,,,
