,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,open_issue_count,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
10,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2025-04-22 10:26:02,2025-04-22 10:25:27,247.0,15.0,23.0,4.0,45.0,56.0,97.0,2025-04-22 10:26:34,0.9.5,27.0,MkDocs plugin to display git authors of a page.,1575.0,1575.0,16.0,https://pypi.org/project/mkdocs-git-authors-plugin,163389.0,163389.0,26,True,1.0,9.0,,,,,,,,,,,,,
11,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2025-06-05 18:30:29,2025-01-30 19:03:52,150.0,,72.0,23.0,66.0,30.0,354.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,549.0,549.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1063263.0,1063263.0,25,True,1.0,39.0,,1.0,,,,,,,,,,,
12,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2025-06-02 18:33:41,2025-06-02 18:33:40,1026.0,21.0,28.0,2.0,298.0,42.0,111.0,2025-05-30 19:17:05,1.17.3,35.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",1161.0,1161.0,19.0,https://pypi.org/project/mkdocs-rss-plugin,71389.0,71393.0,25,True,1.0,14.0,,,221.0,,,,,,,,,,
13,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2025-02-21 03:41:52,2025-02-21 03:41:52,256.0,,56.0,5.0,98.0,105.0,445.0,,,,Use Jupyter Notebook in mkdocs.,3949.0,3949.0,33.0,https://pypi.org/project/mkdocs-jupyter,256818.0,256818.0,24,True,1.0,42.0,,,,,,,,,,,,,
14,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16,2024-01-29 16:11:49,76.0,,23.0,9.0,22.0,13.0,171.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,10148.0,10148.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,496789.0,496789.0,24,True,1.0,5.0,,,,,,,,,,,,,
15,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2025-04-27 06:03:29,2025-04-27 06:03:29,106.0,1.0,19.0,3.0,10.0,28.0,162.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,4757.0,4757.0,7.0,https://pypi.org/project/mkdocs-glightbox,562903.0,562904.0,24,True,1.0,22.0,,,40.0,,,,,,,,,,
16,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2025-03-07 23:18:44,2025-03-07 23:17:53,219.0,,23.0,3.0,159.0,88.0,132.0,2025-03-07 23:28:52,7.1.5,66.0,Mkdocs Markdown includer plugin.,2985.0,2985.0,17.0,https://pypi.org/project/mkdocs-include-markdown-plugin,312385.0,312396.0,24,True,1.0,1.0,,,622.0,,,,,,,,,,
17,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-nav,https://github.com/lukasgeiter/mkdocs-awesome-nav,MIT,2018-02-06 21:09:24,2025-05-18 19:12:19,2025-05-18 19:00:05,124.0,3.0,39.0,8.0,24.0,85.0,558.0,2025-05-18 19:12:19,3.1.2,31.0,A plugin for customizing the navigation structure of your MkDocs site.,167.0,167.0,10.0,https://pypi.org/project/mkdocs-awesome-nav,82275.0,82275.0,23,True,1.0,19.0,,,,,,,,,,,,,
18,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01,2021-10-14 20:29:54,188.0,,76.0,12.0,52.0,49.0,361.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,762.0,762.0,6.0,https://pypi.org/project/mkdocs-with-pdf,87734.0,87734.0,23,True,1.0,67.0,,,,,,,,,,,,,
19,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2025-01-15 16:08:45,2025-01-15 16:08:44,430.0,,54.0,5.0,56.0,52.0,162.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,193.0,193.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,64298.0,64298.0,23,True,1.0,61.0,,,,,,,,,,,,,
20,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2025-03-27 13:45:17,2025-03-24 21:52:17,261.0,13.0,12.0,2.0,8.0,49.0,150.0,2025-03-24 21:52:33,1.10.3,13.0,Utilities to execute code blocks in Markdown files.,533.0,533.0,4.0,https://pypi.org/project/markdown-exec,405736.0,405736.0,23,True,1.0,17.0,,,,,,,,,,,,,
21,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2025-04-13 19:59:53,2025-04-13 19:59:53,80.0,7.0,19.0,10.0,58.0,16.0,129.0,2025-04-07 16:59:11,0.9.0,11.0,An MkDocs extension to generate documentation for Click command line applications.,866.0,866.0,15.0,https://pypi.org/project/mkdocs-click,523700.0,523700.0,23,True,1.0,16.0,mkdocs-click,,,,,,,,,,,,
22,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2025-05-14 17:22:41,2025-05-14 17:22:40,392.0,22.0,68.0,15.0,201.0,71.0,99.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,176.0,176.0,46.0,https://pypi.org/project/mkdocs-techdocs-core,499909.0,499909.0,23,True,1.0,1.0,,,,,,,,,,,,,
23,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,40.0,19.0,32.0,46.0,331.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1437.0,1437.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,33253.0,33253.0,22,True,2.0,44.0,,,,,,,,,,,,,
24,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2025-04-14 16:49:37,2025-04-14 16:49:36,311.0,2.0,42.0,9.0,176.0,125.0,270.0,,,,MkDocs i18n plugin using static translation markdown files.,1631.0,1631.0,13.0,https://pypi.org/project/mkdocs-static-i18n,90249.0,90249.0,22,True,1.0,24.0,,,,,,,,,,,,,
25,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-11-15 07:42:13,2024-11-15 07:42:07,117.0,,27.0,2.0,23.0,66.0,243.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,2869.0,2869.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,319423.0,319423.0,22,True,1.0,12.0,,,,,,,,,,,,,
26,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,MIT,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,99.0,7.0,59.0,35.0,212.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",684.0,684.0,23.0,https://pypi.org/project/mkdocs-cinder,6068.0,6076.0,22,True,1.0,16.0,,,1014.0,,,,,,,,,,
27,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2025-05-24 21:38:05,2025-05-24 21:37:24,924.0,82.0,18.0,2.0,98.0,145.0,114.0,2025-05-24 21:37:41,4.4.1,69.0,MkDocs plugin for automatic API documentation generation from Python docstrings.,223.0,223.0,5.0,https://pypi.org/project/mkapi,3699.0,3699.0,22,True,2.0,4.0,,,,,,,,,,,,,
28,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2025-06-01 14:08:39,2025-06-01 14:08:32,428.0,10.0,27.0,1.0,264.0,48.0,83.0,2025-04-01 14:34:09,4.2.5,74.0,A MkDocs plugin for citation management using bibtex.,403.0,403.0,18.0,https://pypi.org/project/mkdocs-bibtex,25457.0,25457.0,22,True,1.0,9.0,,,,,,,,,,,,,
29,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2025-06-05 13:12:50,2025-06-05 13:12:50,123.0,1.0,24.0,2.0,38.0,36.0,65.0,2025-01-30 07:32:42,2.5.0,20.0,An MkDocs plugin to create a list of contributors on the page.,1202.0,1202.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,91155.0,91155.0,22,True,2.0,13.0,,,,,,,,,,,,,
30,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2025-03-28 17:19:11,2025-03-28 17:19:11,283.0,2.0,16.0,4.0,11.0,62.0,153.0,2025-03-01 10:09:09,3.0.4,35.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1219.0,1219.0,6.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,6337.0,6338.0,21,True,1.0,8.0,,-2.0,97.0,,,,,,,,,,
31,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2025-04-22 19:26:46,2025-04-22 19:26:00,45.0,2.0,7.0,1.0,28.0,25.0,151.0,2025-04-22 19:26:46,1.1.2,21.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,413.0,413.0,10.0,https://pypi.org/project/neoteroi-mkdocs,110051.0,110286.0,21,True,2.0,18.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,8939.0,,,,,,,,,,
32,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2025-04-10 10:11:08,2025-04-10 10:08:07,75.0,8.0,25.0,5.0,8.0,22.0,124.0,,,,Math extension for Python-Markdown.,3762.0,3762.0,8.0,https://pypi.org/project/python-markdown-math,168204.0,168204.0,21,True,1.0,2.0,mdx_math,,,,,,,,,,,,
33,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10,2023-02-07 09:45:37,75.0,,35.0,8.0,24.0,19.0,110.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,7313.0,7313.0,12.0,https://pypi.org/project/markdown-include,220821.0,220821.0,21,True,2.0,8.0,markdown_include.include,,,,,,,,,,,,
34,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2025-02-19 09:12:11,2025-01-15 21:14:23,215.0,,23.0,3.0,52.0,48.0,103.0,2025-01-15 21:13:50,1.2.7,16.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,43.0,43.0,17.0,https://pypi.org/project/mkdoxy,26403.0,26403.0,21,True,2.0,18.0,,1.0,,,,,,,,,,,
35,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2025-04-05 20:56:19,2025-04-05 20:56:05,98.0,2.0,8.0,2.0,3.0,15.0,92.0,2025-04-05 20:57:37,0.3.10,12.0,MkDocs plugin to allow clickable sections that lead to an index page.,2202.0,2202.0,3.0,https://pypi.org/project/mkdocs-section-index,700695.0,700695.0,21,True,1.0,8.0,,,,,,,,,,,,,
36,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2025-03-18 21:52:45,2025-03-18 21:52:37,133.0,1.0,8.0,3.0,5.0,17.0,88.0,2025-03-18 21:55:50,0.6.2,4.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,2537.0,2537.0,,https://pypi.org/project/mkdocs-literate-nav,815037.0,815037.0,21,True,1.0,16.0,,,,,,,,,,,,,
37,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2025-05-25 00:30:10,2025-05-25 00:30:09,127.0,12.0,9.0,4.0,51.0,30.0,84.0,2025-04-22 22:38:06,0.10.2,15.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,95.0,95.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,12049.0,12049.0,21,True,1.0,5.0,,,,,,,,,,,,,
38,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2025-06-02 20:17:40,2025-05-24 17:10:36,350.0,17.0,3.0,1.0,421.0,11.0,18.0,2025-04-19 15:27:17,4.1.0,14.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,1203.0,1203.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,9083.0,9083.0,21,True,2.0,1.0,,,,,,,,,,,,,
39,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48,2023-12-29 21:16:01,71.0,,58.0,6.0,37.0,30.0,150.0,,,,MkDocs Bootswatch Themes.,1207.0,1207.0,10.0,https://pypi.org/project/mkdocs-bootswatch,12455.0,12455.0,20,True,1.0,3.0,,,,,,,,,,,,,
40,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,,20.0,1.0,1078.0,26.0,137.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,722.0,722.0,14.0,https://pypi.org/project/mknotebooks,15674.0,15674.0,20,True,2.0,15.0,,,,,,,,,,,,,
41,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2025-02-15 16:34:14,2025-02-15 16:22:51,89.0,,10.0,2.0,9.0,20.0,122.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,3049.0,3049.0,5.0,https://pypi.org/project/mkdocs-gen-files,506378.0,506378.0,20,True,2.0,9.0,,,,,,,,,,,,,
42,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,https://github.com/blueswen/mkdocs-swagger-ui-tag,https://github.com/blueswen/mkdocs-swagger-ui-tag,MIT,2022-06-12 09:49:37,2025-05-04 13:49:04,2025-05-04 13:47:52,113.0,26.0,10.0,1.0,9.0,19.0,94.0,2025-05-04 09:50:09,0.7.1,27.0,A MkDocs plugin supports adding Swagger UI to the page.,294.0,294.0,6.0,https://pypi.org/project/mkdocs-swagger-ui-tag,51809.0,51810.0,20,True,1.0,6.0,,,47.0,,,,,,,,,,
