,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url,updated_github_id
10,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2022-08-03 15:22:19,2022-08-03 15:21:37,126.0,11.0,47.0,16.0,42.0,20.0,20.0,196.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,84.0,84.0,26.0,https://pypi.org/project/mkdocs-monorepo-plugin,82285.0,82285.0,21,True,1.0,,,,,
11,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2022-07-24 17:43:46,2022-07-24 17:34:17,72.0,3.0,24.0,7.0,12.0,9.0,44.0,250.0,2022-07-24 17:44:45,2.8.0,21.0,An MkDocs plugin that simplifies configuring page titles and their order.,,,5.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,72248.0,72248.0,20,True,1.0,,,,,
12,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2021-10-18 06:40:36,2021-10-18 06:35:38,25.0,,6.0,9.0,10.0,1.0,7.0,60.0,2021-10-18 06:40:36,0.5.0,2.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,2782.0,2782.0,6.0,https://pypi.org/project/mkdocs-minify-plugin,98513.0,98513.0,20,True,1.0,,,,,
13,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2021-12-16 09:48:55,2021-12-15 20:25:46,73.0,,14.0,3.0,13.0,4.0,24.0,55.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,457.0,457.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,14163.0,14163.0,19,True,2.0,,,,,
14,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,https://github.com/CoinK0in/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2022-07-02 13:11:52,2022-07-02 13:09:15,54.0,12.0,9.0,1.0,4.0,,23.0,44.0,2022-07-02 13:11:52,2.2.1,14.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,71.0,71.0,3.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,1164.0,1164.0,19,True,1.0,,,,,
15,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2022-03-08 14:43:42,2022-03-08 14:42:57,26.0,,6.0,4.0,8.0,3.0,9.0,43.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,670.0,670.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,33431.0,33431.0,19,True,2.0,,,,,
16,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-06-01 11:12:08,2022-06-01 11:07:38,215.0,3.0,8.0,3.0,5.0,2.0,66.0,43.0,2022-06-01 11:11:09,2.3.4,39.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",99.0,99.0,2.0,https://pypi.org/project/mkdocs-print-site-plugin,5646.0,5646.0,19,True,2.0,,,,,
17,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2022-08-09 04:44:47,2022-06-09 00:40:35,298.0,10.0,9.0,3.0,118.0,4.0,19.0,32.0,2022-08-09 04:44:47,2.8.2,24.0,A MkDocs plugin for citation management using bibtex.,84.0,84.0,8.0,https://pypi.org/project/mkdocs-bibtex,1469.0,1469.0,19,False,1.0,,,,,
18,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2022-08-04 03:37:14,2022-08-04 03:37:13,464.0,10.0,9.0,2.0,109.0,5.0,16.0,30.0,2022-04-27 12:37:55,1.1.0,8.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",103.0,103.0,9.0,https://pypi.org/project/mkdocs-rss-plugin,2493.0,2493.0,19,True,1.0,2.0,,,,
19,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2022-04-07 01:11:11,2022-02-02 11:19:26,162.0,,9.0,3.0,22.0,8.0,35.0,21.0,2022-02-02 11:21:52,0.6.4,16.0,MkDocs plugin to display git authors of a page.,144.0,144.0,4.0,https://pypi.org/project/mkdocs-git-authors-plugin,11255.0,11255.0,19,True,2.0,,,,,
20,Cinder,chrissimpkins/cinder,,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2022-06-26 11:08:07,2021-01-05 20:29:39,229.0,,98.0,8.0,58.0,12.0,35.0,160.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",460.0,460.0,23.0,,,11.0,18,True,1.0,951.0,,,,
21,Bootswatch,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,57.0,5.0,35.0,2.0,30.0,120.0,,,,MkDocs Bootswatch Themes.,827.0,827.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10095.0,10095.0,18,True,1.0,,,,,
22,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2022-07-13 08:47:36,2022-07-13 08:40:52,74.0,4.0,5.0,2.0,10.0,1.0,17.0,45.0,2022-07-13 08:46:39,1.1.0,14.0,MkDocs plugin that adds a {{ read_csv(table.csv) }} markdown tag to directly insert CSV files as a table into a page.,99.0,99.0,4.0,https://pypi.org/project/mkdocs-table-reader-plugin,14809.0,14809.0,18,True,1.0,,,,,
23,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2022-07-27 05:42:29,2022-07-27 05:42:26,41.0,3.0,3.0,2.0,17.0,,5.0,40.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",510.0,510.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,9418.0,9418.0,18,True,2.0,18.0,,,,
24,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2022-07-28 13:28:47,2022-07-28 13:24:26,127.0,16.0,8.0,3.0,75.0,1.0,37.0,30.0,2022-07-28 13:33:24,3.6.1,33.0,Mkdocs Markdown includer plugin.,,,10.0,https://pypi.org/project/mkdocs-include-markdown-plugin,34572.0,34573.0,18,True,1.0,31.0,,,,
25,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2022-08-11 07:05:58,2022-08-11 07:04:11,361.0,45.0,6.0,2.0,358.0,,11.0,20.0,2022-04-29 03:57:03,1.1.1,32.0,Build documentation files inside your code into a MkDocs site.,16.0,16.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,5320.0,5320.0,18,True,2.0,,1.0,,,
26,MkAutoDoc,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,https://github.com/tomchristie/mkautodoc,https://github.com/tomchristie/mkautodoc,BSD,2019-10-09 10:40:33,2022-08-03 09:10:48,2022-08-03 09:07:49,25.0,3.0,14.0,6.0,17.0,7.0,10.0,172.0,,,,Auto documentation for MkDocs.,273.0,273.0,6.0,https://pypi.org/project/mkautodoc,9616.0,9616.0,17,False,1.0,,,,,
27,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2022-04-20 06:46:02,2021-12-11 12:24:53,62.0,,15.0,1.0,12.0,3.0,35.0,125.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,474.0,474.0,10.0,https://pypi.org/project/mkdocs-mermaid2-plugin,59332.0,59332.0,17,True,1.0,,,,,
28,static-i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2022-08-08 13:18:15,2022-07-25 09:19:53,128.0,5.0,18.0,4.0,63.0,1.0,61.0,83.0,,,,MkDocs i18n plugin using static translation markdown files.,192.0,192.0,4.0,https://pypi.org/project/mkdocs-static-i18n,7877.0,7877.0,17,True,1.0,,1.0,,,
29,Mdx Truly Sane Lists,radude/mdx_truly_sane_lists,mdx_truly_sane_lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2022-08-01 19:58:13,2022-07-19 13:42:01,54.0,13.0,6.0,3.0,4.0,3.0,7.0,45.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx_truly_sane_lists,84933.0,84933.0,17,True,2.0,,,,,
30,mkdocs-multirepo-plugin,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2022-08-09 14:58:39,2022-08-08 13:17:01,343.0,37.0,14.0,1.0,18.0,11.0,19.0,37.0,2022-06-22 13:07:06,0.4.0,11.0,Build documentation in multiple repos into one site.,5.0,5.0,6.0,https://pypi.org/project/mkdocs-multirepo-plugin,1327.0,1327.0,17,True,2.0,,,,,
31,mkdocs-blogging-plugin,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2022-07-18 09:56:02,2022-07-18 09:54:39,100.0,12.0,7.0,1.0,14.0,,20.0,22.0,2022-07-18 09:56:02,2.1.1,18.0,"A mkdocs plugin that generates a blog page listing selected pages, sorted by time.",26.0,26.0,4.0,https://pypi.org/project/mkdocs-blogging-plugin,2016.0,2016.0,17,True,2.0,5.0,,,,
32,MkApi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,18.0,2.0,9.0,28.0,20.0,71.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,77.0,77.0,4.0,https://pypi.org/project/mkapi,2032.0,2032.0,16,True,2.0,,,,,
33,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,7.0,3.0,39.0,3.0,22.0,38.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,41.0,41.0,5.0,https://pypi.org/project/mkdocs-versioning,4066.0,4066.0,16,True,2.0,,,,,
34,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,https://github.com/wilhelmer/mkdocs-localsearch,https://github.com/wilhelmer/mkdocs-localsearch,MIT,2019-09-13 07:59:50,2022-07-25 15:00:07,2022-07-25 14:57:07,57.0,2.0,7.0,4.0,6.0,,14.0,23.0,2022-07-25 15:00:08,0.9.2,9.0,A MkDocs plugin to make the native search plugin work locally (file:// protocol).,29.0,29.0,4.0,https://pypi.org/project/mkdocs-localsearch,2897.0,2897.0,16,True,1.0,,,,,
35,git-committers-2,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2022-08-03 04:53:45,2022-08-03 04:46:58,33.0,19.0,5.0,2.0,7.0,2.0,3.0,6.0,2022-06-28 19:27:42,0.4.3,2.0,An MkDocs plugin to create a list of contributors on the page.,14.0,14.0,5.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,4109.0,4109.0,16,False,3.0,,,,,
36,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2022-07-21 14:30:32,2022-05-04 20:37:55,165.0,,19.0,3.0,38.0,10.0,43.0,144.0,,,,Use Jupyter Notebook in mkdocs.,,,13.0,https://pypi.org/project/mkdocs-jupyter,20412.0,20412.0,15,True,2.0,,,,,
37,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2022-04-04 00:49:38,2021-08-11 13:02:40,109.0,,25.0,10.0,19.0,11.0,26.0,79.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",39.0,39.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,611.0,611.0,15,True,2.0,25.0,,,,
38,mktestdocs,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2022-05-27 05:59:16,2022-05-27 05:59:16,48.0,17.0,4.0,1.0,8.0,1.0,,58.0,2022-05-26 16:45:54,0.2.0,2.0,Run pytest against markdown files/docstrings.,15.0,15.0,3.0,https://pypi.org/project/mktestdocs,961.0,961.0,15,True,1.0,,,,,
39,mkdocs-click,DataDog/mkdocs-click,mkdocs-click,['plugin'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-06-19 16:09:56,2022-06-19 16:06:53,53.0,2.0,14.0,9.0,37.0,10.0,9.0,39.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,,,10.0,https://pypi.org/project/mkdocs-click,17172.0,17172.0,15,True,2.0,,,,,
40,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2022-07-05 20:21:51,2022-07-05 20:07:34,52.0,3.0,4.0,2.0,4.0,2.0,10.0,29.0,2022-07-05 20:11:09,0.3.5,5.0,MkDocs plugin to programmatically generate documentation pages during the build.,,,3.0,https://pypi.org/project/mkdocs-gen-files,38655.0,38655.0,15,True,2.0,,,,,
41,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2021-12-19 07:05:50,2021-12-19 07:05:45,59.0,,5.0,3.0,18.0,1.0,12.0,20.0,2021-09-18 01:15:25,0.7.0,8.0,A MkDocs plugin that validates URL in rendered html files.,172.0,172.0,6.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,3446.0,3446.0,15,True,1.0,,,,,
42,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2022-05-28 16:37:25,2022-05-28 16:37:23,59.0,3.0,3.0,2.0,13.0,3.0,16.0,40.0,2021-05-09 10:30:10,0.8.0,10.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,28.0,28.0,4.0,https://pypi.org/project/mkdocs-drawio-exporter,3033.0,3033.0,14,True,2.0,,,,,
43,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2022-06-18 23:24:33,2022-06-18 23:22:41,56.0,1.0,3.0,2.0,1.0,2.0,7.0,39.0,2022-03-30 21:27:08,0.3.4,6.0,MkDocs plugin to allow clickable sections that lead to an index page.,,,,https://pypi.org/project/mkdocs-section-index,19238.0,19238.0,14,True,2.0,,,,,
44,exclude-search,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2022-07-19 18:50:47,2022-07-19 18:50:39,130.0,3.0,2.0,2.0,25.0,,14.0,16.0,2022-01-05 22:53:05,0.6.4,16.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,126.0,126.0,4.0,https://pypi.org/project/mkdocs-exclude-search,3365.0,3365.0,14,False,3.0,6.0,,,,
45,mktheapidocs,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,5.0,3.0,2.0,64.0,10.0,6.0,10.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,12.0,12.0,5.0,https://pypi.org/project/mktheapidocs,812.0,812.0,14,False,2.0,,,,,
46,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2022-02-05 20:15:03,2022-02-05 08:12:55,48.0,,4.0,2.0,20.0,4.0,6.0,7.0,2020-11-08 17:14:20,0.2.0,4.0,A plugin to include code snippets into mkdocs pages.,58.0,58.0,3.0,https://pypi.org/project/mkdocs-codeinclude-plugin,1524.0,1524.0,14,False,2.0,,,,,
47,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2022-08-08 20:05:32,2022-07-26 16:54:55,159.0,23.0,2.0,1.0,176.0,,5.0,5.0,2022-07-23 18:17:58,2.0.0,8.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,22.0,22.0,2.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,492.0,492.0,14,False,2.0,,,,,
48,Math extension,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2020-11-03 17:30:33,2020-11-03 17:12:28,66.0,,24.0,5.0,8.0,2.0,20.0,99.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,18782.0,18782.0,13,True,2.0,,,,,
