,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,new_addition,gitlab_id,gitlab_url,bitbucket_id
10,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2024-04-24 14:29:01,2024-04-23 17:53:22,797.0,47.0,20.0,4.0,221.0,16.0,27.0,60.0,2024-02-14 17:30:45,1.12.1,22.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",479.0,479.0,13.0,https://pypi.org/project/mkdocs-rss-plugin,33967.0,33968.0,24,True,1.0,,1.0,55.0,,,,,,,,,
11,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2024-03-05 13:16:07,2024-01-04 14:28:40,148.0,,70.0,23.0,63.0,31.0,30.0,304.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,398.0,398.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,291704.0,291704.0,23,True,1.0,,,,,,,,,,,,
12,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2024-04-24 14:34:44,2024-03-05 10:17:24,295.0,15.0,35.0,10.0,166.0,21.0,116.0,206.0,,,,MkDocs i18n plugin using static translation markdown files.,1001.0,1001.0,10.0,https://pypi.org/project/mkdocs-static-i18n,30952.0,30952.0,23,True,1.0,,,,,,,,,,,,
13,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-04-17 22:07:31,2024-03-06 09:42:36,105.0,7.0,25.0,1.0,22.0,7.0,59.0,193.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,1900.0,1900.0,13.0,https://pypi.org/project/mkdocs-mermaid2-plugin,157014.0,157014.0,23,True,1.0,,,,,,,,,,,,
14,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-04-13 16:09:57,2024-04-13 16:09:32,269.0,13.0,13.0,4.0,8.0,2.0,59.0,114.0,2024-01-30 19:13:34,3.0.3,34.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1081.0,1081.0,5.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,7933.0,7934.0,23,True,1.0,,,82.0,,,,,,,,,
15,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2024-04-15 19:30:53,2024-03-12 21:50:19,204.0,6.0,16.0,5.0,30.0,10.0,45.0,65.0,2024-03-12 21:52:56,0.8.0,21.0,MkDocs plugin to display git authors of a page.,758.0,758.0,10.0,https://pypi.org/project/mkdocs-git-authors-plugin,73370.0,73370.0,23,True,2.0,,,,,,,,,,,,
16,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,43.0,19.0,32.0,42.0,46.0,307.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,879.0,879.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,29780.0,29780.0,22,True,1.0,,,,,,,,,,,,
17,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08,2021-10-14 20:29:54,188.0,,73.0,10.0,50.0,56.0,44.0,299.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,502.0,502.0,6.0,https://pypi.org/project/mkdocs-with-pdf,46558.0,46558.0,22,True,1.0,,,,,,,,,,,,
18,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2024-03-19 07:44:44,2024-02-03 21:51:18,105.0,1.0,20.0,141.0,29.0,12.0,19.0,152.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,3337.0,3337.0,13.0,https://pypi.org/project/mkdocs-redirects,207810.0,207810.0,22,True,1.0,,,,,,,,,,,,
19,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16,2024-01-29 16:11:49,76.0,3.0,17.0,10.0,21.0,4.0,13.0,129.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,7453.0,7453.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,192068.0,192068.0,22,True,1.0,,,,,,,,,,,,
20,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-04-10 11:22:05,2024-04-10 11:19:11,239.0,4.0,18.0,4.0,13.0,14.0,74.0,117.0,2024-04-10 11:23:08,2.4.0,42.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",295.0,295.0,7.0,https://pypi.org/project/mkdocs-print-site-plugin,21709.0,21709.0,22,True,1.0,,,,,,,,,,,,
21,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2024-04-15 18:42:13,2024-04-15 18:42:13,137.0,13.0,17.0,4.0,20.0,4.0,36.0,99.0,2024-01-30 12:15:16,2.1.0,21.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,636.0,636.0,8.0,https://pypi.org/project/mkdocs-table-reader-plugin,38154.0,38154.0,22,True,1.0,,,,,,,,,,,,
22,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-02-19 18:04:06,2023-02-07 09:45:37,75.0,,36.0,10.0,23.0,7.0,17.0,95.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,5773.0,5773.0,12.0,https://pypi.org/project/markdown-include,106328.0,106328.0,22,True,2.0,markdown_include.include,,,,,,,,,,,
23,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2024-04-20 14:40:22,2024-04-20 14:40:17,92.0,3.0,7.0,3.0,3.0,4.0,13.0,72.0,2024-04-20 14:42:04,0.3.9,11.0,MkDocs plugin to allow clickable sections that lead to an index page.,1506.0,1506.0,3.0,https://pypi.org/project/mkdocs-section-index,199160.0,199160.0,22,True,1.0,,2.0,,,,,,,,,,
24,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2024-04-05 12:39:53,2024-04-05 12:39:53,92.0,10.0,15.0,4.0,24.0,7.0,26.0,41.0,2024-02-24 09:21:04,2.3.0,17.0,An MkDocs plugin to create a list of contributors on the page.,525.0,525.0,12.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,24367.0,24367.0,22,True,2.0,,,,,,,,,,,,
25,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-04-15 15:59:35,2024-04-15 15:59:02,115.0,15.0,15.0,4.0,50.0,2.0,31.0,37.0,2024-04-15 16:00:12,1.2.1,21.0,A MkDocs plugin that validates URL in rendered html files.,339.0,339.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,47457.0,47457.0,22,True,1.0,,,,,,,,,,,,
26,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2024-01-19 13:45:53,2024-01-19 13:39:51,419.0,,40.0,4.0,44.0,45.0,49.0,112.0,2024-01-19 13:45:53,0.7.0,19.0,Build documentation in multiple repos into one site.,105.0,105.0,14.0,https://pypi.org/project/mkdocs-multirepo-plugin,41273.0,41273.0,21,True,2.0,,,,,,,,,,,,
27,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2024-04-07 22:27:35,2024-04-03 12:11:56,492.0,128.0,17.0,2.0,34.0,22.0,67.0,93.0,2024-02-11 23:26:21,2.1.0,25.0,A plugin for MkDocs to generate API documentation.,175.0,175.0,5.0,https://pypi.org/project/mkapi,6669.0,6669.0,21,True,1.0,,,,,,,,,,,,
28,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-04-18 13:26:40,2021-12-15 20:25:46,73.0,,17.0,3.0,17.0,8.0,26.0,77.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1104.0,1104.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,39525.0,39525.0,21,True,2.0,,,,,,,,,,,,
29,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2024-04-25 16:07:53,2024-04-01 16:57:43,240.0,7.0,58.0,16.0,128.0,7.0,52.0,74.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,49.0,49.0,38.0,https://pypi.org/project/mkdocs-techdocs-core,248475.0,248475.0,21,True,2.0,,,,,,,,,,,,
30,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,MIT,2019-09-10 21:59:11,2024-04-23 21:40:36,2024-04-23 21:38:16,92.0,32.0,5.0,4.0,30.0,4.0,23.0,72.0,2024-04-23 21:40:36,0.9.1,12.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,67.0,67.0,5.0,https://pypi.org/project/mkdocs-drawio-exporter,11887.0,11887.0,21,True,1.0,,2.0,,,,,,,,,,
31,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2024-04-04 14:32:39,2024-04-04 14:30:48,388.0,15.0,18.0,3.0,203.0,11.0,32.0,65.0,2024-04-04 14:32:39,2.15.0,51.0,A MkDocs plugin for citation management using bibtex.,258.0,258.0,13.0,https://pypi.org/project/mkdocs-bibtex,6568.0,6568.0,21,True,1.0,,,,,,,,,,,,
32,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2024-04-16 19:14:51,2024-04-16 19:14:48,121.0,8.0,7.0,4.0,10.0,2.0,28.0,37.0,2024-04-16 19:05:31,0.6.2,13.0,MkDocs Plugin to enumerate the headings across site pages.,193.0,193.0,5.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,12815.0,12815.0,21,True,1.0,,,,,,,,,,,,
33,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,16.0,35.0,198.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",624.0,624.0,23.0,https://pypi.org/project/mkdocs-cinder,6877.0,6886.0,20,True,1.0,,,974.0,,,,,,,,,
34,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48,2023-12-29 21:16:01,71.0,,58.0,7.0,37.0,3.0,30.0,140.0,,,,MkDocs Bootswatch Themes.,1089.0,1089.0,10.0,https://pypi.org/project/mkdocs-bootswatch,14790.0,14790.0,20,True,1.0,,,,,,,,,,,,
35,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,,20.0,2.0,1078.0,13.0,26.0,127.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,533.0,533.0,14.0,https://pypi.org/project/mknotebooks,13712.0,13712.0,20,True,2.0,,,,,,,,,,,,
36,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2024-04-21 08:27:32,2024-01-31 15:03:38,81.0,1.0,14.0,1.0,6.0,11.0,21.0,104.0,2024-01-24 15:17:47,0.3.7,15.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,2520.0,2520.0,2.0,https://pypi.org/project/mkdocs-glightbox,200510.0,200511.0,20,True,2.0,,-1.0,24.0,,,,,,,,,
37,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2024-02-11 18:54:37,2024-02-03 21:52:35,83.0,1.0,7.0,3.0,7.0,5.0,18.0,84.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,2021.0,2021.0,5.0,https://pypi.org/project/mkdocs-gen-files,245598.0,245598.0,20,True,2.0,,,,,,,,,,,,
38,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2024-04-15 17:11:41,2024-04-15 17:11:38,186.0,7.0,5.0,2.0,1.0,15.0,21.0,72.0,2024-04-15 16:53:33,1.8.1,3.0,Utilities to execute code blocks in Markdown files.,231.0,231.0,2.0,https://pypi.org/project/markdown-exec,19046.0,19046.0,20,True,2.0,,,,,,,,,,,,
39,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2024-02-11 18:56:07,2024-02-03 21:52:24,126.0,1.0,8.0,4.0,5.0,10.0,16.0,70.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1648.0,1648.0,,https://pypi.org/project/mkdocs-literate-nav,188473.0,188473.0,20,True,2.0,,,,,,,,,,,,
40,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,8.0,5.0,9.0,5.0,9.0,56.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2046.0,2046.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,69812.0,69812.0,20,True,2.0,,,,,,,,,,,,
41,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2024-04-19 09:28:19,2024-04-19 09:27:20,184.0,30.0,15.0,4.0,36.0,7.0,43.0,51.0,2024-04-02 23:54:19,1.2.0,12.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,8.0,8.0,10.0,https://pypi.org/project/mkdoxy,12949.0,12949.0,20,True,2.0,,,,,,,,,,,,
42,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2024-04-25 15:40:48,2024-04-08 04:13:30,628.0,24.0,10.0,3.0,669.0,,17.0,39.0,2023-08-25 06:55:19,3.1.0,41.0,Build documentation files inside your code into a MkDocs site.,46.0,46.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,28847.0,28847.0,20,True,2.0,,,,,,,,,,,,
