,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,new_addition,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
10,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-11-10 21:04:47,2023-11-10 21:04:19,172.0,6.0,17.0,3.0,115.0,1.0,62.0,74.0,2023-11-10 21:12:59,6.0.4,51.0,Mkdocs Markdown includer plugin.,1672.0,1672.0,14.0,https://pypi.org/project/mkdocs-include-markdown-plugin,130174.0,130179.0,24,True,1.0,,,194.0,,,,,,
11,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-11-02 11:12:32,2023-09-08 13:30:49,145.0,4.0,67.0,23.0,58.0,31.0,24.0,281.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,335.0,335.0,29.0,https://pypi.org/project/mkdocs-monorepo-plugin,234377.0,234377.0,23,True,1.0,,,,,,,,,
12,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-11-14 17:14:07,2023-10-25 13:22:59,277.0,56.0,30.0,7.0,159.0,9.0,112.0,173.0,,,,MkDocs i18n plugin using static translation markdown files.,804.0,804.0,8.0,https://pypi.org/project/mkdocs-static-i18n,26136.0,26136.0,23,True,1.0,,,,,,,,,
13,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-11-12 01:18:58,2023-11-04 12:53:14,102.0,7.0,18.0,139.0,28.0,11.0,18.0,123.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,2647.0,2647.0,13.0,https://pypi.org/project/mkdocs-redirects,121858.0,121858.0,23,True,1.0,,,,,,,,,
14,encryptcontent,,encryptcontent,,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-11-12 18:07:59,2023-11-12 18:07:54,239.0,48.0,12.0,4.0,6.0,1.0,47.0,94.0,2023-09-17 10:19:20,3.0.0,31.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,853.0,853.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,7496.0,7498.0,23,True,1.0,,,81.0,,unverbuggt/mkdocs-encryptcontent-plugin,,,,
15,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-11-04 13:37:30,2023-11-04 13:35:48,119.0,14.0,8.0,3.0,5.0,10.0,13.0,60.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1300.0,1300.0,,https://pypi.org/project/mkdocs-literate-nav,149804.0,149804.0,23,True,1.0,,,,,,,,,
16,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2023-10-11 07:09:43,2023-08-02 19:40:39,38.0,,3.0,4.0,21.0,7.0,6.0,27.0,2023-08-02 19:41:11,0.5.0,1.0,Automatically link across pages in MkDocs.,4507.0,4507.0,6.0,https://pypi.org/project/mkdocs-autorefs,676126.0,676126.0,23,True,1.0,,,,,,,,,
17,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08,2021-10-14 20:29:54,188.0,,68.0,10.0,50.0,54.0,44.0,270.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,421.0,421.0,6.0,https://pypi.org/project/mkdocs-with-pdf,29720.0,29720.0,22,True,1.0,,,,,,,,,
18,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-08-01 10:33:03,2023-08-01 10:30:41,63.0,,13.0,10.0,18.0,4.0,12.0,106.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,6514.0,6514.0,10.0,https://pypi.org/project/mkdocs-minify-plugin,157724.0,157724.0,22,True,1.0,,,,,,,,,
19,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2023-10-25 17:48:31,2023-10-25 17:48:31,229.0,4.0,14.0,3.0,11.0,10.0,72.0,98.0,2023-08-28 07:28:44,2.3.6,41.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",254.0,254.0,5.0,https://pypi.org/project/mkdocs-print-site-plugin,19390.0,19390.0,22,True,1.0,,,,,,,,,
20,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-11-13 17:30:58,2023-09-07 17:32:07,415.0,3.0,33.0,3.0,42.0,36.0,44.0,95.0,2023-09-07 17:28:03,0.6.3,18.0,Build documentation in multiple repos into one site.,90.0,90.0,12.0,https://pypi.org/project/mkdocs-multirepo-plugin,36589.0,36589.0,22,True,2.0,,,,,,,,,
21,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-11-04 12:58:46,2023-11-04 12:51:55,86.0,19.0,7.0,2.0,3.0,4.0,13.0,63.0,2023-09-22 12:03:42,0.3.8,10.0,MkDocs plugin to allow clickable sections that lead to an index page.,1250.0,1250.0,3.0,https://pypi.org/project/mkdocs-section-index,155000.0,155000.0,22,True,2.0,,,,,,,,,
22,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-10-30 17:42:50,2023-07-04 20:02:13,198.0,,14.0,4.0,28.0,9.0,41.0,54.0,2023-06-08 18:11:02,0.7.2,20.0,MkDocs plugin to display git authors of a page.,540.0,540.0,7.0,https://pypi.org/project/mkdocs-git-authors-plugin,42854.0,42854.0,22,True,2.0,,,,,,,,,
23,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-11-06 18:15:32,2023-11-06 18:15:31,650.0,8.0,15.0,3.0,173.0,12.0,23.0,50.0,2023-07-24 17:11:30,1.8.0,16.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",323.0,323.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,20676.0,20677.0,22,True,1.0,,,41.0,,,,,,
24,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,42.0,19.0,32.0,41.0,46.0,293.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,566.0,566.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,21793.0,21793.0,21,True,2.0,,,,,,,,,
25,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,,19.0,2.0,1078.0,12.0,26.0,118.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,458.0,458.0,14.0,https://pypi.org/project/mknotebooks,19939.0,19939.0,21,True,2.0,,,,,,,,,
26,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-10-15 19:09:45,2023-10-15 19:09:45,120.0,7.0,12.0,3.0,17.0,2.0,36.0,91.0,2023-10-11 12:15:58,2.0.3,20.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,459.0,459.0,6.0,https://pypi.org/project/mkdocs-table-reader-plugin,33777.0,33777.0,21,True,1.0,,,,,,,,,
27,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,36.0,9.0,21.0,7.0,16.0,90.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,5166.0,5166.0,12.0,https://pypi.org/project/markdown-include,69740.0,69740.0,21,True,2.0,markdown_include.include,,,,,,,,
28,mkdocs-click,,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2023-11-04 12:58:36,2023-11-04 12:53:10,70.0,16.0,17.0,10.0,48.0,12.0,15.0,82.0,2023-09-18 18:43:15,0.8.1,10.0,An MkDocs extension to generate documentation for Click command line applications.,336.0,336.0,13.0,https://pypi.org/project/mkdocs-click,44517.0,44517.0,21,True,1.0,mkdocs-click,,,,mkdocs/mkdocs-click,,,,
29,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-10-02 13:27:32,2021-12-15 20:25:46,73.0,,17.0,3.0,16.0,6.0,26.0,70.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,930.0,930.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,33187.0,33187.0,21,True,2.0,,,,,,,,,
30,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],other,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2023-11-15 19:42:15,2023-09-08 14:07:17,200.0,16.0,50.0,16.0,105.0,6.0,42.0,62.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,41.0,41.0,32.0,https://pypi.org/project/mkdocs-techdocs-core,277117.0,277117.0,21,True,1.0,,,,,,,,,
31,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-11-01 14:27:05,2023-11-01 14:26:58,368.0,10.0,14.0,3.0,180.0,8.0,27.0,50.0,2023-07-01 14:51:25,2.11.0,42.0,A MkDocs plugin for citation management using bibtex.,204.0,204.0,10.0,https://pypi.org/project/mkdocs-bibtex,4260.0,4260.0,21,False,1.0,,,,,,,,,
32,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-11-16 15:25:54,2023-11-07 21:03:38,579.0,46.0,11.0,3.0,598.0,,16.0,37.0,2023-08-25 06:55:19,3.1.0,41.0,Build documentation files inside your code into a MkDocs site.,41.0,41.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,21486.0,21486.0,21,True,2.0,,,,,,,,,
33,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2023-11-04 15:02:33,2023-11-04 09:01:58,74.0,23.0,11.0,3.0,19.0,3.0,18.0,21.0,2023-11-04 09:03:13,2.2.2,15.0,An MkDocs plugin to create a list of contributors on the page.,301.0,301.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,13708.0,13708.0,21,True,2.0,,,,,,,,,
34,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,101.0,8.0,59.0,16.0,35.0,192.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",577.0,577.0,23.0,https://pypi.org/project/mkdocs-cinder,8037.0,8046.0,20,True,1.0,,,971.0,,,,,,
35,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-11-04 12:58:42,2023-11-04 12:52:44,79.0,9.0,7.0,2.0,7.0,4.0,18.0,72.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1636.0,1636.0,5.0,https://pypi.org/project/mkdocs-gen-files,145476.0,145476.0,20,True,2.0,,,,,,,,,
36,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-08-18 14:56:02,2023-08-18 14:56:02,100.0,,11.0,3.0,41.0,3.0,24.0,35.0,2023-07-19 14:08:38,1.0.0,18.0,A MkDocs plugin that validates URL in rendered html files.,301.0,301.0,12.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,36144.0,36144.0,20,True,1.0,,1.0,,,,,,,
37,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,56.0,7.0,35.0,3.0,30.0,133.0,,,,MkDocs Bootswatch Themes.,1040.0,1040.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10323.0,10323.0,19,True,1.0,,,,,,,,,
38,autolinks,,autolinks,,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-10-10 15:31:51,2023-08-04 14:41:05,27.0,,16.0,4.0,20.0,7.0,9.0,69.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,336.0,336.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,46114.0,46114.0,19,True,2.0,,,,,zachhannum/mkdocs-autolinks-plugin,,,,
39,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,9.0,5.0,9.0,5.0,9.0,55.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1647.0,1647.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,42706.0,42706.0,19,True,3.0,,,,,,,,,
40,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-11-14 05:07:24,2023-11-14 05:07:17,58.0,5.0,4.0,2.0,32.0,,6.0,53.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1231.0,1231.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,25561.0,25561.0,19,True,2.0,,,30.0,,,,,,
41,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-04-25 13:18:13,2023-04-25 13:18:07,71.0,,8.0,1.0,3.0,5.0,17.0,81.0,2023-05-05 15:17:23,0.3.4,12.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,1782.0,1782.0,2.0,https://pypi.org/project/mkdocs-glightbox,85700.0,85701.0,18,True,2.0,,,24.0,,,,,,
42,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,,14.0,3.0,18.0,4.0,34.0,79.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,142.0,142.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,6586.0,6586.0,18,True,2.0,,,11.0,,,,,,
43,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-charts-plugin,https://github.com/timvink/mkdocs-charts-plugin,MIT,2021-12-07 21:53:15,2023-09-25 17:42:01,2023-09-25 17:41:37,60.0,4.0,5.0,3.0,3.0,3.0,16.0,63.0,2023-08-28 07:57:05,0.0.10,10.0,Mkdocs plugin to add vegalite charts to your pages.,45.0,45.0,3.0,https://pypi.org/project/mkdocs-charts-plugin,4686.0,4686.0,18,True,2.0,,,,,,,,,
