,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,pypi,gitlab_id,gitlab_url,bitbucket_id
10,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2025-06-15 12:39:15.000000,2025-06-15 12:39:15,155.0,5.0,73.0,23.0,66.0,38.0,34.0,361.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,555.0,555.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,19,True,1.0,,,,,,,,,,,,,,
11,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2025-08-07 11:57:57.000000,2025-08-07 11:57:57,461.0,19.0,48.0,3.0,64.0,37.0,158.0,249.0,2025-06-03 12:52:23,1.16.12,59.0,A Python handler for mkdocstrings.,,,27.0,https://pypi.org/project/mkdocstrings-python,19,True,1.0,,,,,,,,,,,,,,
12,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2025-05-19 18:47:36.000000,2025-05-19 18:47:36,111.0,1.0,30.0,130.0,35.0,12.0,28.0,220.0,2024-11-07 14:59:36,1.2.2,11.0,Open source plugin for Mkdocs page redirects.,5918.0,5918.0,18.0,https://pypi.org/project/mkdocs-redirects,19,True,1.0,,,,,,,,,,,,,,
13,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,MIT,2015-08-28 03:45:23,2023-03-07 11:46:26.000000,2021-01-05 20:29:39,229.0,,100.0,7.0,59.0,16.0,35.0,213.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",684.0,684.0,23.0,https://pypi.org/project/mkdocs-cinder,19,True,1.0,,,1015.0,8.0,,,,,,,,,,
14,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2025-08-02 09:21:43.000000,2025-08-02 09:20:49,49.0,4.0,11.0,1.0,32.0,18.0,25.0,153.0,2025-08-02 09:21:44,1.1.3,22.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,423.0,423.0,12.0,https://pypi.org/project/neoteroi-mkdocs,19,True,1.0,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",10968.0,274.0,,,,,,,,,,
15,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2025-07-01 03:33:17.000000,2025-06-13 18:12:46,220.0,1.0,24.0,3.0,162.0,1.0,89.0,139.0,2025-06-13 18:25:45,7.1.6,67.0,Mkdocs Markdown includer plugin.,3087.0,3087.0,17.0,https://pypi.org/project/mkdocs-include-markdown-plugin,19,True,1.0,,,664.0,11.0,,,,,,,,,,
16,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2025-07-28 23:57:34.000000,2025-07-28 23:57:32,412.0,24.0,73.0,15.0,212.0,1.0,71.0,100.0,2025-07-11 17:08:41,1.5.4,1.0,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,180.0,180.0,47.0,https://pypi.org/project/mkdocs-techdocs-core,19,True,1.0,,,,,,,,,,,,,,
17,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2025-08-01 14:17:41.000000,2025-08-01 14:17:33,443.0,17.0,29.0,1.0,276.0,5.0,53.0,84.0,2025-07-01 14:57:13,4.4.0,81.0,A MkDocs plugin for citation management using bibtex.,412.0,412.0,21.0,https://pypi.org/project/mkdocs-bibtex,19,True,1.0,,,,,,,,,,,,,,
18,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01.000000,2021-10-14 20:29:54,188.0,,76.0,12.0,52.0,67.0,49.0,370.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,790.0,790.0,6.0,https://pypi.org/project/mkdocs-with-pdf,18,True,1.0,,,,,,,,,,,,,,
19,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59.000000,2021-10-05 01:31:10,72.0,,41.0,19.0,32.0,44.0,46.0,336.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1460.0,1460.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,18,True,1.0,,,,,,,,,,,,,,
20,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16.000000,2024-01-29 16:11:49,76.0,,25.0,10.0,22.0,5.0,13.0,173.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,10472.0,10472.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,18,True,1.0,,,,,,,,,,,,,,
21,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2025-01-15 16:08:45.000000,2025-01-15 16:08:44,430.0,,54.0,4.0,56.0,62.0,52.0,168.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,200.0,200.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,18,True,2.0,,,,,,,,,,,,,,
22,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2025-07-21 14:17:39.000000,2025-07-07 19:52:27,284.0,1.0,16.0,4.0,11.0,6.0,64.0,159.0,2025-07-21 14:13:42,3.0.5,36.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1226.0,1226.0,6.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,18,True,1.0,,,101.0,1.0,,,,,,,,,,
23,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2025-07-22 11:40:55.000000,2025-06-28 11:42:16,268.0,7.0,15.0,2.0,10.0,16.0,50.0,156.0,2025-06-28 10:30:44,1.11.0,15.0,Utilities to execute code blocks in Markdown files.,559.0,559.0,5.0,https://pypi.org/project/markdown-exec,18,True,1.0,,,,,,,,,,,,,,
24,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2025-08-02 22:06:57.000000,2025-08-02 22:06:34,947.0,28.0,18.0,2.0,102.0,4.0,147.0,117.0,2025-07-26 23:28:45,4.4.5,73.0,MkDocs plugin for automatic API documentation generation from Python docstrings.,227.0,227.0,5.0,https://pypi.org/project/mkapi,18,True,2.0,,,,,,,,,,,,,,
25,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-nav,https://github.com/lukasgeiter/mkdocs-awesome-nav,MIT,2018-02-06 21:09:24,2025-05-18 19:12:19.000000,2025-05-18 19:00:05,124.0,1.0,40.0,8.0,24.0,20.0,87.0,575.0,2025-05-18 19:12:19,3.1.2,31.0,A plugin for customizing the navigation structure of your MkDocs site.,225.0,225.0,10.0,https://pypi.org/project/mkdocs-awesome-nav,17,True,1.0,,,,,,,,,,,,,,
26,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2025-04-14 16:49:37.000000,2025-04-14 16:49:36,311.0,,43.0,9.0,176.0,26.0,125.0,285.0,,,,MkDocs i18n plugin using static translation markdown files.,1698.0,1698.0,13.0,https://pypi.org/project/mkdocs-static-i18n,17,True,1.0,,,,,,,,,,,,,,
27,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-11-15 07:42:13.000000,2024-11-15 07:42:07,117.0,,27.0,2.0,23.0,12.0,66.0,251.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,3025.0,3025.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,17,True,1.0,,,,,,,,,,,,,,
28,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2025-04-27 06:03:29.000000,2025-04-27 06:03:29,106.0,,19.0,3.0,10.0,22.0,29.0,172.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,4955.0,4955.0,7.0,https://pypi.org/project/mkdocs-glightbox,17,True,1.0,,,44.0,1.0,,,,,,,,,,
29,markdown-docs,,,,ldeluigi/markdown-docs,,['project'],site-management,https://github.com/ldeluigi/markdown-docs,https://github.com/ldeluigi/markdown-docs,MIT,2021-05-14 18:59:14,2025-08-04 13:28:23.952005,2025-08-04 13:26:18,471.0,15.0,6.0,1.0,270.0,,27.0,25.0,,,52.0,Action/docker image that transforms your markdown into a static website. No need for particular configuration: it just..,107.0,107.0,6.0,,17,True,2.0,,,,790.0,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2025-08-04 13:28:23.952005,40323.0,,,,,,
30,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48.000000,2023-12-29 21:16:01,71.0,,58.0,6.0,37.0,3.0,30.0,150.0,,,,MkDocs Bootswatch Themes.,1216.0,1216.0,10.0,https://pypi.org/project/mkdocs-bootswatch,16,True,1.0,,,,,,,,,,,,,,
31,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2025-06-18 15:50:54.000000,2025-06-18 15:50:53,81.0,1.0,20.0,10.0,59.0,17.0,16.0,137.0,2025-04-07 16:59:11,0.9.0,11.0,An MkDocs extension to generate documentation for Click command line applications.,905.0,905.0,16.0,https://pypi.org/project/mkdocs-click,16,True,2.0,,mkdocs-click,,,,,,,,,,,,
32,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,,20.0,1.0,1078.0,15.0,26.0,137.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,736.0,736.0,14.0,https://pypi.org/project/mknotebooks,16,True,2.0,,,,,,,,,,,,,,
33,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10.000000,2023-02-07 09:45:37,75.0,,35.0,8.0,24.0,8.0,19.0,114.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,7406.0,7406.0,12.0,https://pypi.org/project/markdown-include,16,True,2.0,,markdown_include.include,,,,,,,,,,,,
34,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,111.0,2025-07-12 12:43:24,1.4.8,20.0,"Blogging engine with support for categories, tags and archive.",91.0,91.0,3.0,https://pypi.org/project/mkdocs-publisher,16,True,2.0,,,99.0,3.0,,,,,,,,,,
35,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,111.0,2025-07-12 12:43:24,1.4.8,20.0,Social media sharing helper.,91.0,91.0,3.0,https://pypi.org/project/mkdocs-publisher,16,True,1.0,,,99.0,3.0,,,,,,,,,,
36,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,111.0,2025-07-12 12:43:24,1.4.8,20.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",91.0,91.0,3.0,https://pypi.org/project/mkdocs-publisher,16,True,1.0,,,99.0,3.0,,,,,,,,,,
37,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,111.0,2025-07-12 12:43:24,1.4.8,20.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",91.0,91.0,3.0,https://pypi.org/project/mkdocs-publisher,16,True,1.0,,,99.0,3.0,,,,,,,,,,
38,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,111.0,2025-07-12 12:43:24,1.4.8,20.0,Automatic navigation based on files metadata with URL name and publication status control.,91.0,91.0,3.0,https://pypi.org/project/mkdocs-publisher,16,True,1.0,,,99.0,3.0,,,,,,,,,,
39,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,https://github.com/mkdocs-publisher/mkdocs-publisher,https://github.com/mkdocs-publisher/mkdocs-publisher,MIT,2023-02-02 15:47:55,2025-08-07 10:36:59.000000,2025-07-11 21:54:32,62.0,3.0,7.0,3.0,78.0,7.0,22.0,111.0,2025-07-12 12:43:24,1.4.8,20.0,Advanced console and file logger from build and serve process.,91.0,91.0,3.0,https://pypi.org/project/mkdocs-publisher,16,True,2.0,,,99.0,3.0,,,,,,,,,,
40,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2025-02-19 09:12:11.000000,2025-01-15 21:14:23,215.0,,23.0,3.0,52.0,20.0,48.0,105.0,2025-01-15 21:13:50,1.2.7,16.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,47.0,47.0,17.0,https://pypi.org/project/mkdoxy,16,True,2.0,,,,,,,,,,,,,,
41,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,https://github.com/dracula/mkdocs,https://github.com/dracula/mkdocs,MIT,2023-03-22 14:29:51,2025-08-04 18:27:50.000000,2025-08-04 18:14:01,209.0,7.0,15.0,3.0,12.0,1.0,14.0,102.0,2025-08-04 18:25:05,1.0.8,8.0,Dark theme for Mkdocs.,143.0,143.0,4.0,https://pypi.org/project/mkdocs-dracula-theme,16,True,1.0,,,,,,,,,,,,,,
42,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2025-03-18 21:52:45.000000,2025-03-18 21:52:37,133.0,,8.0,3.0,5.0,16.0,17.0,90.0,2025-03-18 21:55:50,0.6.2,4.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,2640.0,2640.0,,https://pypi.org/project/mkdocs-literate-nav,16,True,1.0,,,,,,,,,,,,,,
43,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2025-06-05 13:12:50.000000,2025-06-05 13:12:50,123.0,1.0,24.0,2.0,38.0,15.0,36.0,66.0,2025-01-30 07:32:42,2.5.0,20.0,An MkDocs plugin to create a list of contributors on the page.,1267.0,1267.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,16,True,2.0,,,,,,,,,,,,,,
