,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
10,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-03-02 00:33:36,2022-12-07 14:51:56,167.0,,34.0,5.0,53.0,29.0,47.0,203.0,,,,Use Jupyter Notebook in mkdocs.,1031.0,1031.0,14.0,https://pypi.org/project/mkdocs-jupyter,33532.0,33532.0,22,True,1.0,,1.0,,,,
11,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,6.0,37.0,9.0,21.0,7.0,15.0,86.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,4319.0,4319.0,12.0,https://pypi.org/project/markdown-include,56701.0,56701.0,22,True,2.0,markdown_include.include,,,,,
12,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-03-03 15:28:29,2023-03-03 15:28:29,49.0,1.0,12.0,10.0,16.0,1.0,10.0,80.0,2022-11-28 07:56:24,0.6.2,5.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,4450.0,4450.0,9.0,https://pypi.org/project/mkdocs-minify-plugin,183296.0,183296.0,22,True,1.0,,-1.0,,,,
13,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-02-23 12:01:09,2023-02-23 12:01:07,596.0,37.0,11.0,3.0,146.0,9.0,21.0,43.0,2023-02-21 22:10:35,1.6.0,14.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",162.0,162.0,9.0,https://pypi.org/project/mkdocs-rss-plugin,12863.0,12863.0,22,True,1.0,,1.0,12.0,,,
14,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-02-20 09:02:04,2023-02-20 08:58:58,187.0,5.0,11.0,4.0,24.0,8.0,40.0,35.0,2022-11-02 20:16:17,0.7.0,18.0,MkDocs plugin to display git authors of a page.,334.0,334.0,6.0,https://pypi.org/project/mkdocs-git-authors-plugin,27053.0,27053.0,22,True,2.0,,,,,,
15,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-11-22 05:06:36,2021-10-05 01:31:10,72.0,,41.0,19.0,31.0,40.0,46.0,273.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,344.0,344.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,18982.0,18982.0,21,True,2.0,,,,,,
16,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,100.0,7.0,59.0,14.0,35.0,181.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",522.0,522.0,23.0,https://pypi.org/project/mkdocs-cinder,6200.0,6210.0,21,True,1.0,,,952.0,,,
17,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-01-01 20:35:55,2022-12-31 11:20:19,91.0,1.0,15.0,141.0,26.0,10.0,17.0,96.0,2022-09-18 12:22:52,1.2.0,9.0,Open source plugin for Mkdocs page redirects.,1752.0,1752.0,13.0,https://pypi.org/project/mkdocs-redirects,81999.0,81999.0,21,True,1.0,,,,,,
18,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-01-30 13:27:40,2023-01-30 13:16:31,103.0,20.0,9.0,3.0,14.0,3.0,28.0,66.0,2023-01-30 13:24:33,2.0,17.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,218.0,218.0,5.0,https://pypi.org/project/mkdocs-table-reader-plugin,16323.0,16323.0,21,True,1.0,,,,,,
19,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-01-29 19:34:06,2023-01-29 19:33:39,101.0,3.0,5.0,3.0,2.0,10.0,7.0,40.0,2023-01-06 13:51:31,0.6.0,2.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,844.0,844.0,,https://pypi.org/project/mkdocs-literate-nav,60277.0,60277.0,21,True,1.0,,,,,,
20,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-03-06 14:06:15,2023-01-31 17:39:49,159.0,3.0,23.0,4.0,114.0,11.0,74.0,127.0,,,,MkDocs i18n plugin using static translation markdown files.,456.0,456.0,7.0,https://pypi.org/project/mkdocs-static-i18n,15213.0,15213.0,20,True,1.0,,,,,,
21,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-03-06 12:15:07,2022-12-20 11:05:47,1701.0,2.0,19.0,2.0,1061.0,12.0,25.0,111.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,358.0,358.0,13.0,https://pypi.org/project/mknotebooks,21403.0,21403.0,20,True,2.0,,-1.0,,,,
22,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-12-07 11:39:27,2022-12-07 11:39:27,220.0,,11.0,3.0,7.0,7.0,67.0,71.0,2022-06-01 11:11:09,2.3.4,39.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",194.0,194.0,4.0,https://pypi.org/project/mkdocs-print-site-plugin,11535.0,11535.0,20,True,2.0,,,,,,
23,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-03-06 20:33:42,2023-01-26 16:54:38,108.0,12.0,10.0,1.0,6.0,1.0,37.0,65.0,2023-01-26 16:59:18,2.4.5,22.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,286.0,286.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,3552.0,3552.0,20,True,2.0,,,,unverbuggt/mkdocs-encryptcontent-plugin,,
24,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-01-26 16:53:16,2021-12-15 20:25:46,73.0,,17.0,3.0,15.0,5.0,26.0,61.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,711.0,711.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,36463.0,36463.0,20,True,2.0,,,,,,
25,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-02-02 19:03:11,2023-02-02 19:03:11,404.0,27.0,18.0,2.0,33.0,17.0,30.0,59.0,2023-02-02 18:54:21,0.6.0,15.0,Build documentation in multiple repos into one site.,65.0,65.0,8.0,https://pypi.org/project/mkdocs-multirepo-plugin,5811.0,5811.0,20,True,2.0,,,,,,
26,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-01-29 19:34:16,2023-01-29 19:33:48,65.0,4.0,5.0,2.0,1.0,4.0,8.0,54.0,2023-01-29 19:23:45,0.3.5,7.0,MkDocs plugin to allow clickable sections that lead to an index page.,873.0,873.0,,https://pypi.org/project/mkdocs-section-index,53923.0,53923.0,20,True,2.0,,,,,,
27,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-03-01 15:17:57,2023-03-01 15:17:49,339.0,17.0,14.0,3.0,146.0,9.0,25.0,41.0,2023-03-01 14:59:31,2.8.14,37.0,A MkDocs plugin for citation management using bibtex.,136.0,136.0,8.0,https://pypi.org/project/mkdocs-bibtex,2260.0,2260.0,20,False,1.0,,,,,,
28,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-03-08 03:26:24,2023-03-08 03:22:50,473.0,39.0,10.0,3.0,477.0,,16.0,32.0,2023-02-17 15:11:31,2.3.0,39.0,Build documentation files inside your code into a MkDocs site.,32.0,32.0,9.0,https://pypi.org/project/mkdocs-simple-plugin,9616.0,9616.0,20,True,2.0,,-1.0,,,,
29,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-03-08 16:07:11,2023-03-08 16:07:11,82.0,6.0,7.0,3.0,30.0,3.0,17.0,25.0,2023-02-20 06:01:29,0.10.3,14.0,A MkDocs plugin that validates URL in rendered html files.,240.0,240.0,9.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,14584.0,14584.0,20,True,1.0,,,,,,
30,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-03-07 11:24:19,2023-01-07 14:14:44,64.0,2.0,19.0,1.0,15.0,10.0,37.0,140.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,1160.0,1160.0,11.0,https://pypi.org/project/mkdocs-mermaid2-plugin,83182.0,83182.0,19,True,1.0,,,,,,
31,Bootswatch,cerulean,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,6.0,35.0,3.0,30.0,126.0,,,,MkDocs Bootswatch Themes.,929.0,929.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10715.0,10715.0,19,True,1.0,,,,,,
32,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2022-03-08 14:43:42,2022-03-08 14:42:57,26.0,,6.0,5.0,8.0,4.0,9.0,51.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1273.0,1273.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,37896.0,37896.0,19,True,2.0,,,,,,
33,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-02-25 21:49:40,2023-01-29 19:33:33,63.0,1.0,7.0,2.0,7.0,3.0,15.0,49.0,2022-08-22 17:44:45,0.4.0,6.0,MkDocs plugin to programmatically generate documentation pages during the build.,1115.0,1115.0,3.0,https://pypi.org/project/mkdocs-gen-files,73716.0,73716.0,19,True,2.0,,,,,,
34,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-02-20 09:20:12,2023-02-20 09:19:49,108.0,4.0,3.0,3.0,6.0,1.0,27.0,31.0,2023-02-20 09:21:05,0.6.0,11.0,MkDocs Plugin to enumerate the headings across site pages.,104.0,104.0,3.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,2627.0,2627.0,19,True,2.0,,,,,,
35,mkpdfs,,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-01-14 14:58:39,2021-08-11 13:02:40,109.0,,28.0,10.0,21.0,12.0,26.0,91.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",46.0,46.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,1135.0,1135.0,18,True,2.0,,,29.0,,,
36,exclude,,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,8.0,5.0,4.0,9.0,3.0,63.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1074.0,1074.0,,https://pypi.org/project/mkdocs-exclude,112954.0,112954.0,18,True,2.0,,,,,,
37,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-03-01 16:25:16,2023-03-01 16:24:47,112.0,3.0,11.0,2.0,16.0,3.0,27.0,53.0,2022-11-23 09:34:18,2.2.2,21.0,Add blogging feature to your MkDocs site.,67.0,67.0,5.0,https://pypi.org/project/mkdocs-blogging-plugin,2113.0,2113.0,18,True,2.0,,,6.0,,,
38,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-02-27 16:42:37,2023-02-27 16:41:41,25.0,2.0,14.0,3.0,17.0,5.0,9.0,51.0,2023-02-27 16:42:54,_070,7.0,An MkDocs plugin that automagically generates relative links between markdown pages.,249.0,249.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,9396.0,9396.0,18,True,2.0,,,,zachhannum/mkdocs-autolinks-plugin,,
39,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-02-07 05:20:26,2023-02-07 05:20:26,48.0,3.0,4.0,2.0,23.0,,5.0,48.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",821.0,821.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,12986.0,12986.0,18,True,2.0,,,22.0,,,
40,MkDocs Video,,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2023-02-07 17:56:40,2023-02-07 17:56:39,18.0,5.0,7.0,1.0,4.0,1.0,10.0,37.0,2023-02-06 10:35:44,1.4.0,5.0,MkDocs Video plugin.,307.0,307.0,5.0,https://pypi.org/project/mkdocs-video,17792.0,17792.0,18,True,2.0,,,15.0,,,
41,kroki,,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2023-02-17 21:17:53,2023-02-05 16:04:29,44.0,14.0,14.0,2.0,18.0,4.0,9.0,24.0,2023-02-05 15:50:40,0.6.0,9.0,MkDocs plugin for Kroki-Diagrams.,16.0,16.0,10.0,https://pypi.org/project/mkdocs-kroki-plugin,8505.0,8505.0,18,True,2.0,,,,,,
42,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-12-20 14:32:57,2022-12-20 14:32:56,54.0,1.0,16.0,8.0,40.0,15.0,9.0,60.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,233.0,233.0,11.0,https://pypi.org/project/mkdocs-click,22271.0,22271.0,17,True,1.0,mkdocs-click,,,,,
43,mkdocs-versioning,,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56,2021-08-01 15:51:53,2021-08-01 15:51:53,133.0,,6.0,3.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,53.0,53.0,5.0,https://pypi.org/project/mkdocs-versioning,2598.0,2598.0,17,True,2.0,,,,,,
44,exclude-search,,exclude-search,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-02-04 19:24:06,2023-02-04 19:22:15,133.0,3.0,2.0,2.0,28.0,,16.0,23.0,2023-02-04 19:24:06,0.6.5,17.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,201.0,201.0,4.0,https://pypi.org/project/mkdocs-exclude-search,6911.0,6911.0,17,True,1.0,,,6.0,,,
45,meta-descriptions,,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2023-03-09 12:33:39,2023-03-09 12:30:45,195.0,22.0,2.0,2.0,218.0,1.0,7.0,8.0,2022-12-15 10:04:31,2.2.0,10.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,240.0,240.0,2.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,3442.0,3442.0,17,False,2.0,,,,,,
