,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,mkdocs_plugins,gitlab_id,gitlab_url
22,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-04-27 19:48:45,2023-04-27 19:48:02,68.0,5.0,7.0,2.0,7.0,3.0,16.0,54.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1274.0,1274.0,5.0,https://pypi.org/project/mkdocs-gen-files,82650.0,82650.0,21,True,2,,,,,,,
23,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2022-12-07 11:39:27,2022-12-07 11:39:27,220.0,,12.0,3.0,7.0,8.0,67.0,75.0,2022-06-01 11:11:09,2.3.4,39.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",208.0,208.0,4.0,https://pypi.org/project/mkdocs-print-site-plugin,10428.0,10428.0,20,True,2,,,,,,,
24,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-05-09 14:46:09,2023-05-09 14:45:05,139.0,27.0,11.0,2.0,6.0,2.0,39.0,67.0,2023-04-30 16:39:18,2.5.3,27.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,416.0,416.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,4732.0,4732.0,20,True,1,,1.0,,unverbuggt/mkdocs-encryptcontent-plugin,,,
25,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-04-28 14:42:23,2023-04-28 14:42:20,135.0,26.0,14.0,3.0,17.0,4.0,30.0,61.0,2023-04-12 17:35:01,2.2.5,24.0,Add blogging feature to your MkDocs site.,86.0,86.0,6.0,https://pypi.org/project/mkdocs-blogging-plugin,4377.0,4377.0,20,True,2,,8.0,,,,,
26,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-04-10 20:10:34,2023-04-10 20:10:04,66.0,1.0,6.0,2.0,2.0,4.0,9.0,58.0,2023-01-29 19:23:45,0.3.5,7.0,MkDocs plugin to allow clickable sections that lead to an index page.,985.0,985.0,,https://pypi.org/project/mkdocs-section-index,63497.0,63497.0,20,True,1,,,1.0,,,,
27,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,7.0,5.0,9.0,4.0,9.0,52.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1375.0,1375.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,40723.0,40723.0,20,True,2,,,,,,,
28,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-05-09 19:29:12,2023-04-21 17:02:57,103.0,2.0,7.0,3.0,4.0,9.0,9.0,46.0,2023-01-06 13:51:31,0.6.0,2.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,976.0,976.0,,https://pypi.org/project/mkdocs-literate-nav,58304.0,58304.0,20,True,1,,,,,,,
29,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-05-01 15:20:52,2023-05-01 15:08:35,347.0,12.0,13.0,3.0,157.0,8.0,26.0,44.0,2023-04-01 15:00:25,2.8.16,39.0,A MkDocs plugin for citation management using bibtex.,149.0,149.0,9.0,https://pypi.org/project/mkdocs-bibtex,2308.0,2308.0,20,False,1,,,,,,,
30,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-05-10 18:16:14,2023-02-20 08:58:58,187.0,1.0,13.0,4.0,26.0,8.0,40.0,43.0,2022-11-02 20:16:17,0.7.0,18.0,MkDocs plugin to display git authors of a page.,365.0,365.0,6.0,https://pypi.org/project/mkdocs-git-authors-plugin,24613.0,24613.0,20,True,2,,,,,,,
31,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-05-09 15:57:05,2023-05-08 13:59:11,491.0,34.0,10.0,3.0,502.0,,16.0,34.0,2023-02-17 15:11:31,2.3.0,39.0,Build documentation files inside your code into a MkDocs site.,35.0,35.0,9.0,https://pypi.org/project/mkdocs-simple-plugin,9086.0,9086.0,20,True,2,,,,,,,
32,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,7.0,35.0,3.0,30.0,128.0,,,,MkDocs Bootswatch Themes.,965.0,965.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10280.0,10280.0,19,True,1,,,,,,,
33,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-01-30 13:27:40,2023-01-30 13:16:31,103.0,,9.0,3.0,14.0,6.0,29.0,68.0,2023-01-30 13:24:33,2.0,17.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,248.0,248.0,5.0,https://pypi.org/project/mkdocs-table-reader-plugin,31772.0,31772.0,19,True,1,,,,,,,
34,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-01-26 16:53:16,2021-12-15 20:25:46,73.0,,17.0,3.0,15.0,5.0,26.0,61.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,762.0,762.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,36363.0,36363.0,19,True,2,,,,,,,
35,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-05-09 10:40:36,2023-05-09 10:40:32,51.0,3.0,4.0,2.0,25.0,,6.0,50.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",930.0,930.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,14464.0,14464.0,19,True,2,,25.0,,,,,
36,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-04-12 19:57:32,2023-04-12 19:57:31,112.0,7.0,4.0,3.0,7.0,1.0,27.0,31.0,2023-02-20 09:21:05,0.6.0,11.0,MkDocs Plugin to enumerate the headings across site pages.,113.0,113.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,5600.0,5600.0,19,True,2,,,,,,,
37,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2022-12-20 14:32:57,2022-12-20 14:32:56,54.0,,16.0,9.0,40.0,16.0,9.0,66.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,249.0,249.0,11.0,https://pypi.org/project/mkdocs-click,22960.0,22960.0,18,True,1,mkdocs-click,,,,,,
38,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-03-29 04:17:10,2023-02-27 16:41:41,25.0,2.0,14.0,3.0,18.0,6.0,9.0,54.0,2023-02-27 16:42:54,_070,7.0,An MkDocs plugin that automagically generates relative links between markdown pages.,275.0,275.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,21871.0,21871.0,18,True,2,,,,zachhannum/mkdocs-autolinks-plugin,,,
39,MkDocs GLightbox,,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-04-25 13:18:13,2023-04-25 13:18:07,71.0,7.0,8.0,1.0,3.0,4.0,15.0,51.0,2023-05-05 15:17:23,0.3.4,12.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,752.0,752.0,2.0,https://pypi.org/project/mkdocs-glightbox,42910.0,42911.0,18,True,2,,20.0,,,,,
40,meta-descriptions,,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2023-05-09 08:39:19,2023-05-09 08:36:28,215.0,26.0,3.0,1.0,238.0,1.0,7.0,10.0,2022-12-15 10:04:31,2.2.0,10.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,385.0,385.0,2.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,2909.0,2909.0,18,False,2,,,,,,,
41,mkpdfs,,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,https://github.com/comwes/mkpdfs-mkdocs-plugin,https://github.com/comwes/mkpdfs-mkdocs-plugin,GPL-3.0,2019-04-09 13:14:03,2023-01-14 14:58:39,2021-08-11 13:02:40,109.0,,28.0,10.0,21.0,12.0,26.0,93.0,2019-06-23 20:25:53,1.0.1,2.0,"Converts your mkdocs documentation in PDF, to be shared with users.",47.0,47.0,8.0,https://pypi.org/project/mkpdfs-mkdocs,1181.0,1181.0,17,True,2,,30.0,,,,,
42,MkApi,,mkapi,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2022-04-11 21:04:29,2020-12-20 02:40:09,242.0,,18.0,2.0,9.0,28.0,21.0,80.0,2020-12-20 02:28:04,1.0.14,14.0,A documentation generation tool for MkDocs.,151.0,151.0,4.0,https://pypi.org/project/mkapi,2943.0,2943.0,17,True,2,,,,,,,
43,exclude,,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,https://github.com/apenwarr/mkdocs-exclude,https://github.com/apenwarr/mkdocs-exclude,Apache-2.0,2019-01-07 19:02:19,2023-02-02 15:29:32,2019-02-20 23:33:03,3.0,,9.0,6.0,4.0,9.0,3.0,73.0,,,,A mkdocs plugin that lets you exclude files or trees from your output.,1242.0,1242.0,,https://pypi.org/project/mkdocs-exclude,102255.0,102255.0,17,True,2,,,,,,,
44,MkDocs Video,,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2023-03-28 22:38:35,2023-03-17 17:33:24,19.0,1.0,9.0,1.0,5.0,3.0,11.0,41.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,345.0,345.0,5.0,https://pypi.org/project/mkdocs-video,30006.0,30006.0,17,True,2,,19.0,-1.0,,,,
