,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,extra_dependencies,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
10,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-09-08 13:30:50,2023-09-08 13:30:49,145.0,4.0,66.0,23.0,57.0,31.0,24.0,267.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,326.0,326.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,191114.0,191114.0,23,True,1.0,,,,,,,,,
11,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-10-06 08:39:08,2023-10-06 08:38:21,271.0,73.0,29.0,7.0,155.0,10.0,106.0,169.0,,,,MkDocs i18n plugin using static translation markdown files.,752.0,752.0,8.0,https://pypi.org/project/mkdocs-static-i18n,26760.0,26760.0,23,True,1.0,,,,,,,,,
12,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-09-16 18:12:10,2023-09-16 18:12:10,99.0,5.0,17.0,139.0,27.0,11.0,18.0,119.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,2450.0,2450.0,13.0,https://pypi.org/project/mkdocs-redirects,117389.0,117389.0,23,True,1.0,,,,,,,,,
13,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54,2023-08-11 11:59:53,1742.0,41.0,19.0,2.0,1078.0,12.0,26.0,116.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,431.0,431.0,14.0,https://pypi.org/project/mknotebooks,17729.0,17729.0,23,True,2.0,,,,,,,,,
14,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-08-01 10:33:03,2023-08-01 10:30:41,63.0,6.0,13.0,10.0,18.0,2.0,12.0,103.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,6169.0,6169.0,10.0,https://pypi.org/project/mkdocs-minify-plugin,150180.0,150180.0,23,True,1.0,,,,,,,,,
15,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-09-19 18:35:39,2023-09-19 18:35:05,237.0,68.0,12.0,4.0,6.0,1.0,45.0,86.0,2023-09-17 10:19:20,3.0.0,31.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,762.0,762.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,7201.0,7203.0,23,True,1.0,,,79.0,,unverbuggt/mkdocs-encryptcontent-plugin,,,,
16,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-10-03 07:43:54,2023-10-03 07:43:53,648.0,24.0,14.0,3.0,170.0,11.0,23.0,50.0,2023-07-24 17:11:30,1.8.0,16.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",286.0,286.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,20690.0,20691.0,23,True,1.0,,,40.0,,,,,,
17,autorefs,,autorefs,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2023-10-11 07:09:43,2023-08-02 19:40:39,38.0,7.0,3.0,4.0,21.0,6.0,6.0,27.0,2023-08-02 19:41:11,0.5.0,1.0,Automatically link across pages in MkDocs.,4246.0,4246.0,6.0,https://pypi.org/project/mkdocs-autorefs,597160.0,597160.0,23,True,1.0,,,,,,,,,
18,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08,2021-10-14 20:29:54,188.0,,66.0,10.0,50.0,54.0,44.0,261.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,391.0,391.0,6.0,https://pypi.org/project/mkdocs-with-pdf,27563.0,27563.0,22,True,1.0,,,,,,,,,
19,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2023-09-03 22:00:34,2023-08-28 07:27:52,227.0,3.0,14.0,3.0,10.0,8.0,71.0,89.0,2023-08-28 07:28:44,2.3.6,41.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",246.0,246.0,5.0,https://pypi.org/project/mkdocs-print-site-plugin,19907.0,19907.0,22,True,1.0,,,,,,,,,
20,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-09-22 12:03:42,2023-09-22 12:01:49,80.0,14.0,7.0,2.0,3.0,5.0,12.0,62.0,2023-09-22 12:03:42,0.3.8,10.0,MkDocs plugin to allow clickable sections that lead to an index page.,1200.0,1200.0,3.0,https://pypi.org/project/mkdocs-section-index,143036.0,143036.0,22,True,1.0,,,,,,,,,
21,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-09-15 10:32:36,2023-07-04 20:02:13,198.0,,14.0,4.0,28.0,9.0,41.0,53.0,2023-06-08 18:11:02,0.7.2,20.0,MkDocs plugin to display git authors of a page.,494.0,494.0,7.0,https://pypi.org/project/mkdocs-git-authors-plugin,41217.0,41217.0,22,True,2.0,,,,,,,,,
22,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,42.0,19.0,32.0,41.0,46.0,290.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,537.0,537.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,19284.0,19284.0,21,True,2.0,,,,,,,,,
23,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-09-28 15:06:25,2023-09-07 17:32:07,415.0,4.0,31.0,2.0,41.0,33.0,44.0,93.0,2023-09-07 17:28:03,0.6.3,18.0,Build documentation in multiple repos into one site.,88.0,88.0,12.0,https://pypi.org/project/mkdocs-multirepo-plugin,28377.0,28377.0,21,True,2.0,,,,,,,,,
24,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-10-11 12:15:05,2023-10-11 12:13:00,119.0,6.0,12.0,3.0,17.0,2.0,36.0,89.0,2023-10-11 12:15:58,2.0.3,20.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,398.0,398.0,6.0,https://pypi.org/project/mkdocs-table-reader-plugin,44248.0,44248.0,21,True,1.0,,,,1.0,,,,,
25,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,36.0,9.0,21.0,6.0,16.0,89.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,5050.0,5050.0,12.0,https://pypi.org/project/markdown-include,71594.0,71594.0,21,True,2.0,,markdown_include.include,,,,,,,
26,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/mkdocs/mkdocs-click,https://github.com/mkdocs/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2023-09-18 22:23:05,2023-09-18 22:23:04,67.0,13.0,17.0,10.0,48.0,12.0,15.0,76.0,2023-09-18 18:43:15,0.8.1,10.0,An MkDocs extension to generate documentation for Click command line applications.,320.0,320.0,13.0,https://pypi.org/project/mkdocs-click,38967.0,38967.0,21,True,1.0,,mkdocs-click,,,mkdocs/mkdocs-click,,,,
27,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-10-02 13:27:32,2021-12-15 20:25:46,73.0,,17.0,3.0,16.0,6.0,26.0,68.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,906.0,906.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,31496.0,31496.0,21,True,2.0,,,,,,,,,
28,techdocs-core,,techdocs-core,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],other,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2023-10-06 19:58:41,2023-09-08 14:07:17,200.0,22.0,48.0,16.0,100.0,6.0,41.0,60.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,40.0,40.0,34.0,https://pypi.org/project/mkdocs-techdocs-core,238704.0,238704.0,21,True,1.0,,,,,,,,,
29,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-09-18 16:24:00,2023-09-18 16:23:19,112.0,8.0,8.0,2.0,5.0,9.0,13.0,58.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1232.0,1232.0,,https://pypi.org/project/mkdocs-literate-nav,136180.0,136180.0,21,True,2.0,,,,,,,,,
30,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-10-12 17:21:04,2023-10-12 17:12:00,566.0,43.0,11.0,3.0,583.0,,16.0,37.0,2023-08-25 06:55:19,3.1.0,41.0,Build documentation files inside your code into a MkDocs site.,39.0,39.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,17703.0,17703.0,21,True,2.0,,,,,,,,,
31,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-08-18 14:56:02,2023-08-18 14:56:02,100.0,7.0,11.0,3.0,41.0,3.0,24.0,35.0,2023-07-19 14:08:38,1.0.0,18.0,A MkDocs plugin that validates URL in rendered html files.,293.0,293.0,12.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,28481.0,28481.0,21,True,1.0,,,,,,,,,
32,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,99.0,8.0,59.0,16.0,35.0,189.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",567.0,567.0,23.0,https://pypi.org/project/mkdocs-cinder,7416.0,7425.0,20,True,1.0,,,970.0,,,,,,
33,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-09-18 16:29:04,2023-09-18 16:25:20,74.0,6.0,7.0,2.0,7.0,4.0,17.0,68.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1566.0,1566.0,5.0,https://pypi.org/project/mkdocs-gen-files,120756.0,120756.0,20,True,2.0,,,,,,,,,
34,git-committers-2,,git-committers,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2023-09-09 14:07:58,2023-09-06 19:25:35,57.0,9.0,11.0,3.0,17.0,9.0,11.0,21.0,2023-09-06 19:45:39,1.2.0,9.0,An MkDocs plugin to create a list of contributors on the page.,273.0,273.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,11589.0,11589.0,20,True,2.0,,,,,,,,,
35,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,7.0,35.0,3.0,30.0,132.0,,,,MkDocs Bootswatch Themes.,1032.0,1032.0,10.0,https://pypi.org/project/mkdocs-bootswatch,9820.0,9820.0,19,True,1.0,,,,,,,,,
36,MkDocs GLightbox,,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-04-25 13:18:13,2023-04-25 13:18:07,71.0,,8.0,1.0,3.0,4.0,17.0,76.0,2023-05-05 15:17:23,0.3.4,12.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,1504.0,1504.0,2.0,https://pypi.org/project/mkdocs-glightbox,77196.0,77197.0,19,True,1.0,,,24.0,,,,,,
37,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,9.0,5.0,9.0,5.0,9.0,54.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1600.0,1600.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,40648.0,40648.0,19,True,3.0,,,,,,,,,
38,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-10-03 04:05:05,2023-10-03 04:05:02,55.0,3.0,4.0,2.0,29.0,,6.0,52.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1174.0,1174.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,21241.0,21241.0,19,True,2.0,,,30.0,,,,,,
39,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-10-01 14:32:14,2023-10-01 14:32:06,364.0,8.0,14.0,3.0,176.0,8.0,27.0,49.0,2023-07-01 14:51:25,2.11.0,42.0,A MkDocs plugin for citation management using bibtex.,189.0,189.0,10.0,https://pypi.org/project/mkdocs-bibtex,2725.0,2725.0,19,False,2.0,,,,,,,,,
40,enumerate-headings,,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,https://github.com/timvink/mkdocs-enumerate-headings-plugin,https://github.com/timvink/mkdocs-enumerate-headings-plugin,MIT,2020-04-24 13:39:07,2023-09-26 21:55:04,2023-05-27 08:38:28,113.0,,5.0,3.0,8.0,1.0,27.0,34.0,2023-05-27 08:39:33,0.6.1,12.0,MkDocs Plugin to enumerate the headings across site pages.,150.0,150.0,4.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,7574.0,7574.0,19,True,2.0,,,,,,,,,
41,mkdoxy,,mkdoxy,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2023-10-10 12:58:22,2023-10-10 12:58:22,151.0,17.0,11.0,4.0,27.0,1.0,36.0,32.0,2023-07-21 14:25:37,1.1.6,11.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,6.0,6.0,8.0,https://pypi.org/project/mkdoxy,1097.0,1097.0,19,True,2.0,,,,1.0,,,,,
42,exclude-search,,exclude-search,chrieke/mkdocs-exclude-search,mkdocs-exclude-search,['plugin'],search-toc,https://github.com/chrieke/mkdocs-exclude-search,https://github.com/chrieke/mkdocs-exclude-search,MIT,2020-10-11 23:10:29,2023-08-29 18:47:36,2023-02-04 19:22:15,133.0,,3.0,3.0,29.0,,16.0,25.0,2023-02-04 19:24:06,0.6.5,17.0,A mkdocs plugin that lets you exclude selected chapters from the search index.,289.0,289.0,4.0,https://pypi.org/project/mkdocs-exclude-search,11277.0,11277.0,19,True,1.0,,,8.0,,,,,,
43,meta-descriptions,,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2023-10-09 20:50:41,2023-09-12 11:57:15,245.0,21.0,3.0,1.0,280.0,1.0,10.0,13.0,2023-07-31 15:53:09,2.3.0,11.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,743.0,743.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,5800.0,5800.0,19,False,2.0,,,,,,,,,
