,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,extra_dependencies,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url
14,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-08-01 10:33:03,2023-08-01 10:30:41,63.0,6.0,13.0,10.0,18.0,,12.0,102.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,5759.0,5759.0,10.0,https://pypi.org/project/mkdocs-minify-plugin,133968.0,133968.0,23,True,1.0,,,,,,,,
15,git-authors,,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2023-07-04 20:02:14,2023-07-04 20:02:13,198.0,11.0,13.0,4.0,27.0,9.0,40.0,51.0,2023-06-08 18:11:02,0.7.2,20.0,MkDocs plugin to display git authors of a page.,451.0,451.0,7.0,https://pypi.org/project/mkdocs-git-authors-plugin,35305.0,35305.0,23,True,2.0,,,,,,,,
16,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-08-08 15:35:20,2023-08-08 15:35:19,642.0,29.0,13.0,3.0,166.0,11.0,23.0,48.0,2023-07-24 17:11:30,1.8.0,16.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",243.0,243.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,11492.0,11493.0,23,True,1.0,,,39.0,,,,,
17,autorefs,,autorefs,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,https://github.com/mkdocstrings/autorefs,https://github.com/mkdocstrings/autorefs,ISC,2021-02-10 07:44:02,2023-08-02 19:40:59,2023-08-02 19:40:39,38.0,10.0,4.0,4.0,20.0,3.0,6.0,23.0,2023-08-02 19:41:11,0.5.0,1.0,Automatically link across pages in MkDocs.,3794.0,3794.0,6.0,https://pypi.org/project/mkdocs-autorefs,491891.0,491891.0,23,True,1.0,,,,1.0,,,,
18,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59,2021-10-05 01:31:10,72.0,,42.0,19.0,32.0,40.0,46.0,284.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,471.0,471.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,18381.0,18381.0,22,True,2.0,,,,,,,,
19,print-site,,print-site,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2023-08-02 10:26:53,2023-06-15 18:07:24,224.0,4.0,13.0,3.0,9.0,10.0,68.0,84.0,2023-06-12 08:50:38,2.3.5,40.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",230.0,230.0,4.0,https://pypi.org/project/mkdocs-print-site-plugin,16275.0,16275.0,22,True,2.0,,,,,,,,
20,table-reader,,table-reader,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2023-06-09 14:22:49,2023-06-09 14:22:45,113.0,10.0,11.0,3.0,15.0,4.0,33.0,82.0,2023-06-09 13:59:16,2.0.1,18.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,299.0,299.0,6.0,https://pypi.org/project/mkdocs-table-reader-plugin,54034.0,54034.0,22,True,1.0,,,,,,,,
21,encryptcontent,,encryptcontent,CoinK0in/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2023-08-08 19:37:33,2023-08-08 19:37:27,188.0,22.0,11.0,3.0,6.0,3.0,39.0,79.0,2023-04-30 16:39:18,2.5.3,28.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,598.0,598.0,4.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,3871.0,3873.0,22,True,1.0,,,73.0,3.0,unverbuggt/mkdocs-encryptcontent-plugin,,,
22,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-08-10 16:27:57,2023-03-23 12:13:46,172.0,,26.0,5.0,140.0,14.0,82.0,155.0,,,,MkDocs i18n plugin using static translation markdown files.,653.0,653.0,8.0,https://pypi.org/project/mkdocs-static-i18n,14104.0,14104.0,21,True,1.0,,,,,,,,
23,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,36.0,9.0,21.0,7.0,15.0,90.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,4856.0,4856.0,12.0,https://pypi.org/project/markdown-include,65094.0,65094.0,21,True,2.0,markdown_include.include,,,,,,,
24,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-07-28 12:42:10,2023-07-28 12:34:32,412.0,3.0,26.0,2.0,37.0,28.0,41.0,85.0,2023-07-28 12:42:10,0.6.2,17.0,Build documentation in multiple repos into one site.,80.0,80.0,11.0,https://pypi.org/project/mkdocs-multirepo-plugin,17455.0,17455.0,21,True,2.0,,,,,,,,
25,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-07-31 10:15:51,2023-07-31 10:15:51,99.0,6.0,10.0,3.0,40.0,3.0,24.0,33.0,2023-07-19 14:08:38,1.0.0,18.0,A MkDocs plugin that validates URL in rendered html files.,280.0,280.0,11.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,27079.0,27079.0,21,True,2.0,,,,,,,,
26,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,16.0,35.0,189.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",559.0,559.0,23.0,https://pypi.org/project/mkdocs-cinder,5145.0,5155.0,20,True,1.0,,,967.0,,,,,
27,mkdocs-blogging-plugin,,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,https://github.com/liang2kl/mkdocs-blogging-plugin,https://github.com/liang2kl/mkdocs-blogging-plugin,MIT,2021-09-07 08:53:20,2023-07-21 03:54:31,2023-07-21 03:54:08,147.0,12.0,14.0,3.0,18.0,4.0,33.0,77.0,2023-07-21 03:55:47,2.2.11,30.0,Add blogging feature to your MkDocs site.,119.0,119.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,7188.0,7188.0,20,True,2.0,,,11.0,,,,,
28,markdownextradata,,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2023-01-26 16:53:16,2021-12-15 20:25:46,73.0,,16.0,3.0,15.0,6.0,26.0,65.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,856.0,856.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,39216.0,39216.0,20,True,2.0,,,,1.0,,,,
29,gen-files,,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2023-08-09 17:42:06,2023-08-09 17:41:13,70.0,2.0,7.0,2.0,7.0,5.0,16.0,57.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,1456.0,1456.0,5.0,https://pypi.org/project/mkdocs-gen-files,114780.0,114780.0,20,True,2.0,,,,,,,,
30,bibtex,,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],other,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2023-08-01 14:44:20,2023-08-01 14:44:11,358.0,11.0,13.0,3.0,168.0,8.0,27.0,48.0,2023-07-01 14:51:25,2.11.0,42.0,A MkDocs plugin for citation management using bibtex.,168.0,168.0,10.0,https://pypi.org/project/mkdocs-bibtex,2864.0,2864.0,20,False,1.0,,,,,,,,
31,simple,,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2023-08-09 07:06:01,2023-08-09 07:02:51,533.0,42.0,11.0,3.0,544.0,,16.0,37.0,2023-07-21 00:25:57,3.0.0,40.0,Build documentation files inside your code into a MkDocs site.,39.0,39.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,15223.0,15223.0,20,True,2.0,,,,,,,,
32,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2021-12-22 18:09:16,2020-02-27 00:01:09,68.0,,58.0,7.0,35.0,3.0,30.0,128.0,,,,MkDocs Bootswatch Themes.,1004.0,1004.0,10.0,https://pypi.org/project/mkdocs-bootswatch,10048.0,10048.0,19,True,1.0,,,,,,,,
33,mkdocs-click,,,DataDog/mkdocs-click,mkdocs-click,['markdown'],api-docs,https://github.com/DataDog/mkdocs-click,https://github.com/DataDog/mkdocs-click,Apache-2.0,2020-03-16 14:47:45,2023-07-09 09:54:17,2022-12-20 14:32:56,54.0,,17.0,9.0,40.0,17.0,9.0,74.0,2022-06-19 16:09:56,0.8.0,9.0,An MkDocs extension to generate documentation for Click command line applications.,292.0,292.0,11.0,https://pypi.org/project/mkdocs-click,35740.0,35740.0,19,True,1.0,mkdocs-click,,,,,,,
34,MkDocs GLightbox,,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2023-04-25 13:18:13,2023-04-25 13:18:07,71.0,,9.0,1.0,3.0,4.0,17.0,67.0,2023-05-05 15:17:23,0.3.4,12.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,1142.0,1142.0,2.0,https://pypi.org/project/mkdocs-glightbox,62274.0,62275.0,19,True,1.0,,,24.0,,,,,
35,section-index,,section-index,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2023-08-01 20:46:40,2023-08-01 20:45:46,67.0,1.0,6.0,2.0,2.0,5.0,10.0,58.0,2023-01-29 19:23:45,0.3.5,7.0,MkDocs plugin to allow clickable sections that lead to an index page.,1125.0,1125.0,,https://pypi.org/project/mkdocs-section-index,116468.0,116468.0,19,True,1.0,,,,,,,,
36,techdocs-core,,techdocs-core,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],other,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2023-08-09 13:21:26,2023-05-24 12:59:40,175.0,7.0,44.0,15.0,88.0,24.0,20.0,56.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,39.0,39.0,30.0,https://pypi.org/project/mkdocs-techdocs-core,216436.0,216436.0,19,True,2.0,,,,-1.0,,,,
37,git-revision-date,,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30,2022-03-08 14:42:57,26.0,,9.0,5.0,9.0,4.0,9.0,54.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,1496.0,1496.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,44045.0,44045.0,19,True,2.0,,,,,,,,
38,literate-nav,,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2023-08-01 20:46:16,2023-08-01 20:45:48,105.0,2.0,8.0,2.0,5.0,9.0,11.0,51.0,2023-01-06 13:51:31,0.6.0,2.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,1134.0,1134.0,,https://pypi.org/project/mkdocs-literate-nav,104243.0,104243.0,19,True,1.0,,,,,,,,
39,mkdoxy,,mkdoxy,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,https://github.com/JakubAndrysek/MkDoxy,https://github.com/JakubAndrysek/MkDoxy,MIT,2021-07-28 09:20:29,2023-07-21 14:25:37,2023-07-21 14:22:30,147.0,44.0,12.0,3.0,26.0,,35.0,21.0,2023-07-21 14:25:37,1.1.6,11.0,Automatically generates API documentation for your project based on Doxygen comments and code snippets in your..,6.0,6.0,7.0,https://pypi.org/project/mkdoxy,4169.0,4169.0,19,True,1.0,,,,1.0,,,,
40,meta-descriptions,,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,https://github.com/prcr/mkdocs-meta-descriptions-plugin,https://github.com/prcr/mkdocs-meta-descriptions-plugin,MIT,2021-04-02 13:21:37,2023-07-31 20:14:44,2023-07-31 20:11:15,239.0,24.0,3.0,1.0,266.0,1.0,10.0,12.0,2023-07-31 15:53:09,2.3.0,11.0,Generate meta descriptions from the first paragraphs in your MkDocs pages.,577.0,577.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,5139.0,5139.0,19,False,2.0,,,,,,,,
41,autolinks,,autolinks,midnightprioriem/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-autolinks-plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,MIT,2020-01-14 17:57:51,2023-08-04 14:41:38,2023-08-04 14:41:05,27.0,2.0,14.0,4.0,19.0,6.0,9.0,61.0,2023-08-04 14:41:51,_071,8.0,An MkDocs plugin that automagically generates relative links between markdown pages.,301.0,301.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,36747.0,36747.0,18,True,2.0,,,,,zachhannum/mkdocs-autolinks-plugin,,,
42,mkdocs-simple-hooks,,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,https://github.com/aklajnert/mkdocs-simple-hooks,https://github.com/aklajnert/mkdocs-simple-hooks,MIT,2020-05-03 07:42:29,2023-07-18 04:14:04,2023-07-18 04:14:01,53.0,2.0,4.0,2.0,27.0,,6.0,51.0,2022-01-07 09:12:15,0.1.5,5.0,"Define your own hooks for mkdocs, without having to create a new package.",1091.0,1091.0,5.0,https://pypi.org/project/mkdocs-simple-hooks,24254.0,24254.0,18,True,2.0,,,30.0,-1.0,,,,
43,MkDocs Video,,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,https://github.com/soulless-viewer/mkdocs-video,https://github.com/soulless-viewer/mkdocs-video,MIT,2021-06-30 13:55:40,2023-08-10 17:41:34,2023-03-17 17:33:24,19.0,,10.0,1.0,6.0,3.0,11.0,48.0,2023-03-17 17:41:51,1.5.0,6.0,MkDocs Video plugin.,409.0,409.0,5.0,https://pypi.org/project/mkdocs-video,29322.0,29323.0,18,True,2.0,,,30.0,,,,,
