,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
10,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2024-09-12 11:40:50.000000,2024-09-12 11:40:43,266.0,13.0,24.0,5.0,23.0,15.0,84.0,144.0,2024-09-12 11:39:18,2.6.0,45.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",348.0,348.0,11.0,https://pypi.org/project/mkdocs-print-site-plugin,33413.0,33413.0,24,True,1.0,,,,,,,,,,,,
11,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2024-10-08 08:58:59.000000,2024-10-08 08:58:57,927.0,11.0,27.0,5.0,260.0,14.0,38.0,84.0,2024-07-03 08:48:20,1.15.0,30.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",693.0,693.0,17.0,https://pypi.org/project/mkdocs-rss-plugin,55482.0,55486.0,24,True,1.0,,1.0,155.0,,,,,,,,,
12,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2024-09-03 17:31:14.000000,2024-09-03 17:20:36,340.0,18.0,33.0,4.0,41.0,30.0,98.0,181.0,2024-09-03 17:20:55,1.11.1,33.0,A Python handler for mkdocstrings.,,,18.0,https://pypi.org/project/mkdocstrings-python,2411137.0,2411137.0,23,True,1.0,,,,,,,,,,,,
13,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-08-10 23:26:51.000000,2024-08-10 23:26:11,196.0,1.0,19.0,3.0,137.0,3.0,79.0,106.0,2024-08-10 23:36:21,6.2.2,59.0,Mkdocs Markdown includer plugin.,2333.0,2333.0,16.0,https://pypi.org/project/mkdocs-include-markdown-plugin,303622.0,303632.0,23,True,1.0,,,469.0,,,,,,,,,
14,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,https://github.com/daizutabi/mkapi,https://github.com/daizutabi/mkapi,MIT,2020-04-19 07:43:40,2024-10-08 12:38:43.000000,2024-10-08 12:37:51,807.0,228.0,17.0,2.0,79.0,3.0,129.0,99.0,2024-10-08 12:38:19,3.0.22,48.0,A plugin for MkDocs to generate API documentation.,190.0,190.0,5.0,https://pypi.org/project/mkapi,8896.0,8896.0,23,True,1.0,,1.0,,,,,,,,,,
15,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2024-09-08 17:38:23.000000,2024-09-08 17:31:59,208.0,2.0,18.0,5.0,32.0,11.0,47.0,84.0,2024-05-08 14:20:25,0.9.0,22.0,MkDocs plugin to display git authors of a page.,1050.0,1050.0,13.0,https://pypi.org/project/mkdocs-git-authors-plugin,106587.0,106587.0,23,True,2.0,,,,,,,,,,,,
16,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,https://github.com/ojacques/mkdocs-git-committers-plugin-2,https://github.com/ojacques/mkdocs-git-committers-plugin-2,MIT,2019-11-25 20:50:44,2024-10-04 17:17:47.000000,2024-10-04 17:14:35,116.0,18.0,21.0,3.0,35.0,9.0,30.0,58.0,2024-10-04 17:17:47,2.4.1,19.0,An MkDocs plugin to create a list of contributors on the page.,724.0,724.0,17.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,57746.0,57746.0,23,True,2.0,,4.0,,,,,,,,,,
17,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,https://github.com/AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,MIT,2021-04-13 09:57:17,2024-08-12 09:35:28.000000,2024-07-28 20:33:58,154.0,15.0,27.0,4.0,40.0,4.0,34.0,46.0,2024-07-28 20:56:59,0.9.0,15.0,MkDocs plugin for Kroki-Diagrams.,45.0,45.0,16.0,https://pypi.org/project/mkdocs-kroki-plugin,54454.0,54454.0,23,True,1.0,,,,,,,,,,,,
18,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01.000000,2021-10-14 20:29:54,188.0,,73.0,11.0,51.0,61.0,44.0,330.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,609.0,609.0,6.0,https://pypi.org/project/mkdocs-with-pdf,55208.0,55208.0,22,True,1.0,,,,,,,,,,,,
19,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2024-05-30 11:43:27.000000,2024-01-04 14:28:40,148.0,,72.0,23.0,65.0,36.0,30.0,319.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,479.0,479.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,333147.0,333147.0,22,True,1.0,,,,,,,,,,,,
20,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2023-07-28 19:56:59.000000,2021-10-05 01:31:10,72.0,,42.0,20.0,32.0,42.0,46.0,318.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,1140.0,1140.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,32588.0,32588.0,22,True,1.0,,,,,,,,,,,,
21,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2024-09-05 14:54:57.000000,2024-09-05 14:54:50,112.0,2.0,26.0,2.0,23.0,7.0,62.0,214.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,2203.0,2203.0,15.0,https://pypi.org/project/mkdocs-mermaid2-plugin,251790.0,251790.0,22,True,1.0,,,,,,,,,,,,
22,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16.000000,2024-01-29 16:11:49,76.0,,17.0,10.0,21.0,4.0,13.0,149.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,8354.0,8354.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,216672.0,216672.0,22,True,1.0,,1.0,,,,,,,,,,
23,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2024-08-19 20:45:12.000000,2024-08-13 01:10:34,427.0,1.0,47.0,4.0,51.0,53.0,51.0,127.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,143.0,143.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,66039.0,66039.0,22,True,1.0,,,,,,,,,,,,
24,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2024-10-10 10:10:12.000000,2024-09-25 13:25:17,295.0,24.0,64.0,15.0,159.0,5.0,59.0,88.0,,,,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,69.0,69.0,42.0,https://pypi.org/project/mkdocs-techdocs-core,327224.0,327224.0,22,True,1.0,,,,,,,,,,,,
25,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2024-10-01 14:22:19.000000,2024-09-01 14:07:10,393.0,3.0,21.0,3.0,229.0,12.0,32.0,75.0,2024-09-01 14:07:16,2.16.2,54.0,A MkDocs plugin for citation management using bibtex.,318.0,318.0,14.0,https://pypi.org/project/mkdocs-bibtex,37511.0,37511.0,22,True,1.0,,,,,,,,,,,,
26,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2024-05-30 16:15:13.000000,2024-05-30 16:14:35,305.0,,37.0,10.0,170.0,21.0,122.0,231.0,,,,MkDocs i18n plugin using static translation markdown files.,1232.0,1232.0,11.0,https://pypi.org/project/mkdocs-static-i18n,48323.0,48323.0,21,True,1.0,,,,,,,,,,,,
27,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2024-05-23 12:53:23.000000,2024-05-23 12:53:22,98.0,,15.0,2.0,8.0,16.0,26.0,131.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,3291.0,3291.0,6.0,https://pypi.org/project/mkdocs-glightbox,287103.0,287104.0,21,True,1.0,,,33.0,,,,,,,,,
28,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,https://github.com/unverbuggt/mkdocs-encryptcontent-plugin,MIT,2019-12-15 22:42:26,2024-06-14 17:41:40.000000,2024-06-14 17:41:30,271.0,,16.0,4.0,8.0,3.0,61.0,128.0,2024-01-30 19:13:34,3.0.3,34.0,A MkDocs plugin that encrypt/decrypt markdown content with AES.,1134.0,1134.0,5.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,9225.0,9226.0,21,True,1.0,,,92.0,,,,,,,,,
29,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2024-05-10 07:24:10.000000,2023-02-07 09:45:37,75.0,,37.0,9.0,23.0,7.0,19.0,104.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,6451.0,6451.0,12.0,https://pypi.org/project/markdown-include,128987.0,128987.0,21,True,2.0,markdown_include.include,,,,,,,,,,,
30,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2024-08-22 08:56:51.000000,2024-08-22 08:33:30,76.0,3.0,18.0,3.0,17.0,6.0,29.0,84.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,1249.0,1249.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,51505.0,51505.0,21,True,2.0,,,,,,,,,,,,
31,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2024-09-23 14:54:00.000000,2024-09-23 14:53:56,120.0,3.0,16.0,4.0,53.0,3.0,33.0,42.0,2024-09-13 14:46:46,1.3.0,22.0,A MkDocs plugin that validates URL in rendered html files.,387.0,387.0,15.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,42745.0,42745.0,21,True,1.0,,,,,,,,,,,,
32,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,https://github.com/athackst/mkdocs-simple-plugin,https://github.com/athackst/mkdocs-simple-plugin,Apache-2.0,2020-05-03 16:09:24,2024-10-10 17:17:25.000000,2024-10-10 17:15:59,681.0,27.0,10.0,3.0,759.0,,18.0,40.0,2024-07-14 19:18:29,3.2.0,42.0,Build documentation files inside your code into a MkDocs site.,53.0,53.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,20876.0,20876.0,21,True,2.0,,,,,,,,,,,,
33,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26.000000,2021-01-05 20:29:39,229.0,,100.0,8.0,59.0,16.0,35.0,206.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",655.0,655.0,23.0,https://pypi.org/project/mkdocs-cinder,7684.0,7693.0,20,True,1.0,,,1003.0,,,,,,,,,
34,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,,19.0,2.0,1078.0,14.0,26.0,137.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,598.0,598.0,14.0,https://pypi.org/project/mknotebooks,27441.0,27441.0,20,True,2.0,,,,,,,,,,,,
35,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,https://github.com/timvink/mkdocs-table-reader-plugin,https://github.com/timvink/mkdocs-table-reader-plugin,MIT,2020-03-06 09:42:26,2024-09-13 14:07:05.000000,2024-09-08 17:28:40,167.0,23.0,20.0,4.0,26.0,1.0,51.0,126.0,2024-08-29 14:07:06,3.1.0,27.0,MkDocs plugin that enables a markdown tag like {{ read_csv(table.csv) }} to directly insert various table formats into..,,,8.0,https://pypi.org/project/mkdocs-table-reader-plugin,67190.0,67190.0,20,True,2.0,,,,,,,,,,,,
36,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,https://github.com/oprypin/mkdocs-gen-files,https://github.com/oprypin/mkdocs-gen-files,MIT,2020-12-07 21:19:53,2024-07-14 13:43:03.000000,2024-04-27 10:08:41,84.0,,10.0,3.0,9.0,8.0,19.0,108.0,2023-04-27 19:51:18,0.5.0,7.0,MkDocs plugin to programmatically generate documentation pages during the build.,2450.0,2450.0,5.0,https://pypi.org/project/mkdocs-gen-files,424382.0,424382.0,20,True,2.0,,,,,,,,,,,,
37,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-section-index,https://github.com/oprypin/mkdocs-section-index,MIT,2020-11-19 23:59:30,2024-04-20 14:40:22.000000,2024-04-20 14:40:17,92.0,,8.0,3.0,3.0,7.0,13.0,77.0,2024-04-20 14:42:04,0.3.9,11.0,MkDocs plugin to allow clickable sections that lead to an index page.,1800.0,1800.0,3.0,https://pypi.org/project/mkdocs-section-index,243097.0,243097.0,20,True,1.0,,,,,,,,,,,,
38,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,https://github.com/oprypin/mkdocs-literate-nav,https://github.com/oprypin/mkdocs-literate-nav,MIT,2020-04-26 17:38:52,2024-04-27 10:01:31.000000,2024-04-27 10:00:16,127.0,,8.0,4.0,5.0,14.0,16.0,76.0,2023-09-10 22:18:35,0.6.1,3.0,MkDocs plugin to specify the navigation in Markdown instead of YAML.,2005.0,2005.0,,https://pypi.org/project/mkdocs-literate-nav,281620.0,281620.0,20,True,1.0,,,,,,,,,,,,
39,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2023-03-28 19:19:30.000000,2022-03-08 14:42:57,26.0,,7.0,5.0,9.0,5.0,9.0,56.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,2393.0,2393.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,93143.0,93143.0,20,True,2.0,,,,,,,,,,,,
40,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,https://github.com/mkdocs/mkdocs-bootswatch,https://github.com/mkdocs/mkdocs-bootswatch,BSD-2-Clause,2015-05-19 00:19:15,2024-04-16 23:53:48.000000,2023-12-29 21:16:01,71.0,,59.0,7.0,37.0,3.0,30.0,143.0,,,,MkDocs Bootswatch Themes.,1133.0,1133.0,10.0,https://pypi.org/project/mkdocs-bootswatch,16693.0,16693.0,19,True,1.0,,,,,,,,,,,,
41,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,https://github.com/Neoteroi/mkdocs-plugins,https://github.com/Neoteroi/mkdocs-plugins,MIT,2022-04-18 10:59:35,2024-09-04 16:28:01.000000,2024-09-04 16:27:57,43.0,2.0,9.0,1.0,26.0,16.0,24.0,122.0,2024-08-10 14:46:23,1.1.0,19.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,264.0,264.0,10.0,https://pypi.org/project/neoteroi-mkdocs,37661.0,37742.0,19,True,2.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,2441.0,,,,,,,,,
42,mktestdocs,,,,koaning/mktestdocs,mktestdocs,[],quality,https://github.com/koaning/mktestdocs,https://github.com/koaning/mktestdocs,Apache-2.0,2020-12-02 11:29:55,2024-10-08 06:45:17.000000,2024-10-08 06:45:11,69.0,19.0,8.0,3.0,12.0,2.0,3.0,108.0,2024-09-30 15:17:22,0.2.3,4.0,Run pytest against markdown files/docstrings.,63.0,63.0,5.0,https://pypi.org/project/mktestdocs,6654.0,6654.0,19,True,1.0,,,,,,,,,,,,
